# slot_id	avg_saliency_grad_norm  (ascending: least important first, main table only)
1487	0.00459090
1475	0.00459426
1427	0.00459455
1424	0.00459615
1474	0.00459674
1497	0.00459695
1499	0.00459736
1436	0.00459771
1486	0.00459780
1425	0.00459788
1485	0.00459846
1498	0.00459887
1472	0.00459943
1439	0.00459976
1509	0.00459995
1437	0.00460000
1484	0.00460016
1449	0.00460096
575	0.00460119
616	0.00460121
619	0.00460122
618	0.00460122
617	0.00460122
1496	0.00460122
574	0.00460122
1461	0.00460138
1473	0.00460154
1511	0.00460180
1426	0.00460201
1508	0.00460224
1438	0.00460234
1448	0.00460308
1450	0.00460468
1451	0.00460531
1510	0.00460536
1462	0.00460549
1460	0.00460560
1463	0.00460651
32901	0.00464757
32902	0.00464757
32903	0.00464757
32904	0.00464757
32905	0.00464757
32906	0.00464757
32907	0.00464757
32908	0.00464757
32909	0.00464757
32910	0.00464757
32911	0.00464757
32912	0.00464757
32913	0.00464757
32914	0.00464757
32915	0.00464757
32916	0.00464757
32917	0.00464757
32918	0.00464757
32919	0.00464757
32920	0.00464757
32921	0.00464757
32922	0.00464757
32923	0.00464757
32924	0.00464757
32925	0.00464757
836	0.00625161
724	0.00626009
395	0.00626035
390	0.00626047
363	0.00626048
340	0.00626056
387	0.00626068
1141	0.00626068
388	0.00626072
342	0.00626090
974	0.00626103
1296	0.00626107
1294	0.00626114
1155	0.00626115
365	0.00626117
369	0.00626117
393	0.00626121
1356	0.00626122
336	0.00626123
394	0.00626125
391	0.00626128
771	0.00626136
1127	0.00626143
386	0.00626148
383	0.00626151
355	0.00626152
775	0.00626154
367	0.00626157
737	0.00626165
382	0.00626174
1298	0.00626179
1354	0.00626181
357	0.00626189
381	0.00626192
330	0.00626195
970	0.00626195
972	0.00626199
344	0.00626204
966	0.00626212
402	0.00626221
392	0.00626234
361	0.00626235
1071	0.00626250
739	0.00626260
729	0.00626266
380	0.00626272
1140	0.00626369
287	0.00626382
420	0.00626448
274	0.00626468
290	0.00626483
584	0.00626526
303	0.00626534
816	0.00626539
334	0.00626556
594	0.00626580
399	0.00626599
583	0.00626603
419	0.00626617
400	0.00626620
384	0.00626631
869	0.00626642
1145	0.00626653
401	0.00626664
418	0.00626679
417	0.00626682
595	0.00626685
396	0.00626695
1070	0.00626697
385	0.00626703
398	0.00626717
769	0.00626717
778	0.00626736
427	0.00626764
328	0.00626786
777	0.00626787
378	0.00626791
277	0.00626810
397	0.00626810
379	0.00626816
779	0.00626818
260	0.00626832
264	0.00626841
226	0.00626847
413	0.00626866
273	0.00626869
414	0.00626873
1215	0.00626903
820	0.00626908
300	0.00626918
528	0.00626925
408	0.00626931
415	0.00626940
353	0.00626968
416	0.00626973
407	0.00626984
286	0.00626999
359	0.00626999
299	0.00627031
1404	0.00627078
246	0.00627079
802	0.00627105
1072	0.00627174
812	0.00627176
1398	0.00627210
1075	0.00627222
422	0.00627233
236	0.00627238
403	0.00627251
1216	0.00627251
421	0.00627262
405	0.00627263
411	0.00627278
406	0.00627289
956	0.00627298
539	0.00627305
412	0.00627307
1077	0.00627308
946	0.00627318
770	0.00627319
404	0.00627323
872	0.00627332
1219	0.00627347
423	0.00627351
943	0.00627352
903	0.00627355
438	0.00627358
1073	0.00627385
256	0.00627389
242	0.00627398
871	0.00627406
550	0.00627457
252	0.00627457
1218	0.00627482
1144	0.00627487
1029	0.00627493
950	0.00627497
1175	0.00627503
1217	0.00627519
1031	0.00627523
859	0.00627526
1021	0.00627551
1128	0.00627552
927	0.00627568
1402	0.00627571
1028	0.00627575
1131	0.00627577
1156	0.00627577
1033	0.00627581
1130	0.00627583
1400	0.00627588
562	0.00627588
649	0.00627594
929	0.00627594
1082	0.00627598
1214	0.00627600
1143	0.00627609
1254	0.00627611
1024	0.00627617
667	0.00627619
1026	0.00627622
596	0.00627622
855	0.00627638
222	0.00627647
457	0.00627653
890	0.00627661
867	0.00627663
863	0.00627665
1159	0.00627666
1142	0.00627669
1069	0.00627670
1251	0.00627671
954	0.00627673
1079	0.00627674
1092	0.00627676
962	0.00627676
931	0.00627676
1126	0.00627682
1255	0.00627684
670	0.00627689
240	0.00627690
958	0.00627691
1129	0.00627698
1023	0.00627702
1078	0.00627709
230	0.00627712
424	0.00627713
1034	0.00627713
1153	0.00627713
463	0.00627716
1227	0.00627716
959	0.00627717
1025	0.00627727
1174	0.00627728
948	0.00627732
1032	0.00627734
870	0.00627747
1035	0.00627754
