checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260720	20260721	20260724	buy	0.834486	0.698200	0.693400	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608140325
20260720	20260721	20260724	cat	0.833463	0.701800	0.696900	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608140325
20260720	20260721	20260724	click	0.801708	0.697800	0.695400	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608140325
20260720	20260721	20260724	ext	0.863337	0.811000	0.809800	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608140325
20260724	20260725	20260725	buy	0.834025	0.701300	0.695200	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608140513
20260724	20260725	20260725	cat	0.833534	0.705400	0.699000	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608140513
20260724	20260725	20260725	click	0.805419	0.699800	0.697300	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608140513
20260724	20260725	20260725	ext	0.858717	0.804500	0.801700	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608140513
20260725	20260726	20260726	buy	0.835839	0.715000	0.709000	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608140551
20260725	20260726	20260726	cat	0.835229	0.717400	0.711100	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608140551
20260725	20260726	20260726	click	0.804932	0.708400	0.705700	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608140551
20260725	20260726	20260726	ext	0.855999	0.801800	0.796200	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608140551
20260726	20260727	20260727	buy	0.839363	0.706900	0.699400	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608140629
20260726	20260727	20260727	cat	0.838072	0.709200	0.701900	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608140629
20260726	20260727	20260727	click	0.803218	0.698400	0.695200	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608140629
20260726	20260727	20260727	ext	0.860576	0.818200	0.816000	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608140629
20260727	20260728	20260728	buy	0.839919	0.703100	0.696100	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608140656
20260727	20260728	20260728	cat	0.838572	0.706400	0.698800	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608140656
20260727	20260728	20260728	click	0.803682	0.699500	0.696100	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608140656
20260727	20260728	20260728	ext	0.864859	0.820500	0.819600	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608140656
20260728	20260729	20260729	buy	0.838565	0.703500	0.698300	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608140722
20260728	20260729	20260729	cat	0.837366	0.707500	0.702000	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608140722
20260728	20260729	20260729	click	0.804973	0.704600	0.701200	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608140722
20260728	20260729	20260729	ext	0.856308	0.812800	0.810500	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608140722
20260729	20260730	20260730	buy	0.838750	0.704600	0.698300	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608140749
20260729	20260730	20260730	cat	0.837709	0.708500	0.701900	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608140749
20260729	20260730	20260730	click	0.805040	0.702600	0.699300	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608140749
20260729	20260730	20260730	ext	0.861867	0.805400	0.804100	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608140749
20260730	20260731	20260731	buy	0.839283	0.708300	0.702300	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608140818
20260730	20260731	20260731	cat	0.838152	0.712100	0.705900	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608140818
20260730	20260731	20260731	click	0.806974	0.707400	0.704600	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608140818
20260730	20260731	20260731	ext	0.858487	0.820500	0.818500	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608140818
20260731	20260801	20260801	buy	0.833362	0.703600	0.696100	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608140853
20260731	20260801	20260801	cat	0.832737	0.706200	0.698800	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608140853
20260731	20260801	20260801	click	0.804504	0.703200	0.699000	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608140853
20260731	20260801	20260801	ext	0.856715	0.817100	0.814200	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608140853
