checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260720	20260721	20260724	buy	0.834639	0.698400	0.693400	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608132024
20260720	20260721	20260724	cat	0.833635	0.701900	0.696800	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608132024
20260720	20260721	20260724	click	0.801933	0.697800	0.695400	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608132024
20260720	20260721	20260724	ext	0.863932	0.810900	0.810100	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608132024
20260724	20260725	20260725	buy	0.833174	0.701500	0.695500	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608132216
20260724	20260725	20260725	cat	0.832801	0.706200	0.700000	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608132216
20260724	20260725	20260725	click	0.804813	0.699300	0.696900	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608132216
20260724	20260725	20260725	ext	0.859320	0.804200	0.803700	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608132216
20260725	20260726	20260726	buy	0.836173	0.715200	0.709400	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608132253
20260725	20260726	20260726	cat	0.835523	0.718300	0.712300	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608132253
20260725	20260726	20260726	click	0.805375	0.709200	0.706200	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608132253
20260725	20260726	20260726	ext	0.855483	0.796500	0.792900	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608132253
20260726	20260727	20260727	buy	0.838809	0.705300	0.697800	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608132333
20260726	20260727	20260727	cat	0.837533	0.708300	0.701000	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608132333
20260726	20260727	20260727	click	0.802931	0.697100	0.694400	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608132333
20260726	20260727	20260727	ext	0.859854	0.815400	0.814400	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608132333
20260727	20260728	20260728	buy	0.840089	0.702700	0.695300	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608132359
20260727	20260728	20260728	cat	0.838755	0.706900	0.699200	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608132359
20260727	20260728	20260728	click	0.803943	0.700100	0.696600	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608132359
20260727	20260728	20260728	ext	0.865445	0.821100	0.821400	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608132359
20260728	20260729	20260729	buy	0.838917	0.704100	0.698900	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608140024
20260728	20260729	20260729	cat	0.837686	0.707500	0.701900	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608140024
20260728	20260729	20260729	click	0.805228	0.703900	0.700800	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608140024
20260728	20260729	20260729	ext	0.855927	0.813800	0.811600	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608140024
20260729	20260730	20260730	buy	0.838896	0.705200	0.698800	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608140052
20260729	20260730	20260730	cat	0.837873	0.708400	0.701700	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608140052
20260729	20260730	20260730	click	0.805274	0.703100	0.699900	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608140052
20260729	20260730	20260730	ext	0.862400	0.810300	0.808700	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608140052
20260730	20260731	20260731	buy	0.838964	0.708700	0.702900	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608140121
20260730	20260731	20260731	cat	0.837887	0.711600	0.705700	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608140121
20260730	20260731	20260731	click	0.806827	0.706800	0.704200	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608140121
20260730	20260731	20260731	ext	0.859110	0.816400	0.814300	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608140121
20260731	20260801	20260801	buy	0.833236	0.703700	0.696200	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608140157
20260731	20260801	20260801	cat	0.832585	0.706800	0.699400	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608140157
20260731	20260801	20260801	click	0.804246	0.702300	0.698100	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608140157
20260731	20260801	20260801	ext	0.856625	0.817300	0.814100	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608140157
