checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260720	20260721	20260724	buy	0.835231	0.698800	0.693700	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608140658
20260720	20260721	20260724	cat	0.834075	0.702800	0.697800	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608140658
20260720	20260721	20260724	click	0.802448	0.698900	0.696600	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608140658
20260720	20260721	20260724	ext	0.863996	0.814600	0.813900	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608140658
20260724	20260725	20260725	buy	0.833348	0.701700	0.695200	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608140849
20260724	20260725	20260725	cat	0.832992	0.706100	0.699500	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608140849
20260724	20260725	20260725	click	0.805028	0.699900	0.697400	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608140849
20260724	20260725	20260725	ext	0.859615	0.811200	0.809600	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608140849
20260725	20260726	20260726	buy	0.836082	0.716100	0.710300	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608140927
20260725	20260726	20260726	cat	0.835398	0.718600	0.712800	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608140927
20260725	20260726	20260726	click	0.805328	0.709400	0.707000	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608140927
20260725	20260726	20260726	ext	0.855705	0.800800	0.797200	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608140927
20260726	20260727	20260727	buy	0.838990	0.706100	0.698500	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608141005
20260726	20260727	20260727	cat	0.837677	0.709700	0.702800	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608141005
20260726	20260727	20260727	click	0.802876	0.698700	0.696100	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608141005
20260726	20260727	20260727	ext	0.860262	0.816900	0.815900	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608141005
20260727	20260728	20260728	buy	0.840459	0.704900	0.697600	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608141031
20260727	20260728	20260728	cat	0.839121	0.707900	0.700000	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608141031
20260727	20260728	20260728	click	0.804191	0.700100	0.696400	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608141031
20260727	20260728	20260728	ext	0.864713	0.828000	0.828700	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608141031
20260728	20260729	20260729	buy	0.839212	0.704700	0.699100	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608141056
20260728	20260729	20260729	cat	0.838037	0.708600	0.702900	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608141056
20260728	20260729	20260729	click	0.805332	0.705900	0.702600	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608141056
20260728	20260729	20260729	ext	0.856574	0.816100	0.812900	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608141056
20260729	20260730	20260730	buy	0.838785	0.704800	0.698600	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608141123
20260729	20260730	20260730	cat	0.837709	0.708800	0.702300	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608141123
20260729	20260730	20260730	click	0.805157	0.704000	0.700400	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608141123
20260729	20260730	20260730	ext	0.861890	0.814700	0.814100	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608141123
20260730	20260731	20260731	buy	0.839273	0.709100	0.703300	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608141151
20260730	20260731	20260731	cat	0.838235	0.712000	0.706000	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608141151
20260730	20260731	20260731	click	0.807032	0.707600	0.704500	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608141151
20260730	20260731	20260731	ext	0.859136	0.818600	0.817300	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608141151
20260731	20260801	20260801	buy	0.833013	0.705000	0.697400	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608141226
20260731	20260801	20260801	cat	0.832498	0.708000	0.700400	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608141226
20260731	20260801	20260801	click	0.804269	0.702800	0.698500	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608141226
20260731	20260801	20260801	ext	0.856846	0.815000	0.812300	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608141226
