checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260720	20260721	20260724	buy	0.835301	0.699300	0.694300	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608140605
20260720	20260721	20260724	cat	0.834238	0.702700	0.697500	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608140605
20260720	20260721	20260724	click	0.802488	0.698400	0.696100	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608140605
20260720	20260721	20260724	ext	0.864142	0.811500	0.810400	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608140605
20260724	20260725	20260725	buy	0.833056	0.702500	0.696400	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608140757
20260724	20260725	20260725	cat	0.832743	0.706500	0.700100	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608140757
20260724	20260725	20260725	click	0.804909	0.700400	0.697800	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608140757
20260724	20260725	20260725	ext	0.859244	0.800400	0.797700	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608140757
20260725	20260726	20260726	buy	0.836178	0.716000	0.710100	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608140836
20260725	20260726	20260726	cat	0.835603	0.718900	0.712900	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608140836
20260725	20260726	20260726	click	0.805399	0.709500	0.707000	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608140836
20260725	20260726	20260726	ext	0.855999	0.798100	0.795200	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608140836
20260726	20260727	20260727	buy	0.838929	0.705300	0.697200	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608140917
20260726	20260727	20260727	cat	0.837676	0.708500	0.700900	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608140917
20260726	20260727	20260727	click	0.802776	0.697300	0.694300	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608140917
20260726	20260727	20260727	ext	0.859813	0.815100	0.814800	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608140917
20260727	20260728	20260728	buy	0.840157	0.703700	0.696900	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608140944
20260727	20260728	20260728	cat	0.838934	0.707100	0.699900	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608140944
20260727	20260728	20260728	click	0.804038	0.698700	0.695600	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608140944
20260727	20260728	20260728	ext	0.865274	0.825400	0.824300	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608140944
20260728	20260729	20260729	buy	0.838953	0.703400	0.697400	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608141010
20260728	20260729	20260729	cat	0.837844	0.707800	0.701600	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608141010
20260728	20260729	20260729	click	0.805440	0.704400	0.701000	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608141010
20260728	20260729	20260729	ext	0.855398	0.811500	0.810800	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608141010
20260729	20260730	20260730	buy	0.839104	0.706400	0.700200	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608141038
20260729	20260730	20260730	cat	0.838136	0.709900	0.703300	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608141038
20260729	20260730	20260730	click	0.805494	0.703500	0.700400	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608141038
20260729	20260730	20260730	ext	0.862700	0.807200	0.808400	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608141038
20260730	20260731	20260731	buy	0.839403	0.709600	0.704300	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608141107
20260730	20260731	20260731	cat	0.838351	0.712500	0.707200	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608141107
20260730	20260731	20260731	click	0.807057	0.706900	0.704700	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608141107
20260730	20260731	20260731	ext	0.858644	0.813600	0.812500	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608141107
20260731	20260801	20260801	buy	0.834451	0.703300	0.695700	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608141142
20260731	20260801	20260801	cat	0.833705	0.706600	0.699000	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608141142
20260731	20260801	20260801	click	0.805161	0.702800	0.698600	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608141142
20260731	20260801	20260801	ext	0.856799	0.813500	0.809700	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608141142
