checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260720	20260721	20260724	buy	0.832297	0.694900	0.690000	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608140351
20260720	20260721	20260724	cat	0.831248	0.698300	0.693400	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608140351
20260720	20260721	20260724	click	0.799552	0.694100	0.691900	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608140351
20260720	20260721	20260724	ext	0.860853	0.808400	0.807200	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608140351
20260724	20260725	20260725	buy	0.831307	0.697900	0.691500	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608140545
20260724	20260725	20260725	cat	0.830914	0.702000	0.695500	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608140545
20260724	20260725	20260725	click	0.802815	0.695500	0.692800	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608140545
20260724	20260725	20260725	ext	0.855601	0.800500	0.799000	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608140545
20260725	20260726	20260726	buy	0.833142	0.711900	0.705900	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608140623
20260725	20260726	20260726	cat	0.832547	0.714800	0.708700	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608140623
20260725	20260726	20260726	click	0.802443	0.706000	0.703400	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608140623
20260725	20260726	20260726	ext	0.853147	0.799700	0.792900	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608140623
20260726	20260727	20260727	buy	0.836923	0.702400	0.694600	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608140703
20260726	20260727	20260727	cat	0.835604	0.705300	0.698000	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608140703
20260726	20260727	20260727	click	0.800830	0.694300	0.691400	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608140703
20260726	20260727	20260727	ext	0.857631	0.804900	0.802200	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608140703
20260727	20260728	20260728	buy	0.837687	0.699600	0.692300	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608140729
20260727	20260728	20260728	cat	0.836388	0.703000	0.695300	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608140729
20260727	20260728	20260728	click	0.801418	0.695600	0.692300	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608140729
20260727	20260728	20260728	ext	0.861997	0.816300	0.817600	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608140729
20260728	20260729	20260729	buy	0.836200	0.701100	0.695700	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608140754
20260728	20260729	20260729	cat	0.835075	0.704100	0.698500	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608140754
20260728	20260729	20260729	click	0.802347	0.700100	0.697000	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608140754
20260728	20260729	20260729	ext	0.852590	0.806600	0.802700	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608140754
20260729	20260730	20260730	buy	0.835647	0.700000	0.693400	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608140822
20260729	20260730	20260730	cat	0.834673	0.703900	0.697100	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608140822
20260729	20260730	20260730	click	0.802047	0.698500	0.695300	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608140822
20260729	20260730	20260730	ext	0.859384	0.805900	0.805400	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608140822
20260730	20260731	20260731	buy	0.836968	0.705800	0.700100	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608140851
20260730	20260731	20260731	cat	0.835922	0.708000	0.702200	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608140851
20260730	20260731	20260731	click	0.804558	0.702300	0.699600	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608140851
20260730	20260731	20260731	ext	0.856231	0.810000	0.810800	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608140851
20260731	20260801	20260801	buy	0.831383	0.699700	0.692400	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608140926
20260731	20260801	20260801	cat	0.830661	0.703200	0.696200	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608140926
20260731	20260801	20260801	click	0.802118	0.699700	0.695800	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608140926
20260731	20260801	20260801	ext	0.854533	0.815200	0.810800	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608140926
