checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260720	20260721	20260724	buy	0.831458	0.694500	0.689500	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608140351
20260720	20260721	20260724	cat	0.830503	0.698200	0.693200	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608140351
20260720	20260721	20260724	click	0.798811	0.693700	0.691700	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608140351
20260720	20260721	20260724	ext	0.860868	0.809200	0.808300	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608140351
20260724	20260725	20260725	buy	0.831839	0.698100	0.691800	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608140548
20260724	20260725	20260725	cat	0.831256	0.701800	0.695200	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608140548
20260724	20260725	20260725	click	0.803250	0.696900	0.694500	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608140548
20260724	20260725	20260725	ext	0.856510	0.798700	0.797900	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608140548
20260725	20260726	20260726	buy	0.833544	0.711000	0.705200	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608140629
20260725	20260726	20260726	cat	0.832963	0.713800	0.707800	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608140629
20260725	20260726	20260726	click	0.802822	0.705000	0.702500	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608140629
20260725	20260726	20260726	ext	0.853363	0.791500	0.786400	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608140629
20260726	20260727	20260727	buy	0.837030	0.702200	0.694700	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608140709
20260726	20260727	20260727	cat	0.835659	0.705000	0.698300	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608140709
20260726	20260727	20260727	click	0.800622	0.694600	0.691800	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608140709
20260726	20260727	20260727	ext	0.858120	0.805600	0.803100	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608140709
20260727	20260728	20260728	buy	0.837531	0.699400	0.692100	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608140737
20260727	20260728	20260728	cat	0.836223	0.703600	0.695900	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608140737
20260727	20260728	20260728	click	0.801244	0.697300	0.694100	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608140737
20260727	20260728	20260728	ext	0.862113	0.822500	0.820400	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608140737
20260728	20260729	20260729	buy	0.836342	0.698800	0.693100	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608140803
20260728	20260729	20260729	cat	0.835238	0.703000	0.697300	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608140803
20260728	20260729	20260729	click	0.802671	0.700200	0.696900	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608140803
20260728	20260729	20260729	ext	0.853861	0.809300	0.805300	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608140803
20260729	20260730	20260730	buy	0.836361	0.701300	0.694600	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608140832
20260729	20260730	20260730	cat	0.835371	0.705000	0.698200	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608140832
20260729	20260730	20260730	click	0.802777	0.700000	0.696800	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608140832
20260729	20260730	20260730	ext	0.859091	0.802700	0.801800	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608140832
20260730	20260731	20260731	buy	0.836780	0.705100	0.699000	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608140903
20260730	20260731	20260731	cat	0.835688	0.708500	0.702200	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608140903
20260730	20260731	20260731	click	0.804426	0.703200	0.700400	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608140903
20260730	20260731	20260731	ext	0.856629	0.817000	0.816500	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608140903
20260731	20260801	20260801	buy	0.831302	0.699700	0.692500	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608140941
20260731	20260801	20260801	cat	0.830701	0.702500	0.695400	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608140941
20260731	20260801	20260801	click	0.802149	0.699000	0.695000	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608140941
20260731	20260801	20260801	ext	0.854986	0.811500	0.808700	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608140941
