checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260720	20260721	20260724	buy	0.829045	0.691400	0.686400	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608140554
20260720	20260721	20260724	cat	0.827466	0.694100	0.689000	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608140554
20260720	20260721	20260724	click	0.795279	0.689000	0.686700	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608140554
20260720	20260721	20260724	ext	0.854524	0.798600	0.797500	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608140554
20260724	20260725	20260725	buy	0.826216	0.694500	0.688500	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608140759
20260724	20260725	20260725	cat	0.825940	0.698300	0.691600	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608140759
20260724	20260725	20260725	click	0.797723	0.691600	0.689900	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608140759
20260724	20260725	20260725	ext	0.851201	0.791400	0.788500	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608140759
20260725	20260726	20260726	buy	0.830555	0.709700	0.703700	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608140842
20260725	20260726	20260726	cat	0.829555	0.711800	0.705600	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608140842
20260725	20260726	20260726	click	0.798742	0.701900	0.699100	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608140842
20260725	20260726	20260726	ext	0.848445	0.794900	0.789900	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608140842
20260726	20260727	20260727	buy	0.833685	0.698200	0.690600	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608140925
20260726	20260727	20260727	cat	0.831328	0.701400	0.693900	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608140925
20260726	20260727	20260727	click	0.796142	0.688700	0.686400	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608140925
20260726	20260727	20260727	ext	0.850347	0.800200	0.799500	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608140925
20260727	20260728	20260728	buy	0.835813	0.698900	0.691600	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608140955
20260727	20260728	20260728	cat	0.833870	0.699300	0.691700	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608140955
20260727	20260728	20260728	click	0.799290	0.693800	0.690100	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608140955
20260727	20260728	20260728	ext	0.856478	0.813600	0.814900	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608140955
20260728	20260729	20260729	buy	0.834345	0.699900	0.694300	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608141024
20260728	20260729	20260729	cat	0.832167	0.702600	0.696800	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608141024
20260728	20260729	20260729	click	0.800188	0.698800	0.695500	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608141024
20260728	20260729	20260729	ext	0.847126	0.801800	0.799700	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608141024
20260729	20260730	20260730	buy	0.834131	0.700200	0.694500	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608141056
20260729	20260730	20260730	cat	0.832390	0.701900	0.695800	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608141056
20260729	20260730	20260730	click	0.799565	0.695900	0.693300	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608141056
20260729	20260730	20260730	ext	0.845418	0.786200	0.786100	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608141056
20260730	20260731	20260731	buy	0.834786	0.704400	0.698300	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608141127
20260730	20260731	20260731	cat	0.833470	0.707600	0.701300	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608141127
20260730	20260731	20260731	click	0.801968	0.700800	0.697500	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608141127
20260730	20260731	20260731	ext	0.850812	0.810200	0.809300	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608141127
20260731	20260801	20260801	buy	0.828736	0.695900	0.688500	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608141207
20260731	20260801	20260801	cat	0.827901	0.698500	0.690900	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608141207
20260731	20260801	20260801	click	0.798667	0.692700	0.689200	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608141207
20260731	20260801	20260801	ext	0.846856	0.809400	0.807500	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608141207
