experiment	task	auc	gauc	uauc	pos	log_path
tf_train_base_new_try_roll_test_predict_time	buy	0.835069	0.6989	0.694	710810	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR/tf_train_base_new_try_roll_test_predict_time/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608130236
tf_train_base_new_try_roll_test_predict_time	cat	0.833968	0.7024	0.6973	735120	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR/tf_train_base_new_try_roll_test_predict_time/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608130236
tf_train_base_new_try_roll_test_predict_time	click	0.802264	0.6979	0.6957	913818	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR/tf_train_base_new_try_roll_test_predict_time/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608130236
tf_train_base_new_try_roll_test_predict_time	ext	0.864008	0.8114	0.8108	24499	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR/tf_train_base_new_try_roll_test_predict_time/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608130236
BR_train_buy_pairwise_loss	buy	0.835208	0.6983	0.6933	710810	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR/BR_train_buy_pairwise_loss/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608140602
BR_train_buy_pairwise_loss	cat	0.83413	0.7019	0.6966	735120	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR/BR_train_buy_pairwise_loss/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608140602
BR_train_buy_pairwise_loss	click	0.802519	0.6986	0.696	913818	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR/BR_train_buy_pairwise_loss/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608140602
BR_train_buy_pairwise_loss	ext	0.864199	0.8119	0.8106	24499	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR/BR_train_buy_pairwise_loss/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608140602
BR_train_dcn_v2	buy	0.834486	0.6982	0.6934	710810	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR/BR_train_dcn_v2/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608140325
BR_train_dcn_v2	cat	0.833463	0.7018	0.6969	735120	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR/BR_train_dcn_v2/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608140325
BR_train_dcn_v2	click	0.801708	0.6978	0.6954	913818	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR/BR_train_dcn_v2/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608140325
