checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260720	20260721	20260724	buy	0.835035	0.698500	0.693500	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608150546
20260720	20260721	20260724	cat	0.833948	0.701800	0.696800	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608150546
20260720	20260721	20260724	click	0.802297	0.698000	0.695800	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608150546
20260720	20260721	20260724	ext	0.863655	0.812300	0.811800	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608150546
20260724	20260725	20260725	buy	0.833548	0.702000	0.695500	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608150744
20260724	20260725	20260725	cat	0.833203	0.706400	0.699500	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608150744
20260724	20260725	20260725	click	0.805316	0.700000	0.697300	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608150744
20260724	20260725	20260725	ext	0.859515	0.802600	0.800400	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608150744
20260725	20260726	20260726	buy	0.836139	0.715200	0.709100	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608150824
20260725	20260726	20260726	cat	0.835545	0.717800	0.711700	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608150824
20260725	20260726	20260726	click	0.805364	0.709400	0.706600	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608150824
20260725	20260726	20260726	ext	0.855187	0.795100	0.790700	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608150824
20260726	20260727	20260727	buy	0.839291	0.706300	0.699100	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608150905
20260726	20260727	20260727	cat	0.837989	0.709000	0.702300	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608150905
20260726	20260727	20260727	click	0.803149	0.697900	0.695500	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608150905
20260726	20260727	20260727	ext	0.860375	0.814400	0.814100	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608150905
20260727	20260728	20260728	buy	0.840078	0.702700	0.695600	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608150934
20260727	20260728	20260728	cat	0.838687	0.706300	0.698900	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608150934
20260727	20260728	20260728	click	0.803829	0.699800	0.696500	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608150934
20260727	20260728	20260728	ext	0.864523	0.823100	0.823000	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608150934
20260728	20260729	20260729	buy	0.839298	0.704500	0.698600	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608151002
20260728	20260729	20260729	cat	0.838167	0.707900	0.701800	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608151002
20260728	20260729	20260729	click	0.805592	0.705100	0.701300	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608151002
20260728	20260729	20260729	ext	0.856492	0.813400	0.812000	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608151002
20260729	20260730	20260730	buy	0.838824	0.704400	0.697600	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608151031
20260729	20260730	20260730	cat	0.837774	0.708400	0.701500	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608151031
20260729	20260730	20260730	click	0.805154	0.703500	0.700000	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608151031
20260729	20260730	20260730	ext	0.861614	0.801900	0.800600	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608151031
20260730	20260731	20260731	buy	0.839403	0.709300	0.703700	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608151101
20260730	20260731	20260731	cat	0.838345	0.712900	0.707200	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608151101
20260730	20260731	20260731	click	0.807111	0.707100	0.704600	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608151101
20260730	20260731	20260731	ext	0.858785	0.814500	0.813400	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608151101
20260731	20260801	20260801	buy	0.833488	0.704500	0.697200	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608151139
20260731	20260801	20260801	cat	0.832853	0.706500	0.699100	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608151139
20260731	20260801	20260801	click	0.804619	0.703500	0.699200	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608151139
20260731	20260801	20260801	ext	0.856586	0.808600	0.804800	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608151139
