checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260720	20260721	20260724	buy	0.835006	0.698800	0.693700	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608150247
20260720	20260721	20260724	cat	0.833889	0.702500	0.697400	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608150247
20260720	20260721	20260724	click	0.802260	0.697700	0.695300	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608150247
20260720	20260721	20260724	ext	0.863814	0.814800	0.814500	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608150247
20260724	20260725	20260725	buy	0.833569	0.702200	0.696000	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608150436
20260724	20260725	20260725	cat	0.833167	0.706100	0.699800	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608150436
20260724	20260725	20260725	click	0.805269	0.700000	0.697400	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608150436
20260724	20260725	20260725	ext	0.859388	0.803200	0.801300	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608150436
20260725	20260726	20260726	buy	0.836258	0.716500	0.710800	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608150512
20260725	20260726	20260726	cat	0.835583	0.718400	0.712600	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608150512
20260725	20260726	20260726	click	0.805501	0.709700	0.707100	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608150512
20260725	20260726	20260726	ext	0.855599	0.797500	0.793600	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608150512
20260726	20260727	20260727	buy	0.839260	0.707300	0.700000	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608150551
20260726	20260727	20260727	cat	0.837924	0.709600	0.702800	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608150551
20260726	20260727	20260727	click	0.803122	0.698200	0.695900	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608150551
20260726	20260727	20260727	ext	0.860218	0.816600	0.815300	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608150551
20260727	20260728	20260728	buy	0.840155	0.701400	0.694000	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608150617
20260727	20260728	20260728	cat	0.838840	0.705400	0.697800	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608150617
20260727	20260728	20260728	click	0.803923	0.698500	0.694900	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608150617
20260727	20260728	20260728	ext	0.864559	0.827700	0.826100	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608150617
20260728	20260729	20260729	buy	0.838832	0.703200	0.697600	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608150643
20260728	20260729	20260729	cat	0.837635	0.706800	0.700800	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608150643
20260728	20260729	20260729	click	0.805085	0.703800	0.700200	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608150643
20260728	20260729	20260729	ext	0.856347	0.815700	0.813800	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608150643
20260729	20260730	20260730	buy	0.839051	0.704900	0.698600	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608150710
20260729	20260730	20260730	cat	0.838015	0.709100	0.702700	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608150710
20260729	20260730	20260730	click	0.805335	0.703900	0.700300	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608150710
20260729	20260730	20260730	ext	0.861282	0.808600	0.807400	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608150710
20260730	20260731	20260731	buy	0.839265	0.709700	0.704200	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608150738
20260730	20260731	20260731	cat	0.838142	0.712600	0.706800	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608150738
20260730	20260731	20260731	click	0.806951	0.707300	0.704700	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608150738
20260730	20260731	20260731	ext	0.858311	0.817400	0.815500	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608150738
20260731	20260801	20260801	buy	0.832930	0.704300	0.696800	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608150812
20260731	20260801	20260801	cat	0.832371	0.706500	0.699000	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608150812
20260731	20260801	20260801	click	0.804141	0.702600	0.698200	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608150812
20260731	20260801	20260801	ext	0.856801	0.815400	0.813800	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608150812
