checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260720	20260721	20260724	buy	0.834688	0.698000	0.693000	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608152244
20260720	20260721	20260724	cat	0.833573	0.701500	0.696400	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608152244
20260720	20260721	20260724	click	0.801889	0.697600	0.695100	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608152244
20260720	20260721	20260724	ext	0.863945	0.811600	0.809600	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608152244
20260724	20260725	20260725	buy	0.833558	0.702400	0.695900	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608160034
20260724	20260725	20260725	cat	0.833116	0.706600	0.699800	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608160034
20260724	20260725	20260725	click	0.805137	0.699600	0.696800	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608160034
20260724	20260725	20260725	ext	0.859856	0.807400	0.804600	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608160034
20260725	20260726	20260726	buy	0.836291	0.715600	0.709600	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608160110
20260725	20260726	20260726	cat	0.835646	0.718500	0.712400	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608160110
20260725	20260726	20260726	click	0.805452	0.708800	0.706000	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608160110
20260725	20260726	20260726	ext	0.855189	0.803000	0.799500	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608160110
20260726	20260727	20260727	buy	0.839379	0.706400	0.698800	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608160148
20260726	20260727	20260727	cat	0.838120	0.709200	0.702200	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608160148
20260726	20260727	20260727	click	0.803154	0.698900	0.696500	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608160148
20260726	20260727	20260727	ext	0.860351	0.814400	0.810800	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608160148
20260727	20260728	20260728	buy	0.840258	0.702600	0.695700	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608160214
20260727	20260728	20260728	cat	0.838819	0.706700	0.699200	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608160214
20260727	20260728	20260728	click	0.803871	0.698900	0.695500	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608160214
20260727	20260728	20260728	ext	0.864953	0.827300	0.826300	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608160214
20260728	20260729	20260729	buy	0.838915	0.703100	0.697800	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608160239
20260728	20260729	20260729	cat	0.837632	0.706500	0.701200	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608160239
20260728	20260729	20260729	click	0.805211	0.704800	0.701600	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608160239
20260728	20260729	20260729	ext	0.856186	0.811900	0.810300	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608160239
20260729	20260730	20260730	buy	0.838723	0.704400	0.698000	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608160306
20260729	20260730	20260730	cat	0.837712	0.708400	0.702000	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608160306
20260729	20260730	20260730	click	0.805208	0.703200	0.700000	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608160306
20260729	20260730	20260730	ext	0.861831	0.806700	0.807200	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608160306
20260730	20260731	20260731	buy	0.839403	0.710100	0.704500	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608160334
20260730	20260731	20260731	cat	0.838327	0.713800	0.708100	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608160334
20260730	20260731	20260731	click	0.807161	0.707600	0.705300	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608160334
20260730	20260731	20260731	ext	0.859185	0.820000	0.818500	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608160334
20260731	20260801	20260801	buy	0.833421	0.703200	0.695800	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608160409
20260731	20260801	20260801	cat	0.832742	0.706400	0.698700	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608160409
20260731	20260801	20260801	click	0.804417	0.702400	0.698500	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608160409
20260731	20260801	20260801	ext	0.856690	0.811400	0.808100	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608160409
