checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260720	20260721	20260724	buy	0.834597	0.698700	0.693700	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608160323
20260720	20260721	20260724	cat	0.833522	0.702200	0.697300	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608160323
20260720	20260721	20260724	click	0.801715	0.697600	0.695300	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608160323
20260720	20260721	20260724	ext	0.863709	0.810900	0.809600	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608160323
20260724	20260725	20260725	buy	0.833351	0.701600	0.695400	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608160522
20260724	20260725	20260725	cat	0.832944	0.705900	0.699100	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608160522
20260724	20260725	20260725	click	0.805235	0.699700	0.696900	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608160522
20260724	20260725	20260725	ext	0.859999	0.808100	0.804900	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608160522
20260725	20260726	20260726	buy	0.836360	0.715600	0.709700	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608160603
20260725	20260726	20260726	cat	0.835688	0.718600	0.712600	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608160603
20260725	20260726	20260726	click	0.805549	0.708600	0.706300	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608160603
20260725	20260726	20260726	ext	0.855444	0.805200	0.801700	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608160603
20260726	20260727	20260727	buy	0.840310	0.706500	0.698800	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608160645
20260726	20260727	20260727	cat	0.838964	0.709500	0.702300	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608160645
20260726	20260727	20260727	click	0.803924	0.698400	0.695600	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608160645
20260726	20260727	20260727	ext	0.860768	0.817600	0.815100	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608160645
20260727	20260728	20260728	buy	0.840086	0.703300	0.696300	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608160712
20260727	20260728	20260728	cat	0.838707	0.706800	0.699500	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608160712
20260727	20260728	20260728	click	0.803839	0.699600	0.696100	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608160712
20260727	20260728	20260728	ext	0.865055	0.823900	0.823300	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608160712
20260728	20260729	20260729	buy	0.839030	0.703500	0.697800	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608160741
20260728	20260729	20260729	cat	0.837861	0.707400	0.701500	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608160741
20260728	20260729	20260729	click	0.805386	0.704200	0.700700	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608160741
20260728	20260729	20260729	ext	0.856123	0.815100	0.813200	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608160741
20260729	20260730	20260730	buy	0.839031	0.704400	0.698100	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608160811
20260729	20260730	20260730	cat	0.837974	0.708300	0.701700	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608160811
20260729	20260730	20260730	click	0.805395	0.702700	0.699100	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608160811
20260729	20260730	20260730	ext	0.862671	0.810600	0.810000	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608160811
20260730	20260731	20260731	buy	0.839458	0.709100	0.703800	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608160842
20260730	20260731	20260731	cat	0.838355	0.712300	0.706700	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608160842
20260730	20260731	20260731	click	0.807183	0.707500	0.704600	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608160842
20260730	20260731	20260731	ext	0.858739	0.811500	0.809100	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608160842
20260731	20260801	20260801	buy	0.833748	0.704300	0.697000	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608160919
20260731	20260801	20260801	cat	0.833129	0.707100	0.699700	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608160919
20260731	20260801	20260801	click	0.804900	0.703600	0.699600	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608160919
20260731	20260801	20260801	ext	0.857299	0.819200	0.816600	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608160919
