checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260720	20260721	20260724	buy	0.834203	0.698400	0.693300	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608171920
20260720	20260721	20260724	cat	0.833739	0.702300	0.697300	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608171920
20260720	20260721	20260724	click	0.802238	0.698500	0.696000	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608171920
20260720	20260721	20260724	ext	0.863721	0.809300	0.808300	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608171920
20260724	20260725	20260725	buy	0.833441	0.701400	0.694900	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608172115
20260724	20260725	20260725	cat	0.833214	0.705800	0.699400	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608172115
20260724	20260725	20260725	click	0.805273	0.700300	0.697600	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608172115
20260724	20260725	20260725	ext	0.859769	0.808000	0.805400	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608172115
20260725	20260726	20260726	buy	0.835354	0.715600	0.709400	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608172153
20260725	20260726	20260726	cat	0.835624	0.718600	0.712400	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608172153
20260725	20260726	20260726	click	0.805437	0.709700	0.707000	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608172153
20260725	20260726	20260726	ext	0.856114	0.801300	0.798800	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608172153
20260726	20260727	20260727	buy	0.837555	0.706400	0.698800	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608172235
20260726	20260727	20260727	cat	0.837676	0.708300	0.701200	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608172235
20260726	20260727	20260727	click	0.803067	0.698700	0.695600	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608172235
20260726	20260727	20260727	ext	0.860641	0.815800	0.816500	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608172235
20260727	20260728	20260728	buy	0.838964	0.702100	0.695000	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608172302
20260727	20260728	20260728	cat	0.838858	0.705900	0.698300	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608172302
20260727	20260728	20260728	click	0.804062	0.699900	0.696500	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608172302
20260727	20260728	20260728	ext	0.865605	0.825500	0.823800	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608172302
20260728	20260729	20260729	buy	0.838238	0.703100	0.697000	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608172328
20260728	20260729	20260729	cat	0.837956	0.706600	0.700500	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608172328
20260728	20260729	20260729	click	0.805382	0.703800	0.700100	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608172328
20260728	20260729	20260729	ext	0.856359	0.809200	0.807200	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608172328
20260729	20260730	20260730	buy	0.837272	0.704700	0.698400	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608172356
20260729	20260730	20260730	cat	0.837699	0.709200	0.703000	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608172356
20260729	20260730	20260730	click	0.805177	0.703900	0.700700	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608172356
20260729	20260730	20260730	ext	0.860707	0.804600	0.804300	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608172356
20260730	20260731	20260731	buy	0.838141	0.709100	0.703300	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608180025
20260730	20260731	20260731	cat	0.838194	0.712400	0.706300	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608180025
20260730	20260731	20260731	click	0.807044	0.707300	0.704400	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608180025
20260730	20260731	20260731	ext	0.858622	0.813100	0.811500	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608180025
20260731	20260801	20260801	buy	0.832559	0.703600	0.696100	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608180101
20260731	20260801	20260801	cat	0.832635	0.706900	0.699200	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608180101
20260731	20260801	20260801	click	0.804498	0.701800	0.697400	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608180101
20260731	20260801	20260801	ext	0.856500	0.817100	0.814500	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608180101
