checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260720	20260721	20260724	buy	0.835333	0.699100	0.693900	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608171920
20260720	20260721	20260724	cat	0.834247	0.702500	0.697200	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608171920
20260720	20260721	20260724	click	0.802744	0.699300	0.696500	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608171920
20260720	20260721	20260724	ext	0.864884	0.811000	0.810100	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608171920
20260724	20260725	20260725	buy	0.833252	0.701000	0.694500	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608172113
20260724	20260725	20260725	cat	0.832921	0.704600	0.697900	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608172113
20260724	20260725	20260725	click	0.805183	0.701000	0.698200	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608172113
20260724	20260725	20260725	ext	0.860180	0.807800	0.807400	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608172113
20260725	20260726	20260726	buy	0.836098	0.715500	0.709400	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608172154
20260725	20260726	20260726	cat	0.835561	0.718100	0.711800	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608172154
20260725	20260726	20260726	click	0.805467	0.709900	0.707000	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608172154
20260725	20260726	20260726	ext	0.856040	0.801100	0.796300	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608172154
20260726	20260727	20260727	buy	0.839686	0.707500	0.700000	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608172235
20260726	20260727	20260727	cat	0.838391	0.710700	0.703500	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608172235
20260726	20260727	20260727	click	0.803590	0.698200	0.695200	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608172235
20260726	20260727	20260727	ext	0.860669	0.818400	0.814800	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608172235
20260727	20260728	20260728	buy	0.840091	0.702700	0.695700	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608172302
20260727	20260728	20260728	cat	0.838754	0.706800	0.699300	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608172302
20260727	20260728	20260728	click	0.803943	0.699300	0.695500	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608172302
20260727	20260728	20260728	ext	0.865485	0.821600	0.819900	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608172302
20260728	20260729	20260729	buy	0.839021	0.703600	0.698200	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608172327
20260728	20260729	20260729	cat	0.837876	0.707400	0.701500	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608172327
20260728	20260729	20260729	click	0.805399	0.704600	0.701200	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608172327
20260728	20260729	20260729	ext	0.857196	0.818200	0.816200	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608172327
20260729	20260730	20260730	buy	0.838908	0.705200	0.699000	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608172357
20260729	20260730	20260730	cat	0.837895	0.708800	0.702100	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608172357
20260729	20260730	20260730	click	0.805372	0.702800	0.699700	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608172357
20260729	20260730	20260730	ext	0.862173	0.805400	0.803400	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608172357
20260730	20260731	20260731	buy	0.839244	0.708600	0.703100	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608180025
20260730	20260731	20260731	cat	0.838205	0.712100	0.706400	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608180025
20260730	20260731	20260731	click	0.807194	0.707000	0.703800	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608180025
20260730	20260731	20260731	ext	0.859315	0.822100	0.821600	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608180025
20260731	20260801	20260801	buy	0.833449	0.704800	0.697600	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608180102
20260731	20260801	20260801	cat	0.832879	0.707800	0.700500	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608180102
20260731	20260801	20260801	click	0.804745	0.704700	0.700900	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608180102
20260731	20260801	20260801	ext	0.857293	0.816500	0.812400	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608180102
