checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260720	20260721	20260724	buy	0.835031	0.700300	0.695300	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608171950
20260720	20260721	20260724	cat	0.834140	0.703800	0.698900	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608171950
20260720	20260721	20260724	click	0.802453	0.699000	0.696700	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608171950
20260720	20260721	20260724	ext	0.863993	0.811300	0.810300	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608171950
20260724	20260725	20260725	buy	0.833762	0.702200	0.695800	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608172149
20260724	20260725	20260725	cat	0.833379	0.706100	0.699500	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608172149
20260724	20260725	20260725	click	0.805232	0.701000	0.698400	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608172149
20260724	20260725	20260725	ext	0.859668	0.805200	0.802400	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608172149
20260725	20260726	20260726	buy	0.836067	0.716200	0.710100	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608172229
20260725	20260726	20260726	cat	0.835605	0.718600	0.712500	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608172229
20260725	20260726	20260726	click	0.805487	0.708700	0.706000	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608172229
20260725	20260726	20260726	ext	0.855142	0.805500	0.802100	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608172229
20260726	20260727	20260727	buy	0.838179	0.705100	0.697400	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608172312
20260726	20260727	20260727	cat	0.837709	0.707700	0.700600	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608172312
20260726	20260727	20260727	click	0.802832	0.697500	0.694700	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608172312
20260726	20260727	20260727	ext	0.860159	0.814800	0.813600	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608172312
20260727	20260728	20260728	buy	0.839756	0.704500	0.697400	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608172339
20260727	20260728	20260728	cat	0.838861	0.707700	0.700000	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608172339
20260727	20260728	20260728	click	0.803984	0.699400	0.696100	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608172339
20260727	20260728	20260728	ext	0.864599	0.822100	0.822300	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608172339
20260728	20260729	20260729	buy	0.838642	0.703700	0.698100	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608180006
20260728	20260729	20260729	cat	0.837548	0.706500	0.700900	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608180006
20260728	20260729	20260729	click	0.805200	0.703900	0.700600	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608180006
20260728	20260729	20260729	ext	0.856467	0.811700	0.809000	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608180006
20260729	20260730	20260730	buy	0.838389	0.705900	0.699500	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608180037
20260729	20260730	20260730	cat	0.837936	0.709300	0.702900	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608180037
20260729	20260730	20260730	click	0.805170	0.703000	0.699800	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608180037
20260729	20260730	20260730	ext	0.862521	0.818700	0.815400	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608180037
20260730	20260731	20260731	buy	0.839094	0.709300	0.703600	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608180106
20260730	20260731	20260731	cat	0.838290	0.713100	0.707400	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608180106
20260730	20260731	20260731	click	0.807005	0.707400	0.704600	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608180106
20260730	20260731	20260731	ext	0.858870	0.814800	0.813000	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608180106
20260731	20260801	20260801	buy	0.833607	0.704400	0.697100	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608180144
20260731	20260801	20260801	cat	0.833122	0.706600	0.699200	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608180144
20260731	20260801	20260801	click	0.804741	0.702500	0.698400	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608180144
20260731	20260801	20260801	ext	0.856691	0.818700	0.816600	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608180144
