checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260720	20260721	20260724	buy	0.835088	0.698700	0.693600	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608171931
20260720	20260721	20260724	cat	0.834067	0.702400	0.697300	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608171931
20260720	20260721	20260724	click	0.802273	0.697900	0.695700	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608171931
20260720	20260721	20260724	ext	0.863831	0.811800	0.810300	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608171931
20260724	20260725	20260725	buy	0.833634	0.701500	0.695100	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608172125
20260724	20260725	20260725	cat	0.833058	0.705400	0.698800	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608172125
20260724	20260725	20260725	click	0.805125	0.700300	0.697800	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608172125
20260724	20260725	20260725	ext	0.859766	0.806500	0.805400	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608172125
20260725	20260726	20260726	buy	0.836245	0.715200	0.709100	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608172204
20260725	20260726	20260726	cat	0.835769	0.718000	0.711800	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608172204
20260725	20260726	20260726	click	0.805614	0.709500	0.706800	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608172204
20260725	20260726	20260726	ext	0.855790	0.799600	0.797000	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608172204
20260726	20260727	20260727	buy	0.838461	0.705200	0.697900	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608172245
20260726	20260727	20260727	cat	0.837776	0.708200	0.701200	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608172245
20260726	20260727	20260727	click	0.802964	0.697800	0.695300	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608172245
20260726	20260727	20260727	ext	0.860763	0.817100	0.816200	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608172245
20260727	20260728	20260728	buy	0.839752	0.702200	0.694900	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608172314
20260727	20260728	20260728	cat	0.838928	0.706300	0.698400	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608172314
20260727	20260728	20260728	click	0.804058	0.700100	0.696400	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608172314
20260727	20260728	20260728	ext	0.864944	0.827100	0.827000	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608172314
20260728	20260729	20260729	buy	0.838890	0.705000	0.699800	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608172339
20260728	20260729	20260729	cat	0.837928	0.708500	0.702800	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608172339
20260728	20260729	20260729	click	0.805419	0.704800	0.701800	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608172339
20260728	20260729	20260729	ext	0.856085	0.811600	0.810000	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608172339
20260729	20260730	20260730	buy	0.838643	0.705000	0.698800	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608180008
20260729	20260730	20260730	cat	0.838043	0.708600	0.702100	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608180008
20260729	20260730	20260730	click	0.805349	0.703500	0.700600	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608180008
20260729	20260730	20260730	ext	0.862438	0.803200	0.803300	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608180008
20260730	20260731	20260731	buy	0.839039	0.708900	0.703300	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608180036
20260730	20260731	20260731	cat	0.838215	0.712200	0.706400	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608180036
20260730	20260731	20260731	click	0.807077	0.707300	0.704600	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608180036
20260730	20260731	20260731	ext	0.859079	0.817200	0.816200	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608180036
20260731	20260801	20260801	buy	0.833212	0.703900	0.696100	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608180112
20260731	20260801	20260801	cat	0.832804	0.706500	0.698700	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608180112
20260731	20260801	20260801	click	0.804532	0.703200	0.698500	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608180112
20260731	20260801	20260801	ext	0.856795	0.818800	0.816600	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608180112
