checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260720	20260721	20260724	buy	0.834990	0.699000	0.694000	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608171942
20260720	20260721	20260724	cat	0.833862	0.702400	0.697300	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608171942
20260720	20260721	20260724	click	0.801859	0.697000	0.694800	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608171942
20260720	20260721	20260724	ext	0.863381	0.810800	0.810500	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608171942
20260724	20260725	20260725	buy	0.833134	0.701200	0.695100	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608172133
20260724	20260725	20260725	cat	0.832674	0.705600	0.699300	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608172133
20260724	20260725	20260725	click	0.804479	0.698600	0.696200	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608172133
20260724	20260725	20260725	ext	0.859214	0.805500	0.804900	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608172133
20260725	20260726	20260726	buy	0.836127	0.716300	0.710100	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608172210
20260725	20260726	20260726	cat	0.835400	0.719000	0.712800	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608172210
20260725	20260726	20260726	click	0.805061	0.708600	0.706500	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608172210
20260725	20260726	20260726	ext	0.856110	0.802000	0.798300	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608172210
20260726	20260727	20260727	buy	0.839388	0.705900	0.698200	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608172252
20260726	20260727	20260727	cat	0.837984	0.709400	0.702200	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608172252
20260726	20260727	20260727	click	0.802668	0.697500	0.695100	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608172252
20260726	20260727	20260727	ext	0.860355	0.815200	0.814100	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608172252
20260727	20260728	20260728	buy	0.839945	0.702900	0.695600	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608172319
20260727	20260728	20260728	cat	0.838530	0.707100	0.699600	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608172319
20260727	20260728	20260728	click	0.803333	0.699300	0.695900	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608172319
20260727	20260728	20260728	ext	0.864334	0.825100	0.824300	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608172319
20260728	20260729	20260729	buy	0.838987	0.704100	0.698600	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608172345
20260728	20260729	20260729	cat	0.837782	0.707900	0.702100	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608172345
20260728	20260729	20260729	click	0.804855	0.703100	0.700200	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608172345
20260728	20260729	20260729	ext	0.856894	0.807500	0.805500	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608172345
20260729	20260730	20260730	buy	0.838705	0.704900	0.698900	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608180012
20260729	20260730	20260730	cat	0.837646	0.708900	0.702500	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608180012
20260729	20260730	20260730	click	0.804847	0.701700	0.698900	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608180012
20260729	20260730	20260730	ext	0.861399	0.806300	0.807100	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608180012
20260730	20260731	20260731	buy	0.839072	0.708600	0.702900	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608180042
20260730	20260731	20260731	cat	0.837979	0.711600	0.705600	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608180042
20260730	20260731	20260731	click	0.806516	0.705000	0.702700	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608180042
20260730	20260731	20260731	ext	0.858631	0.819300	0.817800	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608180042
20260731	20260801	20260801	buy	0.833514	0.704000	0.696400	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608180117
20260731	20260801	20260801	cat	0.832885	0.707200	0.699700	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608180117
20260731	20260801	20260801	click	0.804291	0.701700	0.697800	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608180117
20260731	20260801	20260801	ext	0.857127	0.815500	0.812100	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608180117
