checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260720	20260721	20260724	buy	0.835187	0.699600	0.694800	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608171941
20260720	20260721	20260724	cat	0.834069	0.703000	0.698200	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608171941
20260720	20260721	20260724	click	0.802325	0.698300	0.696200	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608171941
20260720	20260721	20260724	ext	0.864148	0.811200	0.809100	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608171941
20260724	20260725	20260725	buy	0.833524	0.700900	0.694700	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608172133
20260724	20260725	20260725	cat	0.833082	0.705400	0.699000	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608172133
20260724	20260725	20260725	click	0.805121	0.700000	0.697400	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608172133
20260724	20260725	20260725	ext	0.859314	0.806600	0.806900	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608172133
20260725	20260726	20260726	buy	0.836124	0.715100	0.708900	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608172211
20260725	20260726	20260726	cat	0.835451	0.718300	0.712100	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608172211
20260725	20260726	20260726	click	0.805276	0.709200	0.706600	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608172211
20260725	20260726	20260726	ext	0.855655	0.803200	0.800300	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608172211
20260726	20260727	20260727	buy	0.839239	0.705900	0.698100	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608172252
20260726	20260727	20260727	cat	0.837973	0.708900	0.701500	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608172252
20260726	20260727	20260727	click	0.803168	0.698000	0.695000	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608172252
20260726	20260727	20260727	ext	0.860235	0.812600	0.810100	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608172252
20260727	20260728	20260728	buy	0.840432	0.703600	0.696500	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608172319
20260727	20260728	20260728	cat	0.839115	0.707300	0.700000	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608172319
20260727	20260728	20260728	click	0.804203	0.700400	0.697100	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608172319
20260727	20260728	20260728	ext	0.865203	0.823100	0.821400	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608172319
20260728	20260729	20260729	buy	0.838794	0.703900	0.698300	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608172345
20260728	20260729	20260729	cat	0.837550	0.707500	0.701700	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608172345
20260728	20260729	20260729	click	0.805146	0.704500	0.701200	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608172345
20260728	20260729	20260729	ext	0.855928	0.818600	0.816400	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608172345
20260729	20260730	20260730	buy	0.839081	0.706300	0.700200	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608180014
20260729	20260730	20260730	cat	0.838073	0.710200	0.703900	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608180014
20260729	20260730	20260730	click	0.805436	0.704400	0.701000	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608180014
20260729	20260730	20260730	ext	0.861683	0.805300	0.807100	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608180014
20260730	20260731	20260731	buy	0.839289	0.709500	0.703800	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608180042
20260730	20260731	20260731	cat	0.838198	0.712300	0.706200	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608180042
20260730	20260731	20260731	click	0.807081	0.708100	0.705300	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608180042
20260730	20260731	20260731	ext	0.858640	0.821800	0.820500	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608180042
20260731	20260801	20260801	buy	0.832837	0.703700	0.696200	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608180117
20260731	20260801	20260801	cat	0.832242	0.706000	0.698600	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608180117
20260731	20260801	20260801	click	0.804218	0.703100	0.699000	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608180117
20260731	20260801	20260801	ext	0.855977	0.818300	0.816400	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608180117
