checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260720	20260721	20260724	buy	0.834760	0.698300	0.693200	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608172045
20260720	20260721	20260724	cat	0.833619	0.702200	0.697000	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608172045
20260720	20260721	20260724	click	0.802050	0.697800	0.695400	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608172045
20260720	20260721	20260724	ext	0.863789	0.809900	0.808900	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608172045
20260724	20260725	20260725	buy	0.833122	0.700200	0.694200	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608172237
20260724	20260725	20260725	cat	0.832879	0.704900	0.698800	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608172237
20260724	20260725	20260725	click	0.804894	0.699700	0.697000	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608172237
20260724	20260725	20260725	ext	0.859437	0.810800	0.809800	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608172237
20260725	20260726	20260726	buy	0.836065	0.713800	0.707700	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608172314
20260725	20260726	20260726	cat	0.835373	0.716400	0.710100	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608172314
20260725	20260726	20260726	click	0.805276	0.708800	0.705900	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608172314
20260725	20260726	20260726	ext	0.855527	0.796000	0.793600	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608172314
20260726	20260727	20260727	buy	0.839087	0.707000	0.699600	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608172352
20260726	20260727	20260727	cat	0.837778	0.709800	0.702700	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608172352
20260726	20260727	20260727	click	0.802963	0.698100	0.695600	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608172352
20260726	20260727	20260727	ext	0.860523	0.814100	0.810800	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608172352
20260727	20260728	20260728	buy	0.840068	0.703100	0.695600	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608180020
20260727	20260728	20260728	cat	0.838684	0.706200	0.698300	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608180020
20260727	20260728	20260728	click	0.803908	0.699400	0.695900	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608180020
20260727	20260728	20260728	ext	0.865249	0.821600	0.820100	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608180020
20260728	20260729	20260729	buy	0.839012	0.704100	0.698500	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608180046
20260728	20260729	20260729	cat	0.837777	0.707500	0.701700	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608180046
20260728	20260729	20260729	click	0.805240	0.705000	0.701700	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608180046
20260728	20260729	20260729	ext	0.855967	0.810500	0.807700	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608180046
20260729	20260730	20260730	buy	0.838402	0.705200	0.699100	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608180113
20260729	20260730	20260730	cat	0.837411	0.708200	0.702100	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608180113
20260729	20260730	20260730	click	0.804925	0.703000	0.700000	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608180113
20260729	20260730	20260730	ext	0.861814	0.814100	0.812700	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608180113
20260730	20260731	20260731	buy	0.839335	0.708800	0.703300	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608180141
20260730	20260731	20260731	cat	0.838304	0.712100	0.706600	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608180141
20260730	20260731	20260731	click	0.807150	0.706800	0.704300	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608180141
20260730	20260731	20260731	ext	0.858564	0.816000	0.816200	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608180141
20260731	20260801	20260801	buy	0.833093	0.703800	0.696600	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608180216
20260731	20260801	20260801	cat	0.832565	0.707100	0.699800	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608180216
20260731	20260801	20260801	click	0.804247	0.702800	0.698900	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608180216
20260731	20260801	20260801	ext	0.856764	0.814500	0.810900	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608180216
