checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260720	20260721	20260724	buy	0.834016	0.696300	0.691400	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608190019
20260720	20260721	20260724	cat	0.832977	0.700100	0.695200	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608190019
20260720	20260721	20260724	click	0.801228	0.696000	0.694000	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608190019
20260720	20260721	20260724	ext	0.863336	0.810200	0.808900	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608190019
20260724	20260725	20260725	buy	0.833123	0.700400	0.694100	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608190216
20260724	20260725	20260725	cat	0.832648	0.704700	0.698100	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608190216
20260724	20260725	20260725	click	0.804706	0.698700	0.696200	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608190216
20260724	20260725	20260725	ext	0.858882	0.805700	0.804100	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608190216
20260725	20260726	20260726	buy	0.835500	0.713900	0.707600	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608190256
20260725	20260726	20260726	cat	0.834852	0.716300	0.710000	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608190256
20260725	20260726	20260726	click	0.804666	0.708000	0.705200	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608190256
20260725	20260726	20260726	ext	0.853913	0.792200	0.788600	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608190256
20260726	20260727	20260727	buy	0.838414	0.704600	0.696600	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608190337
20260726	20260727	20260727	cat	0.837128	0.706800	0.699200	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608190337
20260726	20260727	20260727	click	0.802313	0.696800	0.693800	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608190337
20260726	20260727	20260727	ext	0.859318	0.813400	0.812000	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608190337
20260727	20260728	20260728	buy	0.839388	0.702000	0.694600	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608190405
20260727	20260728	20260728	cat	0.838065	0.706200	0.698300	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608190405
20260727	20260728	20260728	click	0.803257	0.699000	0.695500	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608190405
20260727	20260728	20260728	ext	0.863508	0.826600	0.826000	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608190405
20260728	20260729	20260729	buy	0.838311	0.703400	0.697800	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608190432
20260728	20260729	20260729	cat	0.837107	0.706800	0.701100	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608190432
20260728	20260729	20260729	click	0.804621	0.703600	0.699900	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608190432
20260728	20260729	20260729	ext	0.855257	0.812300	0.810600	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608190432
20260729	20260730	20260730	buy	0.838126	0.703000	0.696700	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608190500
20260729	20260730	20260730	cat	0.837112	0.706500	0.700000	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608190500
20260729	20260730	20260730	click	0.804533	0.700900	0.697600	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608190500
20260729	20260730	20260730	ext	0.861133	0.800100	0.800100	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608190500
20260730	20260731	20260731	buy	0.838627	0.707200	0.701600	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608190531
20260730	20260731	20260731	cat	0.837528	0.711000	0.705300	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608190531
20260730	20260731	20260731	click	0.806312	0.705000	0.702700	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608190531
20260730	20260731	20260731	ext	0.858240	0.822000	0.822300	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608190531
20260731	20260801	20260801	buy	0.832714	0.701800	0.694300	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608190608
20260731	20260801	20260801	cat	0.832195	0.704600	0.697000	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608190608
20260731	20260801	20260801	click	0.803839	0.701200	0.696700	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608190608
20260731	20260801	20260801	ext	0.856505	0.813400	0.810900	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608190608
