checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260720	20260721	20260724	buy	0.835275	0.700200	0.694900	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608200159
20260720	20260721	20260724	cat	0.834265	0.703600	0.698300	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608200159
20260720	20260721	20260724	click	0.802509	0.699400	0.696800	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608200159
20260720	20260721	20260724	ext	0.864186	0.810700	0.808500	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608200159
20260724	20260725	20260725	buy	0.833452	0.703200	0.697100	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608200349
20260724	20260725	20260725	cat	0.833141	0.707600	0.701300	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608200349
20260724	20260725	20260725	click	0.805309	0.700300	0.698000	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608200349
20260724	20260725	20260725	ext	0.860199	0.809800	0.809400	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608200349
20260725	20260726	20260726	buy	0.836636	0.716200	0.710000	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608200427
20260725	20260726	20260726	cat	0.836029	0.719300	0.713000	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608200427
20260725	20260726	20260726	click	0.805877	0.710700	0.707600	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608200427
20260725	20260726	20260726	ext	0.855340	0.801600	0.800200	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608200427
20260726	20260727	20260727	buy	0.838858	0.707300	0.699500	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608200506
20260726	20260727	20260727	cat	0.837618	0.710600	0.703000	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608200506
20260726	20260727	20260727	click	0.802816	0.698800	0.695900	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608200506
20260726	20260727	20260727	ext	0.860095	0.806900	0.805400	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608200506
20260727	20260728	20260728	buy	0.840512	0.705400	0.698300	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608200535
20260727	20260728	20260728	cat	0.839187	0.709000	0.701500	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608200535
20260727	20260728	20260728	click	0.804389	0.702100	0.698700	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608200535
20260727	20260728	20260728	ext	0.864192	0.827600	0.827700	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608200535
20260728	20260729	20260729	buy	0.839567	0.706900	0.701700	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608200600
20260728	20260729	20260729	cat	0.838480	0.710700	0.705000	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608200600
20260728	20260729	20260729	click	0.805830	0.704500	0.701500	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608200600
20260728	20260729	20260729	ext	0.856242	0.816900	0.813200	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608200600
20260729	20260730	20260730	buy	0.839537	0.705700	0.699700	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608200627
20260729	20260730	20260730	cat	0.838557	0.709700	0.703400	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608200627
20260729	20260730	20260730	click	0.805792	0.703500	0.700300	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608200627
20260729	20260730	20260730	ext	0.862517	0.808600	0.808200	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608200627
20260730	20260731	20260731	buy	0.839682	0.708900	0.703500	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608200655
20260730	20260731	20260731	cat	0.838639	0.712300	0.706600	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608200655
20260730	20260731	20260731	click	0.807484	0.706300	0.703700	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608200655
20260730	20260731	20260731	ext	0.859501	0.819500	0.820900	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608200655
20260731	20260801	20260801	buy	0.833705	0.704900	0.697200	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608200732
20260731	20260801	20260801	cat	0.833073	0.708000	0.700500	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608200732
20260731	20260801	20260801	click	0.804864	0.703200	0.698800	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608200732
20260731	20260801	20260801	ext	0.856805	0.814500	0.811200	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608200732
