checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260720	20260721	20260724	buy	0.834813	0.699000	0.694000	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608200156
20260720	20260721	20260724	cat	0.833749	0.702600	0.697700	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608200156
20260720	20260721	20260724	click	0.802240	0.698600	0.696200	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608200156
20260720	20260721	20260724	ext	0.864173	0.812300	0.812200	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608200156
20260724	20260725	20260725	buy	0.833904	0.701600	0.695200	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608200344
20260724	20260725	20260725	cat	0.833507	0.707000	0.700400	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608200344
20260724	20260725	20260725	click	0.805594	0.700500	0.697800	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608200344
20260724	20260725	20260725	ext	0.860006	0.810100	0.809700	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608200344
20260725	20260726	20260726	buy	0.836251	0.715500	0.709500	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608200421
20260725	20260726	20260726	cat	0.835604	0.717800	0.711500	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608200421
20260725	20260726	20260726	click	0.805554	0.709900	0.706900	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608200421
20260725	20260726	20260726	ext	0.855688	0.801800	0.797500	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608200421
20260726	20260727	20260727	buy	0.839154	0.707000	0.699800	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608200459
20260726	20260727	20260727	cat	0.837954	0.709600	0.703000	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608200459
20260726	20260727	20260727	click	0.803368	0.699200	0.696700	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608200459
20260726	20260727	20260727	ext	0.860774	0.814900	0.813800	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608200459
20260727	20260728	20260728	buy	0.839942	0.703000	0.696500	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608200525
20260727	20260728	20260728	cat	0.838571	0.706100	0.698900	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608200525
20260727	20260728	20260728	click	0.803856	0.699900	0.696600	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608200525
20260727	20260728	20260728	ext	0.865337	0.822200	0.820700	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608200525
20260728	20260729	20260729	buy	0.838902	0.703800	0.698000	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608200549
20260728	20260729	20260729	cat	0.837806	0.708200	0.702000	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608200549
20260728	20260729	20260729	click	0.805564	0.705700	0.702200	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608200549
20260728	20260729	20260729	ext	0.857234	0.815000	0.813000	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608200549
20260729	20260730	20260730	buy	0.838603	0.704600	0.698600	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608200615
20260729	20260730	20260730	cat	0.837701	0.708600	0.702200	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608200615
20260729	20260730	20260730	click	0.805219	0.703800	0.700600	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608200615
20260729	20260730	20260730	ext	0.861071	0.804700	0.804200	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608200615
20260730	20260731	20260731	buy	0.839355	0.709600	0.703900	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608200643
20260730	20260731	20260731	cat	0.838366	0.712600	0.706600	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608200643
20260730	20260731	20260731	click	0.807169	0.707600	0.705000	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608200643
20260730	20260731	20260731	ext	0.858966	0.813400	0.813100	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608200643
20260731	20260801	20260801	buy	0.832921	0.704100	0.696700	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608200717
20260731	20260801	20260801	cat	0.832261	0.706900	0.699500	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608200717
20260731	20260801	20260801	click	0.804269	0.704200	0.700300	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608200717
20260731	20260801	20260801	ext	0.857398	0.814900	0.812900	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608200717
