checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260720	20260721	20260724	buy	0.834968	0.698400	0.693500	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608200200
20260720	20260721	20260724	cat	0.833902	0.702400	0.697500	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608200200
20260720	20260721	20260724	click	0.802220	0.698100	0.695600	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608200200
20260720	20260721	20260724	ext	0.864217	0.813100	0.812200	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608200200
20260724	20260725	20260725	buy	0.833571	0.701700	0.695700	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608200352
20260724	20260725	20260725	cat	0.833196	0.706500	0.700200	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608200352
20260724	20260725	20260725	click	0.805152	0.700200	0.698000	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608200352
20260724	20260725	20260725	ext	0.859632	0.812900	0.810100	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608200352
20260725	20260726	20260726	buy	0.836220	0.716000	0.710100	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608200430
20260725	20260726	20260726	cat	0.835542	0.718800	0.712900	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608200430
20260725	20260726	20260726	click	0.805337	0.709900	0.707100	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608200430
20260725	20260726	20260726	ext	0.855695	0.806900	0.803900	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608200430
20260726	20260727	20260727	buy	0.839727	0.706300	0.698400	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608200508
20260726	20260727	20260727	cat	0.838442	0.709200	0.701900	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608200508
20260726	20260727	20260727	click	0.803611	0.699200	0.696500	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608200508
20260726	20260727	20260727	ext	0.859838	0.812700	0.812000	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608200508
20260727	20260728	20260728	buy	0.839677	0.702500	0.695600	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608200535
20260727	20260728	20260728	cat	0.838358	0.706400	0.698900	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608200535
20260727	20260728	20260728	click	0.803496	0.699300	0.695600	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608200535
20260727	20260728	20260728	ext	0.865111	0.823800	0.822500	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608200535
20260728	20260729	20260729	buy	0.838716	0.704400	0.698700	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608200600
20260728	20260729	20260729	cat	0.837631	0.707800	0.701900	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608200600
20260728	20260729	20260729	click	0.804885	0.703700	0.699900	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608200600
20260728	20260729	20260729	ext	0.856010	0.814700	0.812500	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608200600
20260729	20260730	20260730	buy	0.838807	0.704500	0.698300	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608200626
20260729	20260730	20260730	cat	0.837791	0.708100	0.701600	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608200626
20260729	20260730	20260730	click	0.805277	0.703900	0.700300	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608200626
20260729	20260730	20260730	ext	0.861844	0.806200	0.806500	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608200626
20260730	20260731	20260731	buy	0.838900	0.709400	0.703800	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608200654
20260730	20260731	20260731	cat	0.837857	0.712300	0.706800	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608200654
20260730	20260731	20260731	click	0.806810	0.706600	0.704200	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608200654
20260730	20260731	20260731	ext	0.858580	0.812800	0.811700	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608200654
20260731	20260801	20260801	buy	0.833206	0.703500	0.696000	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608200728
20260731	20260801	20260801	cat	0.832622	0.706100	0.698600	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608200728
20260731	20260801	20260801	click	0.804276	0.702900	0.698800	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608200728
20260731	20260801	20260801	ext	0.856881	0.815200	0.811700	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608200728
