checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260720	20260721	20260724	buy	0.835004	0.698800	0.694000	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608202028
20260720	20260721	20260724	cat	0.833885	0.702200	0.697300	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608202028
20260720	20260721	20260724	click	0.802246	0.698300	0.696000	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608202028
20260720	20260721	20260724	ext	0.863994	0.811500	0.810300	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608202028
20260724	20260725	20260725	buy	0.833433	0.701200	0.694600	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608202249
20260724	20260725	20260725	cat	0.833025	0.706000	0.699200	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608202249
20260724	20260725	20260725	click	0.805047	0.700100	0.697200	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608202249
20260724	20260725	20260725	ext	0.859884	0.806600	0.806700	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608202249
20260725	20260726	20260726	buy	0.836074	0.715300	0.709500	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608202336
20260725	20260726	20260726	cat	0.835379	0.718400	0.712400	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608202336
20260725	20260726	20260726	click	0.805219	0.709500	0.706800	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608202336
20260725	20260726	20260726	ext	0.854815	0.801800	0.798700	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608202336
20260726	20260727	20260727	buy	0.839018	0.706500	0.699000	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608210024
20260726	20260727	20260727	cat	0.837621	0.709500	0.702300	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608210024
20260726	20260727	20260727	click	0.802694	0.697700	0.695300	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608210024
20260726	20260727	20260727	ext	0.860261	0.815500	0.814800	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608210024
20260727	20260728	20260728	buy	0.839913	0.703200	0.695900	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608210057
20260727	20260728	20260728	cat	0.838647	0.706500	0.699000	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608210057
20260727	20260728	20260728	click	0.803820	0.699800	0.696300	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608210057
20260727	20260728	20260728	ext	0.865201	0.825700	0.826200	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608210057
20260728	20260729	20260729	buy	0.838688	0.704300	0.699200	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608210130
20260728	20260729	20260729	cat	0.837419	0.708200	0.702800	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608210130
20260728	20260729	20260729	click	0.805039	0.704600	0.701300	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608210130
20260728	20260729	20260729	ext	0.856483	0.810100	0.810200	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608210130
20260729	20260730	20260730	buy	0.838919	0.705500	0.699200	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608210203
20260729	20260730	20260730	cat	0.837867	0.709200	0.702400	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608210203
20260729	20260730	20260730	click	0.805178	0.703500	0.700000	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608210203
20260729	20260730	20260730	ext	0.861607	0.806400	0.804400	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608210203
20260730	20260731	20260731	buy	0.839158	0.708200	0.702600	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608210239
20260730	20260731	20260731	cat	0.838057	0.711600	0.705900	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608210239
20260730	20260731	20260731	click	0.806803	0.707300	0.704700	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608210239
20260730	20260731	20260731	ext	0.858833	0.815900	0.814600	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608210239
20260731	20260801	20260801	buy	0.832842	0.703200	0.695800	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608210324
20260731	20260801	20260801	cat	0.832298	0.705900	0.698500	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608210324
20260731	20260801	20260801	click	0.804038	0.701500	0.697200	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608210324
20260731	20260801	20260801	ext	0.856823	0.813200	0.811100	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608210324
