checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260720	20260721	20260724	buy	0.835019	0.698800	0.693700	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608201928
20260720	20260721	20260724	cat	0.833911	0.702300	0.697200	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608201928
20260720	20260721	20260724	click	0.802198	0.698100	0.695600	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608201928
20260720	20260721	20260724	ext	0.863927	0.810600	0.809500	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608201928
20260724	20260725	20260725	buy	0.833655	0.702600	0.696500	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608202117
20260724	20260725	20260725	cat	0.833252	0.706700	0.700100	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608202117
20260724	20260725	20260725	click	0.805319	0.700600	0.697700	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608202117
20260724	20260725	20260725	ext	0.860164	0.805100	0.804000	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608202117
20260725	20260726	20260726	buy	0.836405	0.715100	0.709100	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608202154
20260725	20260726	20260726	cat	0.835766	0.718000	0.712000	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608202154
20260725	20260726	20260726	click	0.805646	0.709100	0.706000	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608202154
20260725	20260726	20260726	ext	0.855581	0.798300	0.791500	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608202154
20260726	20260727	20260727	buy	0.839153	0.706300	0.698800	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608202233
20260726	20260727	20260727	cat	0.837839	0.709100	0.701900	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608202233
20260726	20260727	20260727	click	0.803094	0.699300	0.696600	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608202233
20260726	20260727	20260727	ext	0.860249	0.812700	0.812400	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608202233
20260727	20260728	20260728	buy	0.840429	0.702700	0.695400	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608202259
20260727	20260728	20260728	cat	0.839049	0.706400	0.698600	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608202259
20260727	20260728	20260728	click	0.804136	0.699900	0.696400	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608202259
20260727	20260728	20260728	ext	0.864756	0.822900	0.822600	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608202259
20260728	20260729	20260729	buy	0.839204	0.703700	0.698000	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608202324
20260728	20260729	20260729	cat	0.838008	0.707500	0.701500	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608202324
20260728	20260729	20260729	click	0.805507	0.705300	0.701700	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608202324
20260728	20260729	20260729	ext	0.856881	0.816600	0.811300	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608202324
20260729	20260730	20260730	buy	0.839219	0.706100	0.700000	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608202351
20260729	20260730	20260730	cat	0.838143	0.709000	0.702700	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608202351
20260729	20260730	20260730	click	0.805530	0.703400	0.699900	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608202351
20260729	20260730	20260730	ext	0.861914	0.806600	0.806300	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608202351
20260730	20260731	20260731	buy	0.839368	0.709200	0.703500	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608210019
20260730	20260731	20260731	cat	0.838308	0.713100	0.707200	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608210019
20260730	20260731	20260731	click	0.807130	0.707900	0.704900	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608210019
20260730	20260731	20260731	ext	0.858644	0.820300	0.819600	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608210019
20260731	20260801	20260801	buy	0.833476	0.703200	0.695700	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608210055
20260731	20260801	20260801	cat	0.832838	0.706600	0.699200	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608210055
20260731	20260801	20260801	click	0.804681	0.702400	0.698100	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608210055
20260731	20260801	20260801	ext	0.857253	0.816500	0.814000	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608210055
