checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260720	20260721	20260724	buy	0.833482	0.696100	0.691100	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608202020
20260720	20260721	20260724	cat	0.832489	0.700000	0.694900	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608202020
20260720	20260721	20260724	click	0.800780	0.695400	0.693200	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608202020
20260720	20260721	20260724	ext	0.862652	0.808800	0.807000	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608202020
20260724	20260725	20260725	buy	0.832383	0.699700	0.693400	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608202220
20260724	20260725	20260725	cat	0.831908	0.704300	0.697900	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608202220
20260724	20260725	20260725	click	0.803980	0.698700	0.696100	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608202220
20260724	20260725	20260725	ext	0.857708	0.799500	0.799200	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608202220
20260725	20260726	20260726	buy	0.834962	0.713800	0.707800	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608202300
20260725	20260726	20260726	cat	0.834302	0.716300	0.710200	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608202300
20260725	20260726	20260726	click	0.804216	0.707300	0.704900	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608202300
20260725	20260726	20260726	ext	0.851832	0.800600	0.797700	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608202300
20260726	20260727	20260727	buy	0.838755	0.705400	0.697800	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608202342
20260726	20260727	20260727	cat	0.837422	0.708400	0.701500	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608202342
20260726	20260727	20260727	click	0.802543	0.697900	0.694900	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608202342
20260726	20260727	20260727	ext	0.858437	0.813200	0.809800	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608202342
20260727	20260728	20260728	buy	0.839037	0.701500	0.694800	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608210009
20260727	20260728	20260728	cat	0.837757	0.705400	0.698500	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608210009
20260727	20260728	20260728	click	0.802891	0.698400	0.694900	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608210009
20260727	20260728	20260728	ext	0.863000	0.819400	0.820300	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608210009
20260728	20260729	20260729	buy	0.837801	0.702700	0.697300	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608210037
20260728	20260729	20260729	cat	0.836659	0.707000	0.701300	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608210037
20260728	20260729	20260729	click	0.804146	0.703900	0.700300	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608210037
20260728	20260729	20260729	ext	0.854108	0.806200	0.802000	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608210037
20260729	20260730	20260730	buy	0.837724	0.703600	0.696900	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608210107
20260729	20260730	20260730	cat	0.836637	0.707200	0.700400	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608210107
20260729	20260730	20260730	click	0.804003	0.702000	0.698700	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608210107
20260729	20260730	20260730	ext	0.861776	0.807900	0.807200	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608210107
20260730	20260731	20260731	buy	0.838010	0.706500	0.701000	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608210136
20260730	20260731	20260731	cat	0.836968	0.709800	0.704100	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608210136
20260730	20260731	20260731	click	0.805824	0.705100	0.702700	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608210136
20260730	20260731	20260731	ext	0.857661	0.815600	0.813900	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608210136
20260731	20260801	20260801	buy	0.832287	0.703200	0.695700	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608210215
20260731	20260801	20260801	cat	0.831622	0.706100	0.698600	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608210215
20260731	20260801	20260801	click	0.803356	0.701700	0.697500	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608210215
20260731	20260801	20260801	ext	0.855217	0.813600	0.811600	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608210215
