checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260720	20260721	20260724	buy	0.834948	0.698500	0.693500	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608202124
20260720	20260721	20260724	cat	0.833923	0.702300	0.697300	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608202124
20260720	20260721	20260724	click	0.802144	0.698600	0.696100	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608202124
20260720	20260721	20260724	ext	0.864221	0.812200	0.811700	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608202124
20260724	20260725	20260725	buy	0.833230	0.700600	0.694400	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608202323
20260724	20260725	20260725	cat	0.832800	0.705500	0.699000	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608202323
20260724	20260725	20260725	click	0.804975	0.699100	0.696600	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608202323
20260724	20260725	20260725	ext	0.859813	0.805800	0.804200	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608202323
20260725	20260726	20260726	buy	0.836415	0.715500	0.709900	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608210003
20260725	20260726	20260726	cat	0.835747	0.718300	0.712500	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608210003
20260725	20260726	20260726	click	0.805572	0.709500	0.707100	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608210003
20260725	20260726	20260726	ext	0.855477	0.802700	0.799400	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608210003
20260726	20260727	20260727	buy	0.839523	0.706600	0.699300	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608210045
20260726	20260727	20260727	cat	0.838218	0.709300	0.702500	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608210045
20260726	20260727	20260727	click	0.803341	0.698400	0.695900	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608210045
20260726	20260727	20260727	ext	0.860760	0.817500	0.817100	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608210045
20260727	20260728	20260728	buy	0.840353	0.701200	0.693900	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608210113
20260727	20260728	20260728	cat	0.839046	0.705200	0.697400	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608210113
20260727	20260728	20260728	click	0.804180	0.699500	0.696100	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608210113
20260727	20260728	20260728	ext	0.865350	0.822900	0.824000	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608210113
20260728	20260729	20260729	buy	0.839210	0.703900	0.698300	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608210141
20260728	20260729	20260729	cat	0.838034	0.708500	0.702500	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608210141
20260728	20260729	20260729	click	0.805493	0.703900	0.700600	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608210141
20260728	20260729	20260729	ext	0.857310	0.816200	0.813900	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608210141
20260729	20260730	20260730	buy	0.838852	0.704400	0.697900	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608210210
20260729	20260730	20260730	cat	0.837828	0.708600	0.701900	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608210210
20260729	20260730	20260730	click	0.805208	0.702400	0.698900	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608210210
20260729	20260730	20260730	ext	0.861765	0.804100	0.801900	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608210210
20260730	20260731	20260731	buy	0.839145	0.709000	0.703200	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608210240
20260730	20260731	20260731	cat	0.838037	0.712400	0.706400	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608210240
20260730	20260731	20260731	click	0.806888	0.706400	0.703800	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608210240
20260730	20260731	20260731	ext	0.859342	0.820300	0.820400	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608210240
20260731	20260801	20260801	buy	0.833220	0.705000	0.697900	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608210319
20260731	20260801	20260801	cat	0.832671	0.707400	0.700300	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608210319
20260731	20260801	20260801	click	0.804542	0.703100	0.699000	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608210319
20260731	20260801	20260801	ext	0.856923	0.815300	0.812700	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608210319
