checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260720	20260721	20260724	buy	0.834736	0.698200	0.693200	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608201928
20260720	20260721	20260724	cat	0.833609	0.701900	0.696900	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608201928
20260720	20260721	20260724	click	0.801931	0.697100	0.694600	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608201928
20260720	20260721	20260724	ext	0.863568	0.812100	0.810700	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608201928
20260724	20260725	20260725	buy	0.832757	0.699700	0.693300	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608202118
20260724	20260725	20260725	cat	0.832476	0.704400	0.697900	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608202118
20260724	20260725	20260725	click	0.804887	0.698600	0.696200	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608202118
20260724	20260725	20260725	ext	0.859542	0.806700	0.805700	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608202118
20260725	20260726	20260726	buy	0.836337	0.715900	0.710100	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608202155
20260725	20260726	20260726	cat	0.835697	0.718400	0.712400	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608202155
20260725	20260726	20260726	click	0.805550	0.709300	0.706500	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608202155
20260725	20260726	20260726	ext	0.855469	0.804900	0.803500	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608202155
20260726	20260727	20260727	buy	0.839445	0.705100	0.697300	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608202232
20260726	20260727	20260727	cat	0.838107	0.708900	0.701600	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608202232
20260726	20260727	20260727	click	0.803385	0.699200	0.696500	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608202232
20260726	20260727	20260727	ext	0.860470	0.812000	0.811000	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608202232
20260727	20260728	20260728	buy	0.840342	0.702000	0.694800	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608202258
20260727	20260728	20260728	cat	0.838986	0.705900	0.698200	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608202258
20260727	20260728	20260728	click	0.804120	0.700000	0.697000	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608202258
20260727	20260728	20260728	ext	0.865075	0.825100	0.825600	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608202258
20260728	20260729	20260729	buy	0.838927	0.704300	0.698700	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608202324
20260728	20260729	20260729	cat	0.837769	0.708100	0.702200	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608202324
20260728	20260729	20260729	click	0.805318	0.704000	0.700500	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608202324
20260728	20260729	20260729	ext	0.855986	0.812700	0.809400	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608202324
20260729	20260730	20260730	buy	0.838901	0.706200	0.699900	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608202350
20260729	20260730	20260730	cat	0.837924	0.709800	0.703300	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608202350
20260729	20260730	20260730	click	0.805250	0.705100	0.701600	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608202350
20260729	20260730	20260730	ext	0.861180	0.808900	0.807800	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608202350
20260730	20260731	20260731	buy	0.839273	0.709100	0.703400	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608210018
20260730	20260731	20260731	cat	0.838218	0.712500	0.706400	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608210018
20260730	20260731	20260731	click	0.807172	0.707200	0.704200	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608210018
20260730	20260731	20260731	ext	0.859038	0.812300	0.810900	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608210018
20260731	20260801	20260801	buy	0.833078	0.702400	0.694800	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608210053
20260731	20260801	20260801	cat	0.832516	0.706000	0.698500	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608210053
20260731	20260801	20260801	click	0.804214	0.702300	0.698200	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608210053
20260731	20260801	20260801	ext	0.857095	0.815600	0.813500	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608210053
