checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260720	20260721	20260724	buy	0.834740	0.698100	0.693100	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608201916
20260720	20260721	20260724	cat	0.833674	0.701900	0.696900	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608201916
20260720	20260721	20260724	click	0.802073	0.697800	0.695300	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608201916
20260720	20260721	20260724	ext	0.863856	0.812300	0.810900	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608201916
20260724	20260725	20260725	buy	0.832722	0.700800	0.694300	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608202105
20260724	20260725	20260725	cat	0.832446	0.705200	0.698400	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608202105
20260724	20260725	20260725	click	0.804550	0.699100	0.696300	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608202105
20260724	20260725	20260725	ext	0.859374	0.809500	0.807400	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608202105
20260725	20260726	20260726	buy	0.836029	0.714800	0.708700	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608202141
20260725	20260726	20260726	cat	0.835380	0.717200	0.711100	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608202141
20260725	20260726	20260726	click	0.805294	0.709600	0.707000	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608202141
20260725	20260726	20260726	ext	0.855337	0.796700	0.793100	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608202141
20260726	20260727	20260727	buy	0.839047	0.706100	0.698700	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608202218
20260726	20260727	20260727	cat	0.837728	0.708400	0.701300	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608202218
20260726	20260727	20260727	click	0.802819	0.697700	0.695100	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608202218
20260726	20260727	20260727	ext	0.860091	0.813600	0.811700	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608202218
20260727	20260728	20260728	buy	0.839797	0.703700	0.696500	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608202243
20260727	20260728	20260728	cat	0.838423	0.707100	0.699600	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608202243
20260727	20260728	20260728	click	0.803588	0.700000	0.696700	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608202243
20260727	20260728	20260728	ext	0.864524	0.828700	0.830600	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608202243
20260728	20260729	20260729	buy	0.839119	0.703100	0.697300	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608202308
20260728	20260729	20260729	cat	0.837910	0.706900	0.700900	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608202308
20260728	20260729	20260729	click	0.805310	0.704600	0.701100	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608202308
20260728	20260729	20260729	ext	0.856662	0.815900	0.814100	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608202308
20260729	20260730	20260730	buy	0.838847	0.706300	0.699900	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608202334
20260729	20260730	20260730	cat	0.837819	0.709800	0.703200	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608202334
20260729	20260730	20260730	click	0.805161	0.703600	0.699800	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608202334
20260729	20260730	20260730	ext	0.861668	0.808900	0.808200	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608202334
20260730	20260731	20260731	buy	0.839135	0.709100	0.703200	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608210001
20260730	20260731	20260731	cat	0.838037	0.712000	0.705900	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608210001
20260730	20260731	20260731	click	0.806939	0.706500	0.703500	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608210001
20260730	20260731	20260731	ext	0.858671	0.816400	0.815200	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608210001
20260731	20260801	20260801	buy	0.832965	0.703500	0.695900	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608210036
20260731	20260801	20260801	cat	0.832414	0.705700	0.698200	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608210036
20260731	20260801	20260801	click	0.804060	0.702500	0.698300	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608210036
20260731	20260801	20260801	ext	0.856959	0.811600	0.808600	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608210036
