checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260720	20260721	20260724	buy	0.836545	0.700800	0.695400	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608220825
20260720	20260721	20260724	cat	0.835404	0.704400	0.699000	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608220825
20260720	20260721	20260724	click	0.803649	0.699900	0.697400	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608220825
20260720	20260721	20260724	ext	0.865404	0.809800	0.806900	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608220825
20260724	20260725	20260725	buy	0.835578	0.703800	0.697500	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608221041
20260724	20260725	20260725	cat	0.835108	0.708000	0.701200	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608221041
20260724	20260725	20260725	click	0.806869	0.701300	0.698500	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608221041
20260724	20260725	20260725	ext	0.861034	0.805100	0.806800	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608221041
20260725	20260726	20260726	buy	0.836961	0.716600	0.710500	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608221127
20260725	20260726	20260726	cat	0.836233	0.719100	0.713000	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608221127
20260725	20260726	20260726	click	0.806175	0.710400	0.707700	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608221127
20260725	20260726	20260726	ext	0.855978	0.803400	0.800100	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608221127
20260726	20260727	20260727	buy	0.840073	0.706100	0.698400	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608221214
20260726	20260727	20260727	cat	0.838727	0.709000	0.701600	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608221214
20260726	20260727	20260727	click	0.804118	0.699300	0.697300	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608221214
20260726	20260727	20260727	ext	0.861913	0.809900	0.808500	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608221214
20260727	20260728	20260728	buy	0.841125	0.701400	0.693900	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608221247
20260727	20260728	20260728	cat	0.839842	0.706200	0.698100	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608221247
20260727	20260728	20260728	click	0.804717	0.700300	0.696800	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608221247
20260727	20260728	20260728	ext	0.866006	0.827400	0.828700	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608221247
20260728	20260729	20260729	buy	0.840762	0.706600	0.700900	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608221318
20260728	20260729	20260729	cat	0.839637	0.710800	0.704800	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608221318
20260728	20260729	20260729	click	0.806956	0.706700	0.703400	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608221318
20260728	20260729	20260729	ext	0.858448	0.814500	0.812700	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608221318
20260729	20260730	20260730	buy	0.839698	0.704100	0.697700	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608221351
20260729	20260730	20260730	cat	0.838661	0.707800	0.701300	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608221351
20260729	20260730	20260730	click	0.806022	0.703600	0.699900	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608221351
20260729	20260730	20260730	ext	0.863018	0.808400	0.807300	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608221351
20260730	20260731	20260731	buy	0.839858	0.708700	0.703300	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608221427
20260730	20260731	20260731	cat	0.838729	0.711600	0.705900	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608221427
20260730	20260731	20260731	click	0.807593	0.705700	0.702600	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608221427
20260730	20260731	20260731	ext	0.859979	0.813400	0.812500	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608221427
20260731	20260801	20260801	buy	0.834912	0.704000	0.696500	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608221510
20260731	20260801	20260801	cat	0.834272	0.707100	0.699800	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608221510
20260731	20260801	20260801	click	0.805932	0.704300	0.699800	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608221510
20260731	20260801	20260801	ext	0.858515	0.816600	0.813400	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608221510
