checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260720	20260721	20260724	buy	0.836353	0.699100	0.694100	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608220825
20260720	20260721	20260724	cat	0.835242	0.703000	0.697900	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608220825
20260720	20260721	20260724	click	0.803487	0.698900	0.696400	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608220825
20260720	20260721	20260724	ext	0.865362	0.812200	0.810600	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608220825
20260724	20260725	20260725	buy	0.835711	0.702300	0.696200	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608221041
20260724	20260725	20260725	cat	0.835190	0.707000	0.700700	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608221041
20260724	20260725	20260725	click	0.806974	0.700800	0.698200	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608221041
20260724	20260725	20260725	ext	0.860416	0.808700	0.808700	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608221041
20260725	20260726	20260726	buy	0.837212	0.716900	0.710700	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608221126
20260725	20260726	20260726	cat	0.836512	0.719400	0.713100	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608221126
20260725	20260726	20260726	click	0.806368	0.710100	0.707700	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608221126
20260725	20260726	20260726	ext	0.856046	0.803800	0.799000	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608221126
20260726	20260727	20260727	buy	0.840382	0.705900	0.698200	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608221213
20260726	20260727	20260727	cat	0.839116	0.709500	0.702400	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608221213
20260726	20260727	20260727	click	0.804290	0.699200	0.696600	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608221213
20260726	20260727	20260727	ext	0.862266	0.815900	0.813200	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608221213
20260727	20260728	20260728	buy	0.841258	0.703100	0.695200	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608221245
20260727	20260728	20260728	cat	0.839966	0.706600	0.698500	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608221245
20260727	20260728	20260728	click	0.805012	0.699700	0.695900	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608221245
20260727	20260728	20260728	ext	0.865847	0.826000	0.824800	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608221245
20260728	20260729	20260729	buy	0.840541	0.704500	0.699000	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608221317
20260728	20260729	20260729	cat	0.839344	0.707800	0.702100	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608221317
20260728	20260729	20260729	click	0.806740	0.704300	0.700400	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608221317
20260728	20260729	20260729	ext	0.858716	0.812500	0.808600	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608221317
20260729	20260730	20260730	buy	0.839852	0.705600	0.699100	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608221350
20260729	20260730	20260730	cat	0.838820	0.709300	0.702600	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608221350
20260729	20260730	20260730	click	0.806156	0.703900	0.700300	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608221350
20260729	20260730	20260730	ext	0.862620	0.813300	0.814000	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608221350
20260730	20260731	20260731	buy	0.839703	0.709000	0.703400	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608221425
20260730	20260731	20260731	cat	0.838650	0.712100	0.706400	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608221425
20260730	20260731	20260731	click	0.807478	0.707500	0.704600	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608221425
20260730	20260731	20260731	ext	0.859005	0.819300	0.817900	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608221425
20260731	20260801	20260801	buy	0.835055	0.705300	0.697900	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608221508
20260731	20260801	20260801	cat	0.834392	0.707500	0.700300	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608221508
20260731	20260801	20260801	click	0.805935	0.703900	0.699900	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608221508
20260731	20260801	20260801	ext	0.858326	0.809400	0.807300	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608221508
