checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260720	20260721	20260724	buy	0.836520	0.700000	0.694700	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608220725
20260720	20260721	20260724	cat	0.835388	0.703600	0.698300	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608220725
20260720	20260721	20260724	click	0.803655	0.699600	0.697100	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608220725
20260720	20260721	20260724	ext	0.865739	0.814200	0.812800	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608220725
20260724	20260725	20260725	buy	0.836173	0.703100	0.696900	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608220916
20260724	20260725	20260725	cat	0.835666	0.707400	0.700800	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608220916
20260724	20260725	20260725	click	0.807387	0.701600	0.699000	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608220916
20260724	20260725	20260725	ext	0.861091	0.809700	0.807700	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608220916
20260725	20260726	20260726	buy	0.836570	0.715100	0.709100	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608220954
20260725	20260726	20260726	cat	0.835857	0.717700	0.711400	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608220954
20260725	20260726	20260726	click	0.805758	0.709000	0.705900	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608220954
20260725	20260726	20260726	ext	0.856254	0.802800	0.799700	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608220954
20260726	20260727	20260727	buy	0.840132	0.705100	0.697700	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608221034
20260726	20260727	20260727	cat	0.838830	0.708100	0.701200	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608221034
20260726	20260727	20260727	click	0.804263	0.698200	0.695700	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608221034
20260726	20260727	20260727	ext	0.862410	0.820000	0.819900	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608221034
20260727	20260728	20260728	buy	0.840606	0.700700	0.693800	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608221100
20260727	20260728	20260728	cat	0.839296	0.704100	0.696600	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608221100
20260727	20260728	20260728	click	0.804239	0.697500	0.694000	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608221100
20260727	20260728	20260728	ext	0.865227	0.822600	0.819800	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608221100
20260728	20260729	20260729	buy	0.839880	0.701300	0.695500	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608221126
20260728	20260729	20260729	cat	0.838773	0.705700	0.699700	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608221126
20260728	20260729	20260729	click	0.806256	0.703900	0.700200	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608221126
20260728	20260729	20260729	ext	0.858089	0.808200	0.805400	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608221126
20260729	20260730	20260730	buy	0.839356	0.703600	0.697800	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608221153
20260729	20260730	20260730	cat	0.838310	0.707800	0.701500	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608221153
20260729	20260730	20260730	click	0.805715	0.703000	0.699700	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608221153
20260729	20260730	20260730	ext	0.862325	0.806600	0.807600	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608221153
20260730	20260731	20260731	buy	0.839633	0.708300	0.702700	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608221221
20260730	20260731	20260731	cat	0.838518	0.711700	0.705900	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608221221
20260730	20260731	20260731	click	0.807372	0.706600	0.703600	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608221221
20260730	20260731	20260731	ext	0.858425	0.816300	0.815500	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608221221
20260731	20260801	20260801	buy	0.835495	0.703300	0.695900	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608221256
20260731	20260801	20260801	cat	0.834802	0.706600	0.699200	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608221256
20260731	20260801	20260801	click	0.806247	0.703100	0.698800	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608221256
20260731	20260801	20260801	ext	0.858073	0.810600	0.807600	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608221256
