checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260720	20260721	20260724	buy	0.836406	0.699700	0.694400	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608230843
20260720	20260721	20260724	cat	0.835301	0.703400	0.698200	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608230843
20260720	20260721	20260724	click	0.803467	0.699100	0.696600	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608230843
20260720	20260721	20260724	ext	0.865277	0.811900	0.810200	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608230843
20260724	20260725	20260725	buy	0.835726	0.702800	0.696400	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608231033
20260724	20260725	20260725	cat	0.835250	0.707000	0.700400	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608231033
20260724	20260725	20260725	click	0.806999	0.700800	0.698100	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608231033
20260724	20260725	20260725	ext	0.860370	0.804400	0.805700	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608231033
20260725	20260726	20260726	buy	0.836955	0.714800	0.708900	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608231110
20260725	20260726	20260726	cat	0.836230	0.718200	0.712000	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608231110
20260725	20260726	20260726	click	0.806217	0.709900	0.707500	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608231110
20260725	20260726	20260726	ext	0.855689	0.798500	0.794600	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608231110
20260726	20260727	20260727	buy	0.840824	0.705300	0.697400	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608231150
20260726	20260727	20260727	cat	0.839540	0.708400	0.700800	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608231150
20260726	20260727	20260727	click	0.804849	0.699800	0.696800	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608231150
20260726	20260727	20260727	ext	0.862611	0.807500	0.806900	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608231150
20260727	20260728	20260728	buy	0.841229	0.701500	0.694300	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608231216
20260727	20260728	20260728	cat	0.839938	0.705200	0.697400	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608231216
20260727	20260728	20260728	click	0.804780	0.699200	0.695900	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608231216
20260727	20260728	20260728	ext	0.865844	0.824600	0.823900	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608231216
20260728	20260729	20260729	buy	0.840638	0.704500	0.699300	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608231242
20260728	20260729	20260729	cat	0.839508	0.708500	0.702800	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608231242
20260728	20260729	20260729	click	0.806854	0.705300	0.701700	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608231242
20260728	20260729	20260729	ext	0.857988	0.818500	0.817300	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608231242
20260729	20260730	20260730	buy	0.839779	0.703600	0.697400	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608231308
20260729	20260730	20260730	cat	0.838781	0.707100	0.700500	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608231308
20260729	20260730	20260730	click	0.806133	0.702900	0.698700	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608231308
20260729	20260730	20260730	ext	0.862839	0.806700	0.807600	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608231308
20260730	20260731	20260731	buy	0.840079	0.709000	0.703500	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608231336
20260730	20260731	20260731	cat	0.839024	0.712100	0.706400	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608231336
20260730	20260731	20260731	click	0.807818	0.707900	0.705000	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608231336
20260730	20260731	20260731	ext	0.859354	0.813900	0.812800	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608231336
20260731	20260801	20260801	buy	0.835459	0.704100	0.696400	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608231410
20260731	20260801	20260801	cat	0.834809	0.707300	0.699800	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608231410
20260731	20260801	20260801	click	0.806401	0.704800	0.700800	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608231410
20260731	20260801	20260801	ext	0.858282	0.813800	0.811300	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608231410
