checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260720	20260721	20260724	buy	0.836350	0.699400	0.694200	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608230832
20260720	20260721	20260724	cat	0.835244	0.703100	0.697900	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608230832
20260720	20260721	20260724	click	0.803487	0.699400	0.696900	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608230832
20260720	20260721	20260724	ext	0.865456	0.811100	0.810000	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608230832
20260724	20260725	20260725	buy	0.835781	0.701700	0.695200	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608231020
20260724	20260725	20260725	cat	0.835275	0.706000	0.699200	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608231020
20260724	20260725	20260725	click	0.806983	0.700500	0.697700	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608231020
20260724	20260725	20260725	ext	0.860543	0.805900	0.804300	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608231020
20260725	20260726	20260726	buy	0.836373	0.713900	0.707800	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608231058
20260725	20260726	20260726	cat	0.835666	0.716500	0.710400	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608231058
20260725	20260726	20260726	click	0.805602	0.708400	0.705900	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608231058
20260725	20260726	20260726	ext	0.856087	0.798900	0.795300	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608231058
20260726	20260727	20260727	buy	0.840251	0.706000	0.698800	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608231136
20260726	20260727	20260727	cat	0.838979	0.708900	0.702100	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608231136
20260726	20260727	20260727	click	0.804381	0.699200	0.696100	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608231136
20260726	20260727	20260727	ext	0.861799	0.817900	0.815600	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608231136
20260727	20260728	20260728	buy	0.840195	0.701200	0.694000	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608231202
20260727	20260728	20260728	cat	0.838885	0.705200	0.697300	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608231202
20260727	20260728	20260728	click	0.803787	0.697700	0.694000	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608231202
20260727	20260728	20260728	ext	0.865627	0.828800	0.828800	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608231202
20260728	20260729	20260729	buy	0.839741	0.702700	0.697100	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608231228
20260728	20260729	20260729	cat	0.838636	0.707100	0.701000	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608231228
20260728	20260729	20260729	click	0.806072	0.704600	0.701000	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608231228
20260728	20260729	20260729	ext	0.858266	0.816300	0.814200	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608231228
20260729	20260730	20260730	buy	0.838975	0.701700	0.695600	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608231254
20260729	20260730	20260730	cat	0.837895	0.705400	0.699000	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608231254
20260729	20260730	20260730	click	0.805261	0.701700	0.697900	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608231254
20260729	20260730	20260730	ext	0.861633	0.806000	0.805300	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608231254
20260730	20260731	20260731	buy	0.839353	0.707100	0.701300	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608231323
20260730	20260731	20260731	cat	0.838263	0.710200	0.704100	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608231323
20260730	20260731	20260731	click	0.807074	0.705900	0.703200	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608231323
20260730	20260731	20260731	ext	0.858235	0.814500	0.812500	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608231323
20260731	20260801	20260801	buy	0.835139	0.702700	0.695100	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608231358
20260731	20260801	20260801	cat	0.834407	0.706100	0.698600	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608231358
20260731	20260801	20260801	click	0.805873	0.703100	0.698800	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608231358
20260731	20260801	20260801	ext	0.857945	0.815400	0.812400	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608231358
