checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260720	20260721	20260724	buy	0.835437	0.697300	0.692300	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608230823
20260720	20260721	20260724	cat	0.834321	0.701000	0.696000	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608230823
20260720	20260721	20260724	click	0.802585	0.697500	0.695000	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608230823
20260720	20260721	20260724	ext	0.864728	0.811000	0.809200	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608230823
20260724	20260725	20260725	buy	0.834173	0.698800	0.692400	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608231014
20260724	20260725	20260725	cat	0.833668	0.703300	0.696500	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608231014
20260724	20260725	20260725	click	0.805516	0.697900	0.695400	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608231014
20260724	20260725	20260725	ext	0.859882	0.807800	0.807800	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608231014
20260725	20260726	20260726	buy	0.835278	0.713200	0.707300	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608231051
20260725	20260726	20260726	cat	0.834557	0.715500	0.709400	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608231051
20260725	20260726	20260726	click	0.804495	0.707000	0.704500	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608231051
20260725	20260726	20260726	ext	0.854865	0.798100	0.794600	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608231051
20260726	20260727	20260727	buy	0.837942	0.702400	0.694700	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608231129
20260726	20260727	20260727	cat	0.836738	0.705600	0.698600	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608231129
20260726	20260727	20260727	click	0.802183	0.696200	0.693600	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608231129
20260726	20260727	20260727	ext	0.860676	0.814500	0.814200	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608231129
20260727	20260728	20260728	buy	0.839034	0.698600	0.691400	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608231155
20260727	20260728	20260728	cat	0.837764	0.702700	0.694900	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608231155
20260727	20260728	20260728	click	0.802669	0.696500	0.693000	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608231155
20260727	20260728	20260728	ext	0.864488	0.819100	0.818700	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608231155
20260728	20260729	20260729	buy	0.838299	0.701000	0.695300	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608231219
20260728	20260729	20260729	cat	0.837171	0.704200	0.697900	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608231219
20260728	20260729	20260729	click	0.804538	0.701600	0.697800	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608231219
20260728	20260729	20260729	ext	0.856568	0.807300	0.806100	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608231219
20260729	20260730	20260730	buy	0.837186	0.699900	0.693000	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608231247
20260729	20260730	20260730	cat	0.836137	0.703400	0.696200	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608231247
20260729	20260730	20260730	click	0.803523	0.699300	0.695500	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608231247
20260729	20260730	20260730	ext	0.860709	0.803500	0.803900	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608231247
20260730	20260731	20260731	buy	0.837507	0.705900	0.700400	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608231314
20260730	20260731	20260731	cat	0.836457	0.708800	0.703000	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608231314
20260730	20260731	20260731	click	0.805401	0.704000	0.701600	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608231314
20260730	20260731	20260731	ext	0.857620	0.815200	0.816800	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608231314
20260731	20260801	20260801	buy	0.832991	0.701300	0.693700	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608231348
20260731	20260801	20260801	cat	0.832358	0.704400	0.697000	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608231348
20260731	20260801	20260801	click	0.804005	0.702200	0.698200	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608231348
20260731	20260801	20260801	ext	0.856730	0.817500	0.814400	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608231348
