checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260720	20260721	20260724	buy	0.833853	0.695800	0.690900	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608240521
20260720	20260721	20260724	cat	0.832720	0.699200	0.694200	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608240521
20260720	20260721	20260724	click	0.801071	0.696000	0.693800	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608240521
20260720	20260721	20260724	ext	0.863483	0.810400	0.809100	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608240521
20260724	20260725	20260725	buy	0.831962	0.698800	0.692900	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608240718
20260724	20260725	20260725	cat	0.831704	0.703700	0.697600	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608240718
20260724	20260725	20260725	click	0.803778	0.697400	0.695000	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608240718
20260724	20260725	20260725	ext	0.858373	0.806000	0.804700	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608240718
20260725	20260726	20260726	buy	0.834988	0.713400	0.707700	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608240757
20260725	20260726	20260726	cat	0.834354	0.716000	0.710200	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608240757
20260725	20260726	20260726	click	0.804251	0.707300	0.704600	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608240757
20260725	20260726	20260726	ext	0.854705	0.797800	0.794900	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608240757
20260726	20260727	20260727	buy	0.837890	0.703500	0.696100	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608240837
20260726	20260727	20260727	cat	0.836645	0.706600	0.699600	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608240837
20260726	20260727	20260727	click	0.801701	0.696000	0.693400	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608240837
20260726	20260727	20260727	ext	0.859000	0.811100	0.811600	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608240837
20260727	20260728	20260728	buy	0.839197	0.701900	0.694700	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608240904
20260727	20260728	20260728	cat	0.837803	0.706400	0.698700	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608240904
20260727	20260728	20260728	click	0.802882	0.698000	0.694700	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608240904
20260727	20260728	20260728	ext	0.863257	0.822500	0.824000	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608240904
20260728	20260729	20260729	buy	0.837845	0.700800	0.694700	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608240931
20260728	20260729	20260729	cat	0.836743	0.705000	0.698800	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608240931
20260728	20260729	20260729	click	0.804202	0.702300	0.698500	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608240931
20260728	20260729	20260729	ext	0.855409	0.807300	0.805300	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608240931
20260729	20260730	20260730	buy	0.837666	0.702100	0.695600	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608241000
20260729	20260730	20260730	cat	0.836660	0.705900	0.699200	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608241000
20260729	20260730	20260730	click	0.804083	0.700600	0.697000	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608241000
20260729	20260730	20260730	ext	0.861178	0.796200	0.796200	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608241000
20260730	20260731	20260731	buy	0.837999	0.707500	0.702500	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608241029
20260730	20260731	20260731	cat	0.836819	0.710400	0.704800	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608241029
20260730	20260731	20260731	click	0.805771	0.705100	0.702700	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608241029
20260730	20260731	20260731	ext	0.858134	0.811200	0.808300	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608241029
20260731	20260801	20260801	buy	0.832242	0.701400	0.693700	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608241106
20260731	20260801	20260801	cat	0.831791	0.704200	0.696400	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608241106
20260731	20260801	20260801	click	0.803306	0.701000	0.696500	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608241106
20260731	20260801	20260801	ext	0.855912	0.811300	0.809100	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608241106
