checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260720	20260721	20260724	buy	0.836479	0.699300	0.694400	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608240145
20260720	20260721	20260724	cat	0.835343	0.703300	0.698400	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608240145
20260720	20260721	20260724	click	0.803565	0.699600	0.697300	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608240145
20260720	20260721	20260724	ext	0.865584	0.809400	0.807800	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608240145
20260724	20260725	20260725	buy	0.835902	0.701000	0.694900	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608240336
20260724	20260725	20260725	cat	0.835422	0.705700	0.699200	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608240336
20260724	20260725	20260725	click	0.807125	0.700400	0.697600	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608240336
20260724	20260725	20260725	ext	0.861067	0.810800	0.809900	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608240336
20260725	20260726	20260726	buy	0.836783	0.715800	0.709900	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608240414
20260725	20260726	20260726	cat	0.836067	0.718500	0.712500	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608240414
20260725	20260726	20260726	click	0.806041	0.709700	0.707200	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608240414
20260725	20260726	20260726	ext	0.855636	0.802000	0.798100	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608240414
20260726	20260727	20260727	buy	0.840803	0.705300	0.697800	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608240453
20260726	20260727	20260727	cat	0.839544	0.708800	0.701700	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608240453
20260726	20260727	20260727	click	0.804756	0.698700	0.695900	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608240453
20260726	20260727	20260727	ext	0.862751	0.815300	0.814300	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608240453
20260727	20260728	20260728	buy	0.841014	0.701300	0.694100	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608240520
20260727	20260728	20260728	cat	0.839735	0.704800	0.696900	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608240520
20260727	20260728	20260728	click	0.804619	0.700500	0.697000	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608240520
20260727	20260728	20260728	ext	0.865661	0.819900	0.819700	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608240520
20260728	20260729	20260729	buy	0.840316	0.703200	0.697700	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608240546
20260728	20260729	20260729	cat	0.839181	0.707500	0.701700	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608240546
20260728	20260729	20260729	click	0.806570	0.705600	0.701900	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608240546
20260728	20260729	20260729	ext	0.858540	0.812600	0.809300	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608240546
20260729	20260730	20260730	buy	0.839611	0.703600	0.697500	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608240613
20260729	20260730	20260730	cat	0.838555	0.707100	0.700700	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608240613
20260729	20260730	20260730	click	0.805761	0.703300	0.699500	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608240613
20260729	20260730	20260730	ext	0.862453	0.805900	0.805700	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608240613
20260730	20260731	20260731	buy	0.840010	0.708200	0.702600	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608240642
20260730	20260731	20260731	cat	0.838960	0.712200	0.706600	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608240642
20260730	20260731	20260731	click	0.807753	0.706400	0.703400	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608240642
20260730	20260731	20260731	ext	0.859345	0.814500	0.812300	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608240642
20260731	20260801	20260801	buy	0.835666	0.703900	0.696600	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608240718
20260731	20260801	20260801	cat	0.834992	0.706600	0.699300	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608240718
20260731	20260801	20260801	click	0.806457	0.703600	0.699500	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608240718
20260731	20260801	20260801	ext	0.858649	0.814400	0.812600	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608240718
