checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260720	20260721	20260724	buy	0.836371	0.699600	0.694500	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608240152
20260720	20260721	20260724	cat	0.835264	0.703400	0.698200	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608240152
20260720	20260721	20260724	click	0.803469	0.699600	0.697000	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608240152
20260720	20260721	20260724	ext	0.865535	0.813000	0.810300	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608240152
20260724	20260725	20260725	buy	0.835777	0.701600	0.695200	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608240348
20260724	20260725	20260725	cat	0.835290	0.706100	0.699400	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608240348
20260724	20260725	20260725	click	0.806999	0.701200	0.698600	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608240348
20260724	20260725	20260725	ext	0.860990	0.807200	0.805500	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608240348
20260725	20260726	20260726	buy	0.836850	0.715200	0.709300	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608240427
20260725	20260726	20260726	cat	0.836125	0.718000	0.711900	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608240427
20260725	20260726	20260726	click	0.806110	0.709400	0.707000	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608240427
20260725	20260726	20260726	ext	0.856119	0.798100	0.793500	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608240427
20260726	20260727	20260727	buy	0.841443	0.706800	0.699000	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608240509
20260726	20260727	20260727	cat	0.840087	0.709900	0.702900	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608240509
20260726	20260727	20260727	click	0.805314	0.700100	0.697400	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608240509
20260726	20260727	20260727	ext	0.862683	0.822400	0.819500	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608240509
20260727	20260728	20260728	buy	0.841321	0.702000	0.694400	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608240537
20260727	20260728	20260728	cat	0.840032	0.706600	0.698700	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608240537
20260727	20260728	20260728	click	0.804966	0.700300	0.696600	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608240537
20260727	20260728	20260728	ext	0.865711	0.823000	0.822600	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608240537
20260728	20260729	20260729	buy	0.840618	0.704100	0.698700	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608240605
20260728	20260729	20260729	cat	0.839446	0.707800	0.702100	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608240605
20260728	20260729	20260729	click	0.806787	0.704400	0.701000	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608240605
20260728	20260729	20260729	ext	0.858098	0.808000	0.806200	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608240605
20260729	20260730	20260730	buy	0.839756	0.703000	0.696500	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608240633
20260729	20260730	20260730	cat	0.838726	0.707300	0.700300	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608240633
20260729	20260730	20260730	click	0.805991	0.704100	0.700200	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608240633
20260729	20260730	20260730	ext	0.862751	0.809700	0.808600	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608240633
20260730	20260731	20260731	buy	0.840099	0.709300	0.703900	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608240704
20260730	20260731	20260731	cat	0.839013	0.712400	0.706800	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608240704
20260730	20260731	20260731	click	0.807785	0.707200	0.704500	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608240704
20260730	20260731	20260731	ext	0.858641	0.817900	0.816600	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608240704
20260731	20260801	20260801	buy	0.835913	0.704400	0.697000	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608240742
20260731	20260801	20260801	cat	0.835221	0.707200	0.700000	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608240742
20260731	20260801	20260801	click	0.806600	0.704600	0.700400	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608240742
20260731	20260801	20260801	ext	0.858760	0.813900	0.810900	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608240742
