checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260720	20260721	20260724	buy	0.836373	0.699500	0.694400	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608240136
20260720	20260721	20260724	cat	0.835265	0.703000	0.697900	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608240136
20260720	20260721	20260724	click	0.803483	0.699100	0.696400	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608240136
20260720	20260721	20260724	ext	0.865574	0.812600	0.810300	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608240136
20260724	20260725	20260725	buy	0.835862	0.702800	0.696500	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608240327
20260724	20260725	20260725	cat	0.835411	0.706700	0.700100	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608240327
20260724	20260725	20260725	click	0.807127	0.700700	0.698000	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608240327
20260724	20260725	20260725	ext	0.860683	0.806600	0.805700	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608240327
20260725	20260726	20260726	buy	0.836425	0.715300	0.709200	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608240404
20260725	20260726	20260726	cat	0.835738	0.717900	0.711700	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608240404
20260725	20260726	20260726	click	0.805725	0.709400	0.706800	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608240404
20260725	20260726	20260726	ext	0.855731	0.804200	0.801000	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608240404
20260726	20260727	20260727	buy	0.839688	0.703900	0.696200	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608240443
20260726	20260727	20260727	cat	0.838417	0.706900	0.699700	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608240443
20260726	20260727	20260727	click	0.803782	0.698400	0.695700	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608240443
20260726	20260727	20260727	ext	0.861325	0.815100	0.813700	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608240443
20260727	20260728	20260728	buy	0.840272	0.699900	0.692800	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608240509
20260727	20260728	20260728	cat	0.839011	0.704200	0.696500	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608240509
20260727	20260728	20260728	click	0.803878	0.697400	0.693300	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608240509
20260727	20260728	20260728	ext	0.865337	0.819000	0.817700	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608240509
20260728	20260729	20260729	buy	0.839691	0.703200	0.697400	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608240535
20260728	20260729	20260729	cat	0.838660	0.707800	0.701800	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608240535
20260728	20260729	20260729	click	0.806114	0.704000	0.700100	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608240535
20260728	20260729	20260729	ext	0.857960	0.807200	0.803300	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608240535
20260729	20260730	20260730	buy	0.838826	0.703500	0.697700	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608240603
20260729	20260730	20260730	cat	0.837809	0.707700	0.701600	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608240603
20260729	20260730	20260730	click	0.805136	0.701800	0.698300	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608240603
20260729	20260730	20260730	ext	0.861736	0.805300	0.806300	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608240603
20260730	20260731	20260731	buy	0.839423	0.707400	0.701700	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608240632
20260730	20260731	20260731	cat	0.838354	0.710400	0.704600	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608240632
20260730	20260731	20260731	click	0.807149	0.705700	0.703000	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608240632
20260730	20260731	20260731	ext	0.858841	0.811600	0.812700	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608240632
20260731	20260801	20260801	buy	0.835096	0.703000	0.695700	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608240708
20260731	20260801	20260801	cat	0.834469	0.705800	0.698500	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608240708
20260731	20260801	20260801	click	0.805996	0.702700	0.698600	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608240708
20260731	20260801	20260801	ext	0.857548	0.812100	0.809600	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608240708
