checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260720	20260721	20260724	buy	0.836154	0.698600	0.693400	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608261551
20260720	20260721	20260724	cat	0.835018	0.702600	0.697400	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608261551
20260720	20260721	20260724	click	0.803245	0.698400	0.695800	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608261551
20260720	20260721	20260724	ext	0.865526	0.812100	0.809700	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608261551
20260724	20260725	20260725	buy	0.835686	0.700600	0.694500	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608261815
20260724	20260725	20260725	cat	0.835242	0.705000	0.698600	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608261815
20260724	20260725	20260725	click	0.807011	0.700100	0.697400	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608261815
20260724	20260725	20260725	ext	0.860634	0.811500	0.811700	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608261815
20260725	20260726	20260726	buy	0.836601	0.715000	0.708800	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608261903
20260725	20260726	20260726	cat	0.835945	0.717900	0.711700	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608261903
20260725	20260726	20260726	click	0.805884	0.709100	0.706200	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608261903
20260725	20260726	20260726	ext	0.855961	0.799000	0.793600	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608261903
20260726	20260727	20260727	buy	0.840487	0.706000	0.698300	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608261953
20260726	20260727	20260727	cat	0.839217	0.709200	0.702100	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608261953
20260726	20260727	20260727	click	0.804544	0.699300	0.696900	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608261953
20260726	20260727	20260727	ext	0.862003	0.806700	0.805000	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608261953
20260727	20260728	20260728	buy	0.841149	0.701100	0.693700	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608262027
20260727	20260728	20260728	cat	0.839867	0.706000	0.698300	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608262027
20260727	20260728	20260728	click	0.804753	0.699300	0.695600	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608262027
20260727	20260728	20260728	ext	0.866429	0.827900	0.828200	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608262027
20260728	20260729	20260729	buy	0.840345	0.703500	0.697500	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608262100
20260728	20260729	20260729	cat	0.839233	0.707200	0.700800	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608262100
20260728	20260729	20260729	click	0.806553	0.704300	0.700400	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608262100
20260728	20260729	20260729	ext	0.858437	0.812400	0.810000	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608262100
20260729	20260730	20260730	buy	0.839365	0.703900	0.697600	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608262134
20260729	20260730	20260730	cat	0.838379	0.707400	0.700800	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608262134
20260729	20260730	20260730	click	0.805709	0.703100	0.699400	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608262134
20260729	20260730	20260730	ext	0.862414	0.807400	0.808700	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608262134
20260730	20260731	20260731	buy	0.839841	0.708600	0.703000	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608262210
20260730	20260731	20260731	cat	0.838773	0.711600	0.706000	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608262210
20260730	20260731	20260731	click	0.807540	0.706500	0.703800	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608262210
20260730	20260731	20260731	ext	0.859849	0.819900	0.819600	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608262210
20260731	20260801	20260801	buy	0.835519	0.704200	0.696600	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608262256
20260731	20260801	20260801	cat	0.834857	0.707200	0.699600	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608262256
20260731	20260801	20260801	click	0.806352	0.703800	0.699500	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608262256
20260731	20260801	20260801	ext	0.858486	0.812900	0.810400	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608262256
