checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260720	20260721	20260724	buy	0.836304	0.699000	0.693900	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608260927
20260720	20260721	20260724	cat	0.835153	0.702700	0.697400	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608260927
20260720	20260721	20260724	click	0.803320	0.698800	0.696100	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608260927
20260720	20260721	20260724	ext	0.865355	0.813200	0.811100	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608260927
20260724	20260725	20260725	buy	0.835763	0.703100	0.696900	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608261140
20260724	20260725	20260725	cat	0.835263	0.707100	0.700700	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608261140
20260724	20260725	20260725	click	0.807040	0.700600	0.698100	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608261140
20260724	20260725	20260725	ext	0.860839	0.811900	0.813900	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608261140
20260725	20260726	20260726	buy	0.836704	0.717000	0.711000	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608261226
20260725	20260726	20260726	cat	0.835999	0.719400	0.713300	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608261226
20260725	20260726	20260726	click	0.805976	0.709900	0.707000	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608261226
20260725	20260726	20260726	ext	0.856071	0.802600	0.797600	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608261226
20260726	20260727	20260727	buy	0.840642	0.705800	0.698100	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608261314
20260726	20260727	20260727	cat	0.839348	0.709700	0.702400	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608261314
20260726	20260727	20260727	click	0.804731	0.700300	0.697500	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608261314
20260726	20260727	20260727	ext	0.862359	0.816900	0.815300	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608261314
20260727	20260728	20260728	buy	0.841315	0.702200	0.694900	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608261347
20260727	20260728	20260728	cat	0.839987	0.705800	0.697900	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608261347
20260727	20260728	20260728	click	0.804792	0.699300	0.696100	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608261347
20260727	20260728	20260728	ext	0.865368	0.822700	0.822800	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608261347
20260728	20260729	20260729	buy	0.840516	0.704800	0.699400	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608261419
20260728	20260729	20260729	cat	0.839337	0.708700	0.703200	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608261419
20260728	20260729	20260729	click	0.806708	0.705400	0.702200	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608261419
20260728	20260729	20260729	ext	0.858416	0.816600	0.815300	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608261419
20260729	20260730	20260730	buy	0.839368	0.703400	0.697200	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608261453
20260729	20260730	20260730	cat	0.838359	0.706900	0.700400	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608261453
20260729	20260730	20260730	click	0.805673	0.702500	0.698600	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608261453
20260729	20260730	20260730	ext	0.862265	0.806400	0.806300	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608261453
20260730	20260731	20260731	buy	0.839775	0.708300	0.702800	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608261528
20260730	20260731	20260731	cat	0.838713	0.711500	0.705600	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608261528
20260730	20260731	20260731	click	0.807475	0.706400	0.703600	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608261528
20260730	20260731	20260731	ext	0.859517	0.817300	0.815900	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608261528
20260731	20260801	20260801	buy	0.835518	0.704300	0.696500	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608261611
20260731	20260801	20260801	cat	0.834802	0.706900	0.699300	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608261611
20260731	20260801	20260801	click	0.806326	0.703400	0.699100	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608261611
20260731	20260801	20260801	ext	0.858729	0.813500	0.810700	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608261611
