experiment	task	auc	gauc	uauc	pos	log_path
BR_train_prod_bs_lr_ema_weights	buy	0.836238	0.6991	0.6939	710810	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_bs_lr_ema_weights/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608201954
BR_train_prod_bs_lr_ema_weights	cat	0.835118	0.7026	0.6974	735120	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_bs_lr_ema_weights/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608201954
BR_train_prod_bs_lr_ema_weights	click	0.803358	0.6988	0.6961	913818	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_bs_lr_ema_weights/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608201954
BR_train_prod_bs_lr_ema_weights	ext	0.865394	0.8115	0.8101	24499	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_bs_lr_ema_weights/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608201954
BR_train_prod_ema_br_mx_multidomain_fusion_v3	buy	0.836154	0.6986	0.6934	710810	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_br_mx_multidomain_fusion_v3/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608261551
BR_train_prod_ema_br_mx_multidomain_fusion_v3	cat	0.835018	0.7026	0.6974	735120	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_br_mx_multidomain_fusion_v3/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608261551
BR_train_prod_ema_br_mx_multidomain_fusion_v3	click	0.803245	0.6984	0.6958	913818	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_br_mx_multidomain_fusion_v3/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608261551
BR_train_prod_ema_br_mx_multidomain_fusion_v3	ext	0.865526	0.8121	0.8097	24499	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_br_mx_multidomain_fusion_v3/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608261551
BR_train_prod_ema_daily_shared_representation_sync	buy	0.835886	0.6988	0.6938	710810	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_daily_shared_representation_sync/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608260046
BR_train_prod_ema_daily_shared_representation_sync	cat	0.834764	0.7026	0.6976	735120	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_daily_shared_representation_sync/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608260046
BR_train_prod_ema_daily_shared_representation_sync	click	0.803007	0.6985	0.6961	913818	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_daily_shared_representation_sync/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608260046
BR_train_prod_ema_daily_shared_representation_sync	ext	0.865026	0.8128	0.8109	24499	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_daily_shared_representation_sync/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608260046
BR_train_prod_ema_din_dice_activation	buy	0.836275	0.6992	0.694	710810	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_din_dice_activation/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608260046
BR_train_prod_ema_din_dice_activation	cat	0.835146	0.7029	0.6977	735120	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_din_dice_activation/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608260046
BR_train_prod_ema_din_dice_activation	click	0.803396	0.6991	0.6965	913818	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_din_dice_activation/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608260046
BR_train_prod_ema_din_dice_activation	ext	0.865237	0.8128	0.8113	24499	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_din_dice_activation/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608260046
BR_train_prod_ema_lr_schedule_warmup	buy	0.836267	0.6994	0.6943	710810	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_lr_schedule_warmup/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608260120
BR_train_prod_ema_lr_schedule_warmup	cat	0.835153	0.7031	0.698	735120	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_lr_schedule_warmup/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608260120
BR_train_prod_ema_lr_schedule_warmup	click	0.803317	0.6989	0.6964	913818	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_lr_schedule_warmup/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608260120
BR_train_prod_ema_lr_schedule_warmup	ext	0.865383	0.8112	0.8088	24499	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_lr_schedule_warmup/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608260120
