checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260720	20260721	20260724	buy	0.826011	0.700400	0.694200	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608271855
20260720	20260721	20260724	cat	0.821284	0.705700	0.699600	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608271855
20260720	20260721	20260724	click	0.740102	0.690900	0.684100	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608271855
20260720	20260721	20260724	ext	0.844465	0.801700	0.798600	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608271855
20260724	20260725	20260725	buy	0.825279	0.703400	0.696200	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608272234
20260724	20260725	20260725	cat	0.823887	0.710700	0.703100	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608272234
20260724	20260725	20260725	click	0.750597	0.698600	0.691100	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608272234
20260724	20260725	20260725	ext	0.845043	0.799300	0.800300	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608272234
20260725	20260726	20260726	buy	0.830607	0.717400	0.710800	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608272340
20260725	20260726	20260726	cat	0.824643	0.722600	0.715700	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608272340
20260725	20260726	20260726	click	0.750953	0.702500	0.695500	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608272340
20260725	20260726	20260726	ext	0.840945	0.789300	0.783300	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608272340
20260726	20260727	20260727	buy	0.834443	0.711500	0.703200	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608280051
20260726	20260727	20260727	cat	0.822078	0.710500	0.702400	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608280051
20260726	20260727	20260727	click	0.741530	0.693500	0.686200	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608280051
20260726	20260727	20260727	ext	0.846802	0.812000	0.810100	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608280051
20260727	20260728	20260728	buy	0.832940	0.704800	0.697400	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608280140
20260727	20260728	20260728	cat	0.825416	0.709000	0.701000	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608280140
20260727	20260728	20260728	click	0.740434	0.697300	0.690700	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608280140
20260727	20260728	20260728	ext	0.844962	0.812800	0.811700	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608280140
20260728	20260729	20260729	buy	0.827999	0.700300	0.693800	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608280201
20260728	20260729	20260729	cat	0.822528	0.709500	0.702000	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608280201
20260728	20260729	20260729	click	0.741366	0.697300	0.689100	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608280201
20260728	20260729	20260729	ext	0.835513	0.792800	0.785000	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608280201
20260729	20260730	20260730	buy	0.832166	0.706300	0.699400	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608280251
20260729	20260730	20260730	cat	0.823870	0.709200	0.701100	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608280251
20260729	20260730	20260730	click	0.744108	0.696300	0.688500	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608280251
20260729	20260730	20260730	ext	0.845479	0.789100	0.785500	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608280251
20260730	20260731	20260731	buy	0.831147	0.710000	0.704300	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608280342
20260730	20260731	20260731	cat	0.821456	0.711500	0.704900	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608280342
20260730	20260731	20260731	click	0.745472	0.700100	0.692900	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608280342
20260730	20260731	20260731	ext	0.843261	0.810800	0.810300	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608280342
20260731	20260801	20260801	buy	0.826586	0.708300	0.700000	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608280446
20260731	20260801	20260801	cat	0.822956	0.709800	0.701400	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608280446
20260731	20260801	20260801	click	0.749969	0.699000	0.690300	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608280446
20260731	20260801	20260801	ext	0.840537	0.803600	0.800900	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608280446
