checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260720	20260721	20260724	buy	0.836267	0.699400	0.694300	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608260120
20260720	20260721	20260724	cat	0.835153	0.703100	0.698000	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608260120
20260720	20260721	20260724	click	0.803317	0.698900	0.696400	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608260120
20260720	20260721	20260724	ext	0.865383	0.811200	0.808800	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608260120
20260724	20260725	20260725	buy	0.835550	0.701800	0.695700	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608260337
20260724	20260725	20260725	cat	0.835041	0.706000	0.699500	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608260337
20260724	20260725	20260725	click	0.806857	0.700400	0.697700	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608260337
20260724	20260725	20260725	ext	0.860888	0.805500	0.806000	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608260337
20260725	20260726	20260726	buy	0.836804	0.715200	0.709500	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608260424
20260725	20260726	20260726	cat	0.836092	0.718500	0.712800	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608260424
20260725	20260726	20260726	click	0.806038	0.709800	0.707700	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608260424
20260725	20260726	20260726	ext	0.855649	0.803800	0.800400	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608260424
20260726	20260727	20260727	buy	0.840768	0.706400	0.699000	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608260511
20260726	20260727	20260727	cat	0.839507	0.710000	0.702900	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608260511
20260726	20260727	20260727	click	0.804789	0.699600	0.697100	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608260511
20260726	20260727	20260727	ext	0.861811	0.811800	0.807500	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608260511
20260727	20260728	20260728	buy	0.841008	0.701800	0.694500	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608260544
20260727	20260728	20260728	cat	0.839756	0.706700	0.698800	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608260544
20260727	20260728	20260728	click	0.804697	0.699200	0.695200	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608260544
20260727	20260728	20260728	ext	0.866132	0.822900	0.824000	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608260544
20260728	20260729	20260729	buy	0.840505	0.705600	0.699900	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608260615
20260728	20260729	20260729	cat	0.839384	0.708800	0.702800	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608260615
20260728	20260729	20260729	click	0.806666	0.705200	0.701700	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608260615
20260728	20260729	20260729	ext	0.858452	0.815300	0.814200	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608260615
20260729	20260730	20260730	buy	0.839538	0.703900	0.697500	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608260648
20260729	20260730	20260730	cat	0.838521	0.706700	0.700000	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608260648
20260729	20260730	20260730	click	0.805799	0.703300	0.699700	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608260648
20260729	20260730	20260730	ext	0.862578	0.803700	0.804900	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608260648
20260730	20260731	20260731	buy	0.839685	0.708100	0.702800	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608260722
20260730	20260731	20260731	cat	0.838609	0.711500	0.705900	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608260722
20260730	20260731	20260731	click	0.807422	0.707000	0.704500	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608260722
20260730	20260731	20260731	ext	0.859605	0.818700	0.815900	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608260722
20260731	20260801	20260801	buy	0.835508	0.704000	0.696400	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608260805
20260731	20260801	20260801	cat	0.834857	0.707200	0.699900	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608260805
20260731	20260801	20260801	click	0.806378	0.703800	0.699600	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608260805
20260731	20260801	20260801	ext	0.858898	0.817500	0.814800	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608260805
