checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260720	20260721	20260724	buy	0.836219	0.698600	0.693500	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608270320
20260720	20260721	20260724	cat	0.835099	0.702100	0.697100	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608270320
20260720	20260721	20260724	click	0.803289	0.698600	0.696100	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608270320
20260720	20260721	20260724	ext	0.865329	0.812300	0.810600	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608270320
20260724	20260725	20260725	buy	0.835516	0.702200	0.695900	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608270512
20260724	20260725	20260725	cat	0.834971	0.706100	0.699400	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608270512
20260724	20260725	20260725	click	0.806725	0.699800	0.697400	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608270512
20260724	20260725	20260725	ext	0.860481	0.805300	0.806100	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608270512
20260725	20260726	20260726	buy	0.836569	0.714700	0.708600	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608270550
20260725	20260726	20260726	cat	0.835885	0.717900	0.711600	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608270550
20260725	20260726	20260726	click	0.805794	0.708800	0.705900	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608270550
20260725	20260726	20260726	ext	0.855930	0.801600	0.797900	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608270550
20260726	20260727	20260727	buy	0.840187	0.705600	0.698200	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608270629
20260726	20260727	20260727	cat	0.838923	0.708800	0.701800	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608270629
20260726	20260727	20260727	click	0.804164	0.698300	0.695500	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608270629
20260726	20260727	20260727	ext	0.861887	0.815000	0.813300	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608270629
20260727	20260728	20260728	buy	0.840837	0.701200	0.693500	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608270655
20260727	20260728	20260728	cat	0.839624	0.705400	0.697200	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608270655
20260727	20260728	20260728	click	0.804521	0.698800	0.694900	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608270655
20260727	20260728	20260728	ext	0.866485	0.829400	0.829100	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608270655
20260728	20260729	20260729	buy	0.840429	0.705900	0.700100	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608270720
20260728	20260729	20260729	cat	0.839300	0.709300	0.703300	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608270720
20260728	20260729	20260729	click	0.806606	0.705200	0.701800	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608270720
20260728	20260729	20260729	ext	0.858653	0.816300	0.814500	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608270720
20260729	20260730	20260730	buy	0.839372	0.704300	0.698000	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608270747
20260729	20260730	20260730	cat	0.838357	0.708000	0.701400	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608270747
20260729	20260730	20260730	click	0.805608	0.703300	0.699700	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608270747
20260729	20260730	20260730	ext	0.862744	0.809100	0.807000	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608270747
20260730	20260731	20260731	buy	0.839732	0.707700	0.701800	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608270816
20260730	20260731	20260731	cat	0.838642	0.711100	0.705000	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608270816
20260730	20260731	20260731	click	0.807403	0.706100	0.703300	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608270816
20260730	20260731	20260731	ext	0.860025	0.821700	0.819500	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608270816
20260731	20260801	20260801	buy	0.835251	0.704100	0.696600	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608270851
20260731	20260801	20260801	cat	0.834588	0.707000	0.699600	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608270851
20260731	20260801	20260801	click	0.806062	0.703600	0.699600	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608270851
20260731	20260801	20260801	ext	0.858707	0.811400	0.809900	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608270851
