checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260720	20260721	20260724	buy	0.836232	0.699100	0.694000	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608270319
20260720	20260721	20260724	cat	0.835088	0.702800	0.697600	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608270319
20260720	20260721	20260724	click	0.803324	0.698800	0.696200	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608270319
20260720	20260721	20260724	ext	0.865121	0.812900	0.812000	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608270319
20260724	20260725	20260725	buy	0.835753	0.702800	0.696700	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608270513
20260724	20260725	20260725	cat	0.835214	0.707100	0.700600	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608270513
20260724	20260725	20260725	click	0.806954	0.700300	0.697600	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608270513
20260724	20260725	20260725	ext	0.860484	0.809900	0.809200	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608270513
20260725	20260726	20260726	buy	0.836662	0.715200	0.709300	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608270550
20260725	20260726	20260726	cat	0.835953	0.717900	0.711800	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608270550
20260725	20260726	20260726	click	0.805889	0.708400	0.705700	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608270550
20260725	20260726	20260726	ext	0.855991	0.803700	0.799600	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608270550
20260726	20260727	20260727	buy	0.840576	0.706200	0.698800	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608270629
20260726	20260727	20260727	cat	0.839309	0.708900	0.702000	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608270629
20260726	20260727	20260727	click	0.804629	0.700100	0.697600	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608270629
20260726	20260727	20260727	ext	0.861757	0.812800	0.810600	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608270629
20260727	20260728	20260728	buy	0.840936	0.700700	0.693700	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608270655
20260727	20260728	20260728	cat	0.839648	0.705300	0.697700	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608270655
20260727	20260728	20260728	click	0.804542	0.699100	0.695600	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608270655
20260727	20260728	20260728	ext	0.865816	0.825900	0.823700	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608270655
20260728	20260729	20260729	buy	0.840606	0.705200	0.699400	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608270720
20260728	20260729	20260729	cat	0.839442	0.709000	0.703000	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608270720
20260728	20260729	20260729	click	0.806797	0.705400	0.702200	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608270720
20260728	20260729	20260729	ext	0.857993	0.812000	0.808600	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608270720
20260729	20260730	20260730	buy	0.839526	0.704700	0.698300	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608270748
20260729	20260730	20260730	cat	0.838505	0.708400	0.701900	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608270748
20260729	20260730	20260730	click	0.805770	0.703500	0.699800	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608270748
20260729	20260730	20260730	ext	0.862546	0.812200	0.810600	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608270748
20260730	20260731	20260731	buy	0.839827	0.708400	0.702800	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608270816
20260730	20260731	20260731	cat	0.838751	0.711600	0.705700	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608270816
20260730	20260731	20260731	click	0.807510	0.707300	0.704300	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608270816
20260730	20260731	20260731	ext	0.859152	0.816700	0.815800	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608270816
20260731	20260801	20260801	buy	0.835354	0.704700	0.697200	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608270851
20260731	20260801	20260801	cat	0.834709	0.707400	0.700000	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608270851
20260731	20260801	20260801	click	0.806275	0.703900	0.699500	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608270851
20260731	20260801	20260801	ext	0.858759	0.813400	0.810600	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608270851
