checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260720	20260721	20260724	buy	0.835697	0.698700	0.693500	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608270328
20260720	20260721	20260724	cat	0.834553	0.702300	0.697200	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608270328
20260720	20260721	20260724	click	0.802773	0.697600	0.695000	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608270328
20260720	20260721	20260724	ext	0.864778	0.812000	0.811100	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608270328
20260724	20260725	20260725	buy	0.835102	0.702400	0.695900	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608270522
20260724	20260725	20260725	cat	0.834576	0.706700	0.700000	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608270522
20260724	20260725	20260725	click	0.806444	0.700400	0.697800	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608270522
20260724	20260725	20260725	ext	0.859632	0.806400	0.805300	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608270522
20260725	20260726	20260726	buy	0.836493	0.714600	0.708400	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608270601
20260725	20260726	20260726	cat	0.835763	0.717400	0.711100	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608270601
20260725	20260726	20260726	click	0.805788	0.709500	0.706900	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608270601
20260725	20260726	20260726	ext	0.855560	0.798600	0.795000	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608270601
20260726	20260727	20260727	buy	0.840208	0.704600	0.697200	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608270642
20260726	20260727	20260727	cat	0.838906	0.707800	0.700600	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608270642
20260726	20260727	20260727	click	0.804148	0.698700	0.696300	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608270642
20260726	20260727	20260727	ext	0.861463	0.813500	0.812400	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608270642
20260727	20260728	20260728	buy	0.840815	0.700600	0.693200	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608270710
20260727	20260728	20260728	cat	0.839518	0.705000	0.697400	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608270710
20260727	20260728	20260728	click	0.804370	0.699300	0.695600	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608270710
20260727	20260728	20260728	ext	0.865858	0.825900	0.826700	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608270710
20260728	20260729	20260729	buy	0.840037	0.705200	0.699900	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608270736
20260728	20260729	20260729	cat	0.838888	0.708700	0.702900	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608270736
20260728	20260729	20260729	click	0.806244	0.705700	0.702300	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608270736
20260728	20260729	20260729	ext	0.858415	0.822600	0.820100	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608270736
20260729	20260730	20260730	buy	0.839095	0.703200	0.696800	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608270805
20260729	20260730	20260730	cat	0.838073	0.706600	0.699900	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608270805
20260729	20260730	20260730	click	0.805299	0.702600	0.698800	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608270805
20260729	20260730	20260730	ext	0.862218	0.803400	0.802500	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608270805
20260730	20260731	20260731	buy	0.839602	0.709100	0.703500	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608270834
20260730	20260731	20260731	cat	0.838601	0.712500	0.706700	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608270834
20260730	20260731	20260731	click	0.807282	0.706600	0.704000	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608270834
20260730	20260731	20260731	ext	0.859171	0.807800	0.805200	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608270834
20260731	20260801	20260801	buy	0.834899	0.703100	0.695900	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608270911
20260731	20260801	20260801	cat	0.834245	0.706100	0.699000	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608270911
20260731	20260801	20260801	click	0.805765	0.703000	0.698500	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608270911
20260731	20260801	20260801	ext	0.857653	0.813700	0.811600	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608270911
