experiment	task	auc	gauc	uauc	pos	log_path
BR_train_prod_bs_lr_ema_weights	buy	0.836238	0.6991	0.6939	710810	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_bs_lr_ema_weights/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608201954
BR_train_prod_bs_lr_ema_weights	cat	0.835118	0.7026	0.6974	735120	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_bs_lr_ema_weights/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608201954
BR_train_prod_bs_lr_ema_weights	click	0.803358	0.6988	0.6961	913818	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_bs_lr_ema_weights/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608201954
BR_train_prod_bs_lr_ema_weights	ext	0.865394	0.8115	0.8101	24499	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_bs_lr_ema_weights/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608201954
BR_train_prod_ema_buy_pairwise_auc_loss	buy	0.836219	0.6986	0.6935	710810	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_buy_pairwise_auc_loss/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608270320
BR_train_prod_ema_buy_pairwise_auc_loss	cat	0.835099	0.7021	0.6971	735120	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_buy_pairwise_auc_loss/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608270320
BR_train_prod_ema_buy_pairwise_auc_loss	click	0.803289	0.6986	0.6961	913818	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_buy_pairwise_auc_loss/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608270320
BR_train_prod_ema_buy_pairwise_auc_loss	ext	0.865329	0.8123	0.8106	24499	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_buy_pairwise_auc_loss/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608270320
BR_train_prod_ema_buy_residual_logit_correction	buy	0.836232	0.6991	0.694	710810	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_buy_residual_logit_correction/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608270319
BR_train_prod_ema_buy_residual_logit_correction	cat	0.835088	0.7028	0.6976	735120	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_buy_residual_logit_correction/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608270319
BR_train_prod_ema_buy_residual_logit_correction	click	0.803324	0.6988	0.6962	913818	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_buy_residual_logit_correction/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608270319
BR_train_prod_ema_buy_residual_logit_correction	ext	0.865121	0.8129	0.812	24499	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_buy_residual_logit_correction/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608270319
BR_train_prod_ema_rankmixer_gated_token_pooling	buy	0.835697	0.6987	0.6935	710810	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_rankmixer_gated_token_pooling/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608270328
BR_train_prod_ema_rankmixer_gated_token_pooling	cat	0.834553	0.7023	0.6972	735120	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_rankmixer_gated_token_pooling/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608270328
BR_train_prod_ema_rankmixer_gated_token_pooling	click	0.802773	0.6976	0.695	913818	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_rankmixer_gated_token_pooling/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608270328
BR_train_prod_ema_rankmixer_gated_token_pooling	ext	0.864778	0.812	0.8111	24499	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_rankmixer_gated_token_pooling/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608270328
