experiment	task	auc	gauc	uauc	pos	log_path
BR_train_prod_baseline_old_source_window_control	buy	0.805673	0.6736	0.6671	102260	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_baseline_old_source_window_control/log/fixed_test_ckpt_20260820_from_20260821_to_20260823_202608280410
BR_train_prod_baseline_old_source_window_control	cat	0.805039	0.6774	0.6711	105324	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_baseline_old_source_window_control/log/fixed_test_ckpt_20260820_from_20260821_to_20260823_202608280410
BR_train_prod_baseline_old_source_window_control	click	0.776933	0.675	0.6714	128547	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_baseline_old_source_window_control/log/fixed_test_ckpt_20260820_from_20260821_to_20260823_202608280410
BR_train_prod_baseline_old_source_window_control	ext	0.872524	0.8395	0.84	5218	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_baseline_old_source_window_control/log/fixed_test_ckpt_20260820_from_20260821_to_20260823_202608280410
BR_train_prod_ema_old_source_window_control	buy	0.808967	0.6758	0.669	102260	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_old_source_window_control/log/fixed_test_ckpt_20260820_from_20260821_to_20260823_202608280217
BR_train_prod_ema_old_source_window_control	cat	0.808254	0.679	0.6721	105324	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_old_source_window_control/log/fixed_test_ckpt_20260820_from_20260821_to_20260823_202608280217
BR_train_prod_ema_old_source_window_control	click	0.780459	0.6788	0.6745	128547	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_old_source_window_control/log/fixed_test_ckpt_20260820_from_20260821_to_20260823_202608280217
BR_train_prod_ema_old_source_window_control	ext	0.874864	0.8413	0.8414	5218	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_old_source_window_control/log/fixed_test_ckpt_20260820_from_20260821_to_20260823_202608280217
BR_train_prod_ema_new_feature_window_control	buy	0.80881	0.6795	0.6728	102260	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_new_feature_window_control/log/fixed_test_ckpt_20260820_from_20260821_to_20260823_202608280153
BR_train_prod_ema_new_feature_window_control	cat	0.80813	0.682	0.6753	105324	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_new_feature_window_control/log/fixed_test_ckpt_20260820_from_20260821_to_20260823_202608280153
BR_train_prod_ema_new_feature_window_control	click	0.780345	0.681	0.6772	128547	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_new_feature_window_control/log/fixed_test_ckpt_20260820_from_20260821_to_20260823_202608280153
BR_train_prod_ema_new_feature_window_control	ext	0.876294	0.839	0.8385	5218	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_new_feature_window_control/log/fixed_test_ckpt_20260820_from_20260821_to_20260823_202608280153
BR_train_prod_ema_interest_feature_fusion	buy	0.810479	0.6788	0.6722	102260	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_interest_feature_fusion/log/fixed_test_ckpt_20260820_from_20260821_to_20260823_202608280335
BR_train_prod_ema_interest_feature_fusion	cat	0.809696	0.6814	0.6748	105324	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_interest_feature_fusion/log/fixed_test_ckpt_20260820_from_20260821_to_20260823_202608280335
BR_train_prod_ema_interest_feature_fusion	click	0.781238	0.6789	0.6749	128547	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_interest_feature_fusion/log/fixed_test_ckpt_20260820_from_20260821_to_20260823_202608280335
BR_train_prod_ema_interest_feature_fusion	ext	0.875156	0.8399	0.8401	5218	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_interest_feature_fusion/log/fixed_test_ckpt_20260820_from_20260821_to_20260823_202608280335
