checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260720	20260721	20260724	buy	0.835439	0.697900	0.692800	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202609030005
20260720	20260721	20260724	cat	0.834267	0.701600	0.696500	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202609030005
20260720	20260721	20260724	click	0.802202	0.696900	0.694400	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202609030005
20260720	20260721	20260724	ext	0.864861	0.811900	0.811200	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202609030005
20260724	20260725	20260725	buy	0.835026	0.700000	0.694200	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202609030157
20260724	20260725	20260725	cat	0.834482	0.704000	0.697900	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202609030157
20260724	20260725	20260725	click	0.805980	0.698600	0.695800	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202609030157
20260724	20260725	20260725	ext	0.860197	0.807300	0.806800	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202609030157
20260725	20260726	20260726	buy	0.835737	0.712900	0.707100	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202609030235
20260725	20260726	20260726	cat	0.834995	0.715800	0.709700	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202609030235
20260725	20260726	20260726	click	0.804770	0.706800	0.704100	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202609030235
20260725	20260726	20260726	ext	0.855835	0.798400	0.794600	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202609030235
20260726	20260727	20260727	buy	0.839903	0.704200	0.696700	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202609030315
20260726	20260727	20260727	cat	0.838524	0.706900	0.700000	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202609030315
20260726	20260727	20260727	click	0.803524	0.698300	0.695500	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202609030315
20260726	20260727	20260727	ext	0.861026	0.813600	0.809900	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202609030315
20260727	20260728	20260728	buy	0.840366	0.700700	0.693500	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202609030342
20260727	20260728	20260728	cat	0.839056	0.704100	0.696300	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202609030342
20260727	20260728	20260728	click	0.803696	0.697300	0.693700	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202609030342
20260727	20260728	20260728	ext	0.865776	0.822600	0.822300	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202609030342
20260728	20260729	20260729	buy	0.839668	0.703600	0.697900	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202609030409
20260728	20260729	20260729	cat	0.838507	0.707300	0.701300	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202609030409
20260728	20260729	20260729	click	0.805602	0.702500	0.699100	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202609030409
20260728	20260729	20260729	ext	0.858333	0.807800	0.804200	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202609030409
20260729	20260730	20260730	buy	0.838699	0.702500	0.696200	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202609030437
20260729	20260730	20260730	cat	0.837640	0.706500	0.700000	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202609030437
20260729	20260730	20260730	click	0.804653	0.701300	0.698100	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202609030437
20260729	20260730	20260730	ext	0.862611	0.804700	0.803400	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202609030437
20260730	20260731	20260731	buy	0.838977	0.706400	0.701000	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202609030505
20260730	20260731	20260731	cat	0.837812	0.709600	0.703800	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202609030505
20260730	20260731	20260731	click	0.806440	0.704900	0.702100	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202609030505
20260730	20260731	20260731	ext	0.859133	0.819700	0.821100	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202609030505
20260731	20260801	20260801	buy	0.834515	0.703800	0.696500	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202609030542
20260731	20260801	20260801	cat	0.833795	0.706600	0.699300	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202609030542
20260731	20260801	20260801	click	0.805142	0.702600	0.698200	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202609030542
20260731	20260801	20260801	ext	0.858431	0.810500	0.807800	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202609030542
