checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260720	20260721	20260724	buy	0.836065	0.698800	0.693800	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202609030008
20260720	20260721	20260724	cat	0.834935	0.702500	0.697400	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202609030008
20260720	20260721	20260724	click	0.803205	0.698600	0.696200	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202609030008
20260720	20260721	20260724	ext	0.865374	0.811900	0.810600	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202609030008
20260724	20260725	20260725	buy	0.835746	0.701600	0.695500	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202609030200
20260724	20260725	20260725	cat	0.835231	0.705900	0.699300	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202609030200
20260724	20260725	20260725	click	0.806912	0.700600	0.698200	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202609030200
20260724	20260725	20260725	ext	0.860627	0.809700	0.809600	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202609030200
20260725	20260726	20260726	buy	0.836486	0.714000	0.707800	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202609030239
20260725	20260726	20260726	cat	0.835802	0.717200	0.711000	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202609030239
20260725	20260726	20260726	click	0.805772	0.708800	0.706300	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202609030239
20260725	20260726	20260726	ext	0.855956	0.803100	0.799200	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202609030239
20260726	20260727	20260727	buy	0.840828	0.706200	0.699100	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202609030320
20260726	20260727	20260727	cat	0.839497	0.708700	0.701800	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202609030320
20260726	20260727	20260727	click	0.804634	0.698800	0.696200	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202609030320
20260726	20260727	20260727	ext	0.862206	0.817200	0.816000	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202609030320
20260727	20260728	20260728	buy	0.841134	0.701600	0.694300	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202609030347
20260727	20260728	20260728	cat	0.839871	0.705300	0.697400	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202609030347
20260727	20260728	20260728	click	0.804770	0.699600	0.696000	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202609030347
20260727	20260728	20260728	ext	0.866391	0.826700	0.825300	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202609030347
20260728	20260729	20260729	buy	0.840416	0.704100	0.698400	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202609030414
20260728	20260729	20260729	cat	0.839296	0.707900	0.701800	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202609030414
20260728	20260729	20260729	click	0.806538	0.704600	0.701200	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202609030414
20260728	20260729	20260729	ext	0.858059	0.809900	0.807400	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202609030414
20260729	20260730	20260730	buy	0.839290	0.703200	0.697000	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202609030442
20260729	20260730	20260730	cat	0.838267	0.706900	0.700300	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202609030442
20260729	20260730	20260730	click	0.805632	0.702800	0.699000	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202609030442
20260729	20260730	20260730	ext	0.862553	0.807800	0.808600	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202609030442
20260730	20260731	20260731	buy	0.839628	0.708300	0.702800	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202609030512
20260730	20260731	20260731	cat	0.838598	0.710700	0.704900	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202609030512
20260730	20260731	20260731	click	0.807414	0.706100	0.703300	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202609030512
20260730	20260731	20260731	ext	0.859201	0.818200	0.818500	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202609030512
20260731	20260801	20260801	buy	0.835620	0.703600	0.696200	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202609030549
20260731	20260801	20260801	cat	0.834937	0.707100	0.699800	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202609030549
20260731	20260801	20260801	click	0.806398	0.703500	0.699500	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202609030549
20260731	20260801	20260801	ext	0.859303	0.816700	0.814800	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202609030549
