checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260720	20260721	20260724	buy	0.836434	0.699300	0.694300	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202609030006
20260720	20260721	20260724	cat	0.835314	0.703100	0.698000	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202609030006
20260720	20260721	20260724	click	0.803563	0.698900	0.696400	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202609030006
20260720	20260721	20260724	ext	0.865426	0.813900	0.811800	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202609030006
20260724	20260725	20260725	buy	0.835857	0.702000	0.696000	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202609030156
20260724	20260725	20260725	cat	0.835348	0.706100	0.699800	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202609030156
20260724	20260725	20260725	click	0.807084	0.699900	0.697600	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202609030156
20260724	20260725	20260725	ext	0.860843	0.810900	0.810500	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202609030156
20260725	20260726	20260726	buy	0.836968	0.715400	0.709500	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202609030235
20260725	20260726	20260726	cat	0.836246	0.718400	0.712400	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202609030235
20260725	20260726	20260726	click	0.806159	0.709500	0.706600	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202609030235
20260725	20260726	20260726	ext	0.855966	0.803300	0.800000	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202609030235
20260726	20260727	20260727	buy	0.840514	0.707300	0.699500	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202609030314
20260726	20260727	20260727	cat	0.839188	0.709900	0.702500	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202609030314
20260726	20260727	20260727	click	0.804465	0.699200	0.696300	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202609030314
20260726	20260727	20260727	ext	0.862212	0.815000	0.813200	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202609030314
20260727	20260728	20260728	buy	0.841120	0.701200	0.694200	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202609030341
20260727	20260728	20260728	cat	0.839882	0.704900	0.697200	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202609030341
20260727	20260728	20260728	click	0.804733	0.699000	0.695400	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202609030341
20260727	20260728	20260728	ext	0.866632	0.816300	0.813700	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202609030341
20260728	20260729	20260729	buy	0.840601	0.704100	0.698000	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202609030408
20260728	20260729	20260729	cat	0.839448	0.708000	0.701900	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202609030408
20260728	20260729	20260729	click	0.806785	0.705300	0.701700	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202609030408
20260728	20260729	20260729	ext	0.859073	0.811400	0.806900	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202609030408
20260729	20260730	20260730	buy	0.839613	0.703800	0.697600	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202609030435
20260729	20260730	20260730	cat	0.838596	0.707800	0.701400	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202609030435
20260729	20260730	20260730	click	0.805907	0.702900	0.699000	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202609030435
20260729	20260730	20260730	ext	0.862453	0.813800	0.814900	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202609030435
20260730	20260731	20260731	buy	0.839916	0.708400	0.702800	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202609030504
20260730	20260731	20260731	cat	0.838877	0.710900	0.705100	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202609030504
20260730	20260731	20260731	click	0.807666	0.706800	0.704100	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202609030504
20260730	20260731	20260731	ext	0.859884	0.818400	0.817200	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202609030504
20260731	20260801	20260801	buy	0.835611	0.703400	0.695700	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202609030541
20260731	20260801	20260801	cat	0.834945	0.707100	0.699500	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202609030541
20260731	20260801	20260801	click	0.806395	0.703800	0.699100	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202609030541
20260731	20260801	20260801	ext	0.858931	0.813600	0.808800	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202609030541
