checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260720	20260721	20260724	buy	0.809072	0.684600	0.679400	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202609030309
20260720	20260721	20260724	cat	0.813862	0.690700	0.685600	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202609030309
20260720	20260721	20260724	click	0.773394	0.679700	0.678200	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202609030309
20260720	20260721	20260724	ext	0.830044	0.778400	0.779300	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202609030309
20260724	20260725	20260725	buy	0.797879	0.678000	0.671200	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202609030508
20260724	20260725	20260725	cat	0.784624	0.672200	0.665300	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202609030508
20260724	20260725	20260725	click	0.770425	0.673900	0.671500	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202609030508
20260724	20260725	20260725	ext	0.817804	0.753600	0.749000	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202609030508
20260725	20260726	20260726	buy	0.811144	0.689600	0.682900	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202609030549
20260725	20260726	20260726	cat	0.816599	0.698300	0.690900	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202609030549
20260725	20260726	20260726	click	0.773009	0.678000	0.674800	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202609030549
20260725	20260726	20260726	ext	0.744184	0.706300	0.693000	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202609030549
20260726	20260727	20260727	buy	0.791589	0.681400	0.674200	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202609030631
20260726	20260727	20260727	cat	0.791632	0.682700	0.674900	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202609030631
20260726	20260727	20260727	click	0.753814	0.675400	0.672300	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202609030631
20260726	20260727	20260727	ext	0.804339	0.763400	0.764000	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202609030631
20260727	20260728	20260728	buy	0.814652	0.684700	0.677100	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202609030700
20260727	20260728	20260728	cat	0.808631	0.688100	0.681000	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202609030700
20260727	20260728	20260728	click	0.776558	0.680900	0.677700	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202609030700
20260727	20260728	20260728	ext	0.840398	0.799500	0.799000	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202609030700
20260728	20260729	20260729	buy	0.802711	0.687700	0.681600	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202609030729
20260728	20260729	20260729	cat	0.804267	0.692400	0.686300	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202609030729
20260728	20260729	20260729	click	0.767370	0.682900	0.679500	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202609030729
20260728	20260729	20260729	ext	0.842847	0.808200	0.809900	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202609030729
20260729	20260730	20260730	buy	0.819632	0.694200	0.686900	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202609030759
20260729	20260730	20260730	cat	0.816848	0.698600	0.691300	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202609030759
20260729	20260730	20260730	click	0.781667	0.689200	0.685700	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202609030759
20260729	20260730	20260730	ext	0.846754	0.791300	0.792700	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202609030759
20260730	20260731	20260731	buy	0.807445	0.688700	0.683200	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202609030829
20260730	20260731	20260731	cat	0.809640	0.694500	0.688800	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202609030829
20260730	20260731	20260731	click	0.773969	0.683200	0.681400	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202609030829
20260730	20260731	20260731	ext	0.839811	0.792400	0.791200	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202609030829
20260731	20260801	20260801	buy	0.787370	0.671800	0.665700	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202609030907
20260731	20260801	20260801	cat	0.782178	0.669900	0.663600	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202609030907
20260731	20260801	20260801	click	0.754702	0.662900	0.661200	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202609030907
20260731	20260801	20260801	ext	0.790427	0.758200	0.755200	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202609030907
