checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260720	20260721	20260724	buy	0.836176	0.699400	0.694500	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202609032357
20260720	20260721	20260724	cat	0.835042	0.702800	0.697900	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202609032357
20260720	20260721	20260724	click	0.803315	0.699400	0.696800	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202609032357
20260720	20260721	20260724	ext	0.865460	0.811100	0.809800	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202609032357
20260724	20260725	20260725	buy	0.835707	0.703100	0.697000	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202609040149
20260724	20260725	20260725	cat	0.835167	0.706500	0.700000	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202609040149
20260724	20260725	20260725	click	0.806978	0.700200	0.697200	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202609040149
20260724	20260725	20260725	ext	0.861030	0.807700	0.808700	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202609040149
20260725	20260726	20260726	buy	0.836669	0.714500	0.708500	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202609040228
20260725	20260726	20260726	cat	0.835955	0.717500	0.711500	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202609040228
20260725	20260726	20260726	click	0.805958	0.709100	0.706500	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202609040228
20260725	20260726	20260726	ext	0.855704	0.799400	0.795600	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202609040228
20260726	20260727	20260727	buy	0.841065	0.706200	0.698700	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202609040307
20260726	20260727	20260727	cat	0.839747	0.709300	0.702300	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202609040307
20260726	20260727	20260727	click	0.804908	0.698500	0.695800	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202609040307
20260726	20260727	20260727	ext	0.862024	0.819300	0.819100	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202609040307
20260727	20260728	20260728	buy	0.840991	0.701600	0.694400	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202609040335
20260727	20260728	20260728	cat	0.839709	0.705200	0.697700	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202609040335
20260727	20260728	20260728	click	0.804683	0.699200	0.695300	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202609040335
20260727	20260728	20260728	ext	0.866515	0.827000	0.826400	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202609040335
20260728	20260729	20260729	buy	0.840625	0.704700	0.699100	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202609040402
20260728	20260729	20260729	cat	0.839484	0.709200	0.703300	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202609040402
20260728	20260729	20260729	click	0.806729	0.705300	0.702300	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202609040402
20260728	20260729	20260729	ext	0.858575	0.807500	0.805600	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202609040402
20260729	20260730	20260730	buy	0.839410	0.704400	0.698100	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202609040429
20260729	20260730	20260730	cat	0.838420	0.708600	0.702100	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202609040429
20260729	20260730	20260730	click	0.805720	0.703600	0.700100	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202609040429
20260729	20260730	20260730	ext	0.862570	0.808100	0.807300	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202609040429
20260730	20260731	20260731	buy	0.839840	0.708300	0.702900	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202609040457
20260730	20260731	20260731	cat	0.838717	0.711200	0.705700	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202609040457
20260730	20260731	20260731	click	0.807476	0.706700	0.704000	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202609040457
20260730	20260731	20260731	ext	0.859554	0.819700	0.818000	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202609040457
20260731	20260801	20260801	buy	0.835480	0.704100	0.696300	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202609040533
20260731	20260801	20260801	cat	0.834780	0.707400	0.699500	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202609040533
20260731	20260801	20260801	click	0.806255	0.703500	0.699000	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202609040533
20260731	20260801	20260801	ext	0.858737	0.816400	0.813800	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202609040533
