checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260720	20260721	20260724	buy	0.836310	0.699400	0.694300	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202609032357
20260720	20260721	20260724	cat	0.835183	0.702800	0.697900	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202609032357
20260720	20260721	20260724	click	0.803368	0.699300	0.696900	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202609032357
20260720	20260721	20260724	ext	0.865075	0.809300	0.806300	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202609032357
20260724	20260725	20260725	buy	0.835757	0.702600	0.696200	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202609040156
20260724	20260725	20260725	cat	0.835274	0.707600	0.701100	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202609040156
20260724	20260725	20260725	click	0.806978	0.700800	0.698100	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202609040156
20260724	20260725	20260725	ext	0.860545	0.803400	0.801000	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202609040156
20260725	20260726	20260726	buy	0.837028	0.714600	0.708000	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202609040237
20260725	20260726	20260726	cat	0.836320	0.717600	0.711100	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202609040237
20260725	20260726	20260726	click	0.806216	0.709600	0.706500	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202609040237
20260725	20260726	20260726	ext	0.856192	0.799300	0.796300	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202609040237
20260726	20260727	20260727	buy	0.840928	0.706000	0.697900	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202609040317
20260726	20260727	20260727	cat	0.839620	0.708900	0.701300	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202609040317
20260726	20260727	20260727	click	0.804910	0.700500	0.697500	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202609040317
20260726	20260727	20260727	ext	0.862367	0.811400	0.810900	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202609040317
20260727	20260728	20260728	buy	0.841320	0.701800	0.694500	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202609040345
20260727	20260728	20260728	cat	0.840042	0.706100	0.698500	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202609040345
20260727	20260728	20260728	click	0.804970	0.699700	0.696200	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202609040345
20260727	20260728	20260728	ext	0.866030	0.828200	0.827700	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202609040345
20260728	20260729	20260729	buy	0.840434	0.704500	0.698600	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202609040412
20260728	20260729	20260729	cat	0.839308	0.708400	0.702200	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202609040412
20260728	20260729	20260729	click	0.806593	0.705100	0.701500	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202609040412
20260728	20260729	20260729	ext	0.858527	0.807000	0.804200	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202609040412
20260729	20260730	20260730	buy	0.839514	0.703900	0.697600	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202609040441
20260729	20260730	20260730	cat	0.838453	0.707800	0.701400	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202609040441
20260729	20260730	20260730	click	0.805853	0.703500	0.699500	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202609040441
20260729	20260730	20260730	ext	0.862285	0.802600	0.802000	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202609040441
20260730	20260731	20260731	buy	0.839911	0.707900	0.702700	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202609040510
20260730	20260731	20260731	cat	0.838807	0.711400	0.705900	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202609040510
20260730	20260731	20260731	click	0.807553	0.706600	0.703800	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202609040510
20260730	20260731	20260731	ext	0.859615	0.815400	0.813700	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202609040510
20260731	20260801	20260801	buy	0.835501	0.704200	0.696900	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202609040548
20260731	20260801	20260801	cat	0.834840	0.707200	0.700100	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202609040548
20260731	20260801	20260801	click	0.806282	0.704100	0.700100	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202609040548
20260731	20260801	20260801	ext	0.858800	0.809600	0.806100	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202609040548
