checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260720	20260721	20260724	buy	0.836180	0.700200	0.694800	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202609040201
20260720	20260721	20260724	cat	0.835045	0.703800	0.698500	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202609040201
20260720	20260721	20260724	click	0.803292	0.699300	0.696700	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202609040201
20260720	20260721	20260724	ext	0.864661	0.812800	0.811500	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202609040201
20260724	20260725	20260725	buy	0.836150	0.703900	0.698200	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202609040352
20260724	20260725	20260725	cat	0.835624	0.708100	0.702200	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202609040352
20260724	20260725	20260725	click	0.807193	0.701400	0.699000	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202609040352
20260724	20260725	20260725	ext	0.860019	0.808300	0.808000	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202609040352
20260725	20260726	20260726	buy	0.836856	0.715800	0.709600	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202609040433
20260725	20260726	20260726	cat	0.836144	0.718600	0.712300	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202609040433
20260725	20260726	20260726	click	0.806001	0.709300	0.706500	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202609040433
20260725	20260726	20260726	ext	0.854794	0.794100	0.788800	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202609040433
20260726	20260727	20260727	buy	0.841111	0.705300	0.697500	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202609040514
20260726	20260727	20260727	cat	0.839725	0.708500	0.701000	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202609040514
20260726	20260727	20260727	click	0.804978	0.698500	0.695800	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202609040514
20260726	20260727	20260727	ext	0.861038	0.812700	0.809800	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202609040514
20260727	20260728	20260728	buy	0.841438	0.703600	0.696800	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202609040541
20260727	20260728	20260728	cat	0.840108	0.706800	0.699600	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202609040541
20260727	20260728	20260728	click	0.805001	0.700700	0.697800	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202609040541
20260727	20260728	20260728	ext	0.865007	0.825200	0.825100	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202609040541
20260728	20260729	20260729	buy	0.840346	0.704100	0.698100	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202609040607
20260728	20260729	20260729	cat	0.839179	0.707800	0.701600	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202609040607
20260728	20260729	20260729	click	0.806394	0.704900	0.701300	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202609040607
20260728	20260729	20260729	ext	0.858251	0.812800	0.809300	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202609040607
20260729	20260730	20260730	buy	0.839381	0.704400	0.697800	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202609040635
20260729	20260730	20260730	cat	0.838324	0.708300	0.701600	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202609040635
20260729	20260730	20260730	click	0.805599	0.702600	0.699100	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202609040635
20260729	20260730	20260730	ext	0.861127	0.799200	0.800000	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202609040635
20260730	20260731	20260731	buy	0.839720	0.709800	0.704500	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202609040704
20260730	20260731	20260731	cat	0.838638	0.712400	0.706700	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202609040704
20260730	20260731	20260731	click	0.807255	0.706500	0.704100	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202609040704
20260730	20260731	20260731	ext	0.858538	0.821300	0.820000	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202609040704
20260731	20260801	20260801	buy	0.835810	0.704700	0.697300	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202609040739
20260731	20260801	20260801	cat	0.835078	0.707300	0.700000	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202609040739
20260731	20260801	20260801	click	0.806508	0.704200	0.700100	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202609040739
20260731	20260801	20260801	ext	0.857633	0.812700	0.810100	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202609040739
