checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260825	20260829	20260831	buy	0.829322	0.689800	0.681300	3797904	600178	log/fixed_test_ckpt_20260825_from_20260829_to_20260831_202609090936
20260825	20260829	20260831	cat	0.828197	0.693200	0.684700	3797904	618619	log/fixed_test_ckpt_20260825_from_20260829_to_20260831_202609090936
20260825	20260829	20260831	click	0.797457	0.692100	0.686500	3797904	766942	log/fixed_test_ckpt_20260825_from_20260829_to_20260831_202609090936
20260825	20260829	20260831	ext	0.847127	0.802700	0.797500	3797904	21440	log/fixed_test_ckpt_20260825_from_20260829_to_20260831_202609090936
20260831	20260901	20260901	buy	0.837514	0.703100	0.695300	1256610	175786	log/rolling_test_ckpt_20260831_from_20260901_to_20260901_202609091113
20260831	20260901	20260901	cat	0.836418	0.706600	0.699000	1256610	181377	log/rolling_test_ckpt_20260831_from_20260901_to_20260901_202609091113
20260831	20260901	20260901	click	0.802104	0.705900	0.700000	1256610	230824	log/rolling_test_ckpt_20260831_from_20260901_to_20260901_202609091113
20260831	20260901	20260901	ext	0.848399	0.799200	0.790400	1256610	6586	log/rolling_test_ckpt_20260831_from_20260901_to_20260901_202609091113
20260901	20260902	20260902	buy	0.835268	0.688600	0.682000	980613	161015	log/rolling_test_ckpt_20260901_from_20260902_to_20260902_202609091146
20260901	20260902	20260902	cat	0.834208	0.691700	0.684900	980613	166146	log/rolling_test_ckpt_20260901_from_20260902_to_20260902_202609091146
20260901	20260902	20260902	click	0.802820	0.694800	0.691200	980613	206470	log/rolling_test_ckpt_20260901_from_20260902_to_20260902_202609091146
20260901	20260902	20260902	ext	0.860050	0.824900	0.820800	980613	5558	log/rolling_test_ckpt_20260901_from_20260902_to_20260902_202609091146
20260902	20260903	20260903	buy	0.833508	0.687400	0.680600	1064760	179303	log/rolling_test_ckpt_20260902_from_20260903_to_20260903_202609091214
20260902	20260903	20260903	cat	0.832306	0.691000	0.684400	1064760	184794	log/rolling_test_ckpt_20260902_from_20260903_to_20260903_202609091214
20260902	20260903	20260903	click	0.802141	0.692500	0.688700	1064760	227785	log/rolling_test_ckpt_20260902_from_20260903_to_20260903_202609091214
20260902	20260903	20260903	ext	0.859551	0.818200	0.812600	1064760	6081	log/rolling_test_ckpt_20260902_from_20260903_to_20260903_202609091214
20260903	20260904	20260904	buy	0.833899	0.687600	0.680600	1540623	233692	log/rolling_test_ckpt_20260903_from_20260904_to_20260904_202609091244
20260903	20260904	20260904	cat	0.832821	0.691000	0.683900	1540623	240555	log/rolling_test_ckpt_20260903_from_20260904_to_20260904_202609091244
20260903	20260904	20260904	click	0.802948	0.694200	0.688500	1540623	298527	log/rolling_test_ckpt_20260903_from_20260904_to_20260904_202609091244
20260903	20260904	20260904	ext	0.852446	0.806900	0.805100	1540623	8854	log/rolling_test_ckpt_20260903_from_20260904_to_20260904_202609091244
20260904	20260905	20260905	buy	0.829857	0.686100	0.678100	1043642	157221	log/rolling_test_ckpt_20260904_from_20260905_to_20260905_202609091324
20260904	20260905	20260905	cat	0.828756	0.689100	0.680900	1043642	161894	log/rolling_test_ckpt_20260904_from_20260905_to_20260905_202609091324
20260904	20260905	20260905	click	0.798948	0.691900	0.685500	1043642	201476	log/rolling_test_ckpt_20260904_from_20260905_to_20260905_202609091324
20260904	20260905	20260905	ext	0.847784	0.817900	0.816800	1043642	5628	log/rolling_test_ckpt_20260904_from_20260905_to_20260905_202609091324
20260905	20260906	20260906	buy	0.831783	0.693300	0.685300	1912367	264896	log/rolling_test_ckpt_20260905_from_20260906_to_20260906_202609091353
20260905	20260906	20260906	cat	0.830583	0.696300	0.688300	1912367	273293	log/rolling_test_ckpt_20260905_from_20260906_to_20260906_202609091353
20260905	20260906	20260906	click	0.797294	0.696800	0.691800	1912367	347914	log/rolling_test_ckpt_20260905_from_20260906_to_20260906_202609091353
20260905	20260906	20260906	ext	0.853773	0.812300	0.810000	1912367	10027	log/rolling_test_ckpt_20260905_from_20260906_to_20260906_202609091353
