checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260825	20260829	20260831	buy	0.830807	0.690500	0.682300	3797904	600178	log/fixed_test_ckpt_20260825_from_20260829_to_20260831_202609091219
20260825	20260829	20260831	cat	0.829637	0.693600	0.685200	3797904	618619	log/fixed_test_ckpt_20260825_from_20260829_to_20260831_202609091219
20260825	20260829	20260831	click	0.799087	0.692400	0.686800	3797904	766942	log/fixed_test_ckpt_20260825_from_20260829_to_20260831_202609091219
20260825	20260829	20260831	ext	0.847543	0.800200	0.795000	3797904	21440	log/fixed_test_ckpt_20260825_from_20260829_to_20260831_202609091219
20260831	20260901	20260901	buy	0.839346	0.704500	0.697000	1256610	175786	log/rolling_test_ckpt_20260831_from_20260901_to_20260901_202609091411
20260831	20260901	20260901	cat	0.838234	0.707600	0.700200	1256610	181377	log/rolling_test_ckpt_20260831_from_20260901_to_20260901_202609091411
20260831	20260901	20260901	click	0.803980	0.706100	0.700800	1256610	230824	log/rolling_test_ckpt_20260831_from_20260901_to_20260901_202609091411
20260831	20260901	20260901	ext	0.849456	0.801100	0.791800	1256610	6586	log/rolling_test_ckpt_20260831_from_20260901_to_20260901_202609091411
20260901	20260902	20260902	buy	0.837473	0.688500	0.682000	980613	161015	log/rolling_test_ckpt_20260901_from_20260902_to_20260902_202609091450
20260901	20260902	20260902	cat	0.836370	0.692600	0.685800	980613	166146	log/rolling_test_ckpt_20260901_from_20260902_to_20260902_202609091450
20260901	20260902	20260902	click	0.805131	0.695400	0.691700	980613	206470	log/rolling_test_ckpt_20260901_from_20260902_to_20260902_202609091450
20260901	20260902	20260902	ext	0.861320	0.823600	0.819000	980613	5558	log/rolling_test_ckpt_20260901_from_20260902_to_20260902_202609091450
20260902	20260903	20260903	buy	0.835499	0.687500	0.680500	1064760	179303	log/rolling_test_ckpt_20260902_from_20260903_to_20260903_202609091521
20260902	20260903	20260903	cat	0.834303	0.691900	0.685000	1064760	184794	log/rolling_test_ckpt_20260902_from_20260903_to_20260903_202609091521
20260902	20260903	20260903	click	0.804336	0.693600	0.689200	1064760	227785	log/rolling_test_ckpt_20260902_from_20260903_to_20260903_202609091521
20260902	20260903	20260903	ext	0.860481	0.814600	0.810800	1064760	6081	log/rolling_test_ckpt_20260902_from_20260903_to_20260903_202609091521
20260903	20260904	20260904	buy	0.835742	0.688000	0.681400	1540623	233692	log/rolling_test_ckpt_20260903_from_20260904_to_20260904_202609091555
20260903	20260904	20260904	cat	0.834690	0.691800	0.685000	1540623	240555	log/rolling_test_ckpt_20260903_from_20260904_to_20260904_202609091555
20260903	20260904	20260904	click	0.804974	0.694100	0.688400	1540623	298527	log/rolling_test_ckpt_20260903_from_20260904_to_20260904_202609091555
20260903	20260904	20260904	ext	0.852737	0.803400	0.801500	1540623	8854	log/rolling_test_ckpt_20260903_from_20260904_to_20260904_202609091555
20260904	20260905	20260905	buy	0.831601	0.688000	0.680800	1043642	157221	log/rolling_test_ckpt_20260904_from_20260905_to_20260905_202609091642
20260904	20260905	20260905	cat	0.830516	0.690400	0.682400	1043642	161894	log/rolling_test_ckpt_20260904_from_20260905_to_20260905_202609091642
20260904	20260905	20260905	click	0.800748	0.692400	0.686600	1043642	201476	log/rolling_test_ckpt_20260904_from_20260905_to_20260905_202609091642
20260904	20260905	20260905	ext	0.848513	0.811300	0.807900	1043642	5628	log/rolling_test_ckpt_20260904_from_20260905_to_20260905_202609091642
20260905	20260906	20260906	buy	0.833745	0.696200	0.688300	1912367	264896	log/rolling_test_ckpt_20260905_from_20260906_to_20260906_202609091714
20260905	20260906	20260906	cat	0.832569	0.698600	0.690600	1912367	273293	log/rolling_test_ckpt_20260905_from_20260906_to_20260906_202609091714
20260905	20260906	20260906	click	0.799466	0.698600	0.693800	1912367	347914	log/rolling_test_ckpt_20260905_from_20260906_to_20260906_202609091714
20260905	20260906	20260906	ext	0.855102	0.810100	0.809600	1912367	10027	log/rolling_test_ckpt_20260905_from_20260906_to_20260906_202609091714
