checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260825	20260829	20260831	buy	0.829518	0.690000	0.681700	3797904	600178	log/fixed_test_ckpt_20260825_from_20260829_to_20260831_202609091042
20260825	20260829	20260831	cat	0.828388	0.693300	0.685000	3797904	618619	log/fixed_test_ckpt_20260825_from_20260829_to_20260831_202609091042
20260825	20260829	20260831	click	0.797570	0.692400	0.686900	3797904	766942	log/fixed_test_ckpt_20260825_from_20260829_to_20260831_202609091042
20260825	20260829	20260831	ext	0.847024	0.801600	0.796100	3797904	21440	log/fixed_test_ckpt_20260825_from_20260829_to_20260831_202609091042
20260831	20260901	20260901	buy	0.837873	0.703800	0.696400	1256610	175786	log/rolling_test_ckpt_20260831_from_20260901_to_20260901_202609091232
20260831	20260901	20260901	cat	0.836780	0.707300	0.700000	1256610	181377	log/rolling_test_ckpt_20260831_from_20260901_to_20260901_202609091232
20260831	20260901	20260901	click	0.802407	0.706200	0.700800	1256610	230824	log/rolling_test_ckpt_20260831_from_20260901_to_20260901_202609091232
20260831	20260901	20260901	ext	0.847629	0.803400	0.797400	1256610	6586	log/rolling_test_ckpt_20260831_from_20260901_to_20260901_202609091232
20260901	20260902	20260902	buy	0.835690	0.686700	0.680100	980613	161015	log/rolling_test_ckpt_20260901_from_20260902_to_20260902_202609091308
20260901	20260902	20260902	cat	0.834617	0.690600	0.683500	980613	166146	log/rolling_test_ckpt_20260901_from_20260902_to_20260902_202609091308
20260901	20260902	20260902	click	0.803182	0.694300	0.690400	980613	206470	log/rolling_test_ckpt_20260901_from_20260902_to_20260902_202609091308
20260901	20260902	20260902	ext	0.860452	0.823300	0.819500	980613	5558	log/rolling_test_ckpt_20260901_from_20260902_to_20260902_202609091308
20260902	20260903	20260903	buy	0.833706	0.687100	0.679800	1064760	179303	log/rolling_test_ckpt_20260902_from_20260903_to_20260903_202609091337
20260902	20260903	20260903	cat	0.832511	0.690700	0.683500	1064760	184794	log/rolling_test_ckpt_20260902_from_20260903_to_20260903_202609091337
20260902	20260903	20260903	click	0.802446	0.693300	0.689100	1064760	227785	log/rolling_test_ckpt_20260902_from_20260903_to_20260903_202609091337
20260902	20260903	20260903	ext	0.859672	0.816100	0.811700	1064760	6081	log/rolling_test_ckpt_20260902_from_20260903_to_20260903_202609091337
20260903	20260904	20260904	buy	0.834270	0.687400	0.680600	1540623	233692	log/rolling_test_ckpt_20260903_from_20260904_to_20260904_202609091408
20260903	20260904	20260904	cat	0.833210	0.690900	0.683900	1540623	240555	log/rolling_test_ckpt_20260903_from_20260904_to_20260904_202609091408
20260903	20260904	20260904	click	0.803325	0.694400	0.688800	1540623	298527	log/rolling_test_ckpt_20260903_from_20260904_to_20260904_202609091408
20260903	20260904	20260904	ext	0.853084	0.806700	0.806100	1540623	8854	log/rolling_test_ckpt_20260903_from_20260904_to_20260904_202609091408
20260904	20260905	20260905	buy	0.830154	0.686100	0.678600	1043642	157221	log/rolling_test_ckpt_20260904_from_20260905_to_20260905_202609091450
20260904	20260905	20260905	cat	0.829120	0.689800	0.682000	1043642	161894	log/rolling_test_ckpt_20260904_from_20260905_to_20260905_202609091450
20260904	20260905	20260905	click	0.799187	0.691900	0.685500	1043642	201476	log/rolling_test_ckpt_20260904_from_20260905_to_20260905_202609091450
20260904	20260905	20260905	ext	0.846781	0.806700	0.805600	1043642	5628	log/rolling_test_ckpt_20260904_from_20260905_to_20260905_202609091450
20260905	20260906	20260906	buy	0.832383	0.694300	0.686400	1912367	264896	log/rolling_test_ckpt_20260905_from_20260906_to_20260906_202609091521
20260905	20260906	20260906	cat	0.831187	0.697400	0.689400	1912367	273293	log/rolling_test_ckpt_20260905_from_20260906_to_20260906_202609091521
20260905	20260906	20260906	click	0.797848	0.698300	0.693300	1912367	347914	log/rolling_test_ckpt_20260905_from_20260906_to_20260906_202609091521
20260905	20260906	20260906	ext	0.853919	0.805900	0.804700	1912367	10027	log/rolling_test_ckpt_20260905_from_20260906_to_20260906_202609091521
