checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260825	20260829	20260831	buy	0.829476	0.690800	0.682300	3797904	600178	log/fixed_test_ckpt_20260825_from_20260829_to_20260831_202609090936
20260825	20260829	20260831	cat	0.828330	0.693700	0.685200	3797904	618619	log/fixed_test_ckpt_20260825_from_20260829_to_20260831_202609090936
20260825	20260829	20260831	click	0.797536	0.693100	0.687600	3797904	766942	log/fixed_test_ckpt_20260825_from_20260829_to_20260831_202609090936
20260825	20260829	20260831	ext	0.847158	0.800200	0.793700	3797904	21440	log/fixed_test_ckpt_20260825_from_20260829_to_20260831_202609090936
20260831	20260901	20260901	buy	0.837731	0.704800	0.697500	1256610	175786	log/rolling_test_ckpt_20260831_from_20260901_to_20260901_202609091113
20260831	20260901	20260901	cat	0.836615	0.707800	0.700400	1256610	181377	log/rolling_test_ckpt_20260831_from_20260901_to_20260901_202609091113
20260831	20260901	20260901	click	0.802152	0.705200	0.699700	1256610	230824	log/rolling_test_ckpt_20260831_from_20260901_to_20260901_202609091113
20260831	20260901	20260901	ext	0.847993	0.800900	0.792900	1256610	6586	log/rolling_test_ckpt_20260831_from_20260901_to_20260901_202609091113
20260901	20260902	20260902	buy	0.835362	0.688100	0.681600	980613	161015	log/rolling_test_ckpt_20260901_from_20260902_to_20260902_202609091146
20260901	20260902	20260902	cat	0.834327	0.691500	0.684900	980613	166146	log/rolling_test_ckpt_20260901_from_20260902_to_20260902_202609091146
20260901	20260902	20260902	click	0.802917	0.694700	0.690800	980613	206470	log/rolling_test_ckpt_20260901_from_20260902_to_20260902_202609091146
20260901	20260902	20260902	ext	0.860655	0.825300	0.818000	980613	5558	log/rolling_test_ckpt_20260901_from_20260902_to_20260902_202609091146
20260902	20260903	20260903	buy	0.833386	0.686500	0.679600	1064760	179303	log/rolling_test_ckpt_20260902_from_20260903_to_20260903_202609091214
20260902	20260903	20260903	cat	0.832224	0.690200	0.683500	1064760	184794	log/rolling_test_ckpt_20260902_from_20260903_to_20260903_202609091214
20260902	20260903	20260903	click	0.802110	0.692500	0.688700	1064760	227785	log/rolling_test_ckpt_20260902_from_20260903_to_20260903_202609091214
20260902	20260903	20260903	ext	0.859592	0.814600	0.809900	1064760	6081	log/rolling_test_ckpt_20260902_from_20260903_to_20260903_202609091214
20260903	20260904	20260904	buy	0.833882	0.686300	0.679100	1540623	233692	log/rolling_test_ckpt_20260903_from_20260904_to_20260904_202609091244
20260903	20260904	20260904	cat	0.832806	0.690000	0.683000	1540623	240555	log/rolling_test_ckpt_20260903_from_20260904_to_20260904_202609091244
20260903	20260904	20260904	click	0.802936	0.693500	0.688000	1540623	298527	log/rolling_test_ckpt_20260903_from_20260904_to_20260904_202609091244
20260903	20260904	20260904	ext	0.853193	0.805100	0.805400	1540623	8854	log/rolling_test_ckpt_20260903_from_20260904_to_20260904_202609091244
20260904	20260905	20260905	buy	0.830145	0.686000	0.678900	1043642	157221	log/rolling_test_ckpt_20260904_from_20260905_to_20260905_202609091324
20260904	20260905	20260905	cat	0.829047	0.689000	0.681100	1043642	161894	log/rolling_test_ckpt_20260904_from_20260905_to_20260905_202609091324
20260904	20260905	20260905	click	0.798970	0.691000	0.685100	1043642	201476	log/rolling_test_ckpt_20260904_from_20260905_to_20260905_202609091324
20260904	20260905	20260905	ext	0.847334	0.806400	0.804300	1043642	5628	log/rolling_test_ckpt_20260904_from_20260905_to_20260905_202609091324
20260905	20260906	20260906	buy	0.832127	0.693900	0.686000	1912367	264896	log/rolling_test_ckpt_20260905_from_20260906_to_20260906_202609091353
20260905	20260906	20260906	cat	0.830946	0.696200	0.688300	1912367	273293	log/rolling_test_ckpt_20260905_from_20260906_to_20260906_202609091353
20260905	20260906	20260906	click	0.797638	0.698500	0.693500	1912367	347914	log/rolling_test_ckpt_20260905_from_20260906_to_20260906_202609091353
20260905	20260906	20260906	ext	0.853915	0.807300	0.805100	1912367	10027	log/rolling_test_ckpt_20260905_from_20260906_to_20260906_202609091353
