checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260825	20260829	20260831	buy	0.831093	0.690700	0.682300	3797904	600178	log/fixed_test_ckpt_20260825_from_20260829_to_20260831_202609091110
20260825	20260829	20260831	cat	0.829954	0.693700	0.685300	3797904	618619	log/fixed_test_ckpt_20260825_from_20260829_to_20260831_202609091110
20260825	20260829	20260831	click	0.799242	0.693600	0.688000	3797904	766942	log/fixed_test_ckpt_20260825_from_20260829_to_20260831_202609091110
20260825	20260829	20260831	ext	0.847990	0.802000	0.795800	3797904	21440	log/fixed_test_ckpt_20260825_from_20260829_to_20260831_202609091110
20260831	20260901	20260901	buy	0.839690	0.704200	0.697100	1256610	175786	log/rolling_test_ckpt_20260831_from_20260901_to_20260901_202609091257
20260831	20260901	20260901	cat	0.838604	0.707100	0.700100	1256610	181377	log/rolling_test_ckpt_20260831_from_20260901_to_20260901_202609091257
20260831	20260901	20260901	click	0.804256	0.706500	0.701000	1256610	230824	log/rolling_test_ckpt_20260831_from_20260901_to_20260901_202609091257
20260831	20260901	20260901	ext	0.849830	0.798600	0.790100	1256610	6586	log/rolling_test_ckpt_20260831_from_20260901_to_20260901_202609091257
20260901	20260902	20260902	buy	0.837115	0.688100	0.681100	980613	161015	log/rolling_test_ckpt_20260901_from_20260902_to_20260902_202609091334
20260901	20260902	20260902	cat	0.836007	0.691300	0.684100	980613	166146	log/rolling_test_ckpt_20260901_from_20260902_to_20260902_202609091334
20260901	20260902	20260902	click	0.804803	0.695700	0.691800	980613	206470	log/rolling_test_ckpt_20260901_from_20260902_to_20260902_202609091334
20260901	20260902	20260902	ext	0.861550	0.820200	0.816300	980613	5558	log/rolling_test_ckpt_20260901_from_20260902_to_20260902_202609091334
20260902	20260903	20260903	buy	0.835205	0.689000	0.682200	1064760	179303	log/rolling_test_ckpt_20260902_from_20260903_to_20260903_202609091403
20260902	20260903	20260903	cat	0.834015	0.692300	0.685700	1064760	184794	log/rolling_test_ckpt_20260902_from_20260903_to_20260903_202609091403
20260902	20260903	20260903	click	0.804127	0.693600	0.689700	1064760	227785	log/rolling_test_ckpt_20260902_from_20260903_to_20260903_202609091403
20260902	20260903	20260903	ext	0.859979	0.814900	0.810700	1064760	6081	log/rolling_test_ckpt_20260902_from_20260903_to_20260903_202609091403
20260903	20260904	20260904	buy	0.835868	0.688500	0.681500	1540623	233692	log/rolling_test_ckpt_20260903_from_20260904_to_20260904_202609091435
20260903	20260904	20260904	cat	0.834792	0.691800	0.684800	1540623	240555	log/rolling_test_ckpt_20260903_from_20260904_to_20260904_202609091435
20260903	20260904	20260904	click	0.805085	0.694900	0.689200	1540623	298527	log/rolling_test_ckpt_20260903_from_20260904_to_20260904_202609091435
20260903	20260904	20260904	ext	0.854225	0.804500	0.801900	1540623	8854	log/rolling_test_ckpt_20260903_from_20260904_to_20260904_202609091435
20260904	20260905	20260905	buy	0.831904	0.688400	0.681100	1043642	157221	log/rolling_test_ckpt_20260904_from_20260905_to_20260905_202609091519
20260904	20260905	20260905	cat	0.830825	0.691200	0.683400	1043642	161894	log/rolling_test_ckpt_20260904_from_20260905_to_20260905_202609091519
20260904	20260905	20260905	click	0.800882	0.693600	0.687600	1043642	201476	log/rolling_test_ckpt_20260904_from_20260905_to_20260905_202609091519
20260904	20260905	20260905	ext	0.848405	0.811000	0.809600	1043642	5628	log/rolling_test_ckpt_20260904_from_20260905_to_20260905_202609091519
20260905	20260906	20260906	buy	0.833864	0.695400	0.687400	1912367	264896	log/rolling_test_ckpt_20260905_from_20260906_to_20260906_202609091549
20260905	20260906	20260906	cat	0.832651	0.697900	0.689700	1912367	273293	log/rolling_test_ckpt_20260905_from_20260906_to_20260906_202609091549
20260905	20260906	20260906	click	0.799478	0.698800	0.693700	1912367	347914	log/rolling_test_ckpt_20260905_from_20260906_to_20260906_202609091549
20260905	20260906	20260906	ext	0.854979	0.810800	0.807900	1912367	10027	log/rolling_test_ckpt_20260905_from_20260906_to_20260906_202609091549
