checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260825	20260826	20260828	buy	0.831849	0.683600	0.677000	2961399	485462	log/rolling_test_ckpt_20260825_from_20260826_to_20260828_202609110919
20260825	20260826	20260828	cat	0.830588	0.687700	0.680900	2961399	500649	log/rolling_test_ckpt_20260825_from_20260826_to_20260828_202609110919
20260825	20260826	20260828	click	0.800178	0.689900	0.685900	2961399	617438	log/rolling_test_ckpt_20260825_from_20260826_to_20260828_202609110919
20260825	20260826	20260828	ext	0.857855	0.810500	0.809300	2961399	16589	log/rolling_test_ckpt_20260825_from_20260826_to_20260828_202609110919
20260828	20260829	20260829	buy	0.825177	0.684400	0.676600	1385996	225533	log/rolling_test_ckpt_20260828_from_20260829_to_20260829_202609111036
20260828	20260829	20260829	cat	0.824205	0.688600	0.680800	1385996	232196	log/rolling_test_ckpt_20260828_from_20260829_to_20260829_202609111036
20260828	20260829	20260829	click	0.795518	0.687600	0.681100	1385996	284635	log/rolling_test_ckpt_20260828_from_20260829_to_20260829_202609111036
20260828	20260829	20260829	ext	0.847487	0.799800	0.796500	1385996	7962	log/rolling_test_ckpt_20260828_from_20260829_to_20260829_202609111036
20260829	20260830	20260830	buy	0.829571	0.693700	0.686700	1337049	204454	log/rolling_test_ckpt_20260829_from_20260830_to_20260830_202609111110
20260829	20260830	20260830	cat	0.828092	0.696500	0.689200	1337049	210746	log/rolling_test_ckpt_20260829_from_20260830_to_20260830_202609111110
20260829	20260830	20260830	click	0.797294	0.694600	0.689700	1337049	262784	log/rolling_test_ckpt_20260829_from_20260830_to_20260830_202609111110
20260829	20260830	20260830	ext	0.840223	0.787700	0.783400	1337049	7271	log/rolling_test_ckpt_20260829_from_20260830_to_20260830_202609111110
20260830	20260831	20260831	buy	0.829652	0.693400	0.685000	1073244	170186	log/rolling_test_ckpt_20260830_from_20260831_to_20260831_202609111146
20260830	20260831	20260831	cat	0.828320	0.696800	0.688400	1073244	175685	log/rolling_test_ckpt_20260830_from_20260831_to_20260831_202609111146
20260830	20260831	20260831	click	0.796697	0.695800	0.689900	1073244	218643	log/rolling_test_ckpt_20260830_from_20260831_to_20260831_202609111146
20260830	20260831	20260831	ext	0.843655	0.790100	0.783800	1073244	5951	log/rolling_test_ckpt_20260830_from_20260831_to_20260831_202609111146
20260831	20260901	20260901	buy	0.836193	0.701800	0.694200	1259856	175786	log/rolling_test_ckpt_20260831_from_20260901_to_20260901_202609111214
20260831	20260901	20260901	cat	0.835011	0.705000	0.697200	1259856	181506	log/rolling_test_ckpt_20260831_from_20260901_to_20260901_202609111214
20260831	20260901	20260901	click	0.799790	0.702800	0.698400	1259856	231047	log/rolling_test_ckpt_20260831_from_20260901_to_20260901_202609111214
20260831	20260901	20260901	ext	0.844461	0.802600	0.798900	1259856	6666	log/rolling_test_ckpt_20260831_from_20260901_to_20260901_202609111214
20260901	20260902	20260902	buy	0.834581	0.690300	0.683900	980973	161014	log/rolling_test_ckpt_20260901_from_20260902_to_20260902_202609111244
20260901	20260902	20260902	cat	0.833643	0.694700	0.688000	980973	166013	log/rolling_test_ckpt_20260901_from_20260902_to_20260902_202609111244
20260901	20260902	20260902	click	0.802519	0.697700	0.693400	980973	206369	log/rolling_test_ckpt_20260901_from_20260902_to_20260902_202609111244
20260901	20260902	20260902	ext	0.857002	0.796200	0.794100	980973	5545	log/rolling_test_ckpt_20260901_from_20260902_to_20260902_202609111244
20260902	20260903	20260903	buy	0.832052	0.685200	0.678900	1065131	179303	log/rolling_test_ckpt_20260902_from_20260903_to_20260903_202609111311
20260902	20260903	20260903	cat	0.831076	0.689600	0.683200	1065131	184652	log/rolling_test_ckpt_20260902_from_20260903_to_20260903_202609111311
20260902	20260903	20260903	click	0.801251	0.689900	0.686200	1065131	227597	log/rolling_test_ckpt_20260902_from_20260903_to_20260903_202609111311
20260902	20260903	20260903	ext	0.860306	0.816900	0.815700	1065131	6048	log/rolling_test_ckpt_20260902_from_20260903_to_20260903_202609111311
20260903	20260904	20260904	buy	0.831828	0.688900	0.681800	1541179	233688	log/rolling_test_ckpt_20260903_from_20260904_to_20260904_202609111339
20260903	20260904	20260904	cat	0.831024	0.692100	0.684600	1541179	240697	log/rolling_test_ckpt_20260903_from_20260904_to_20260904_202609111339
20260903	20260904	20260904	click	0.801118	0.692500	0.687300	1541179	298749	log/rolling_test_ckpt_20260903_from_20260904_to_20260904_202609111339
20260903	20260904	20260904	ext	0.847879	0.800300	0.796400	1541179	8662	log/rolling_test_ckpt_20260903_from_20260904_to_20260904_202609111339
20260904	20260905	20260905	buy	0.826471	0.685100	0.677800	1042855	157215	log/rolling_test_ckpt_20260904_from_20260905_to_20260905_202609111418
20260904	20260905	20260905	cat	0.825411	0.689000	0.681800	1042855	161683	log/rolling_test_ckpt_20260904_from_20260905_to_20260905_202609111418
20260904	20260905	20260905	click	0.796159	0.689000	0.683700	1042855	200817	log/rolling_test_ckpt_20260904_from_20260905_to_20260905_202609111418
20260904	20260905	20260905	ext	0.846960	0.812700	0.808700	1042855	5658	log/rolling_test_ckpt_20260904_from_20260905_to_20260905_202609111418
