checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260720	20260721	20260724	buy	0.835886	0.698800	0.693800	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608260046
20260720	20260721	20260724	cat	0.834764	0.702600	0.697600	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608260046
20260720	20260721	20260724	click	0.803007	0.698500	0.696100	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608260046
20260720	20260721	20260724	ext	0.865026	0.812800	0.810900	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608260046
20260724	20260725	20260725	buy	0.834939	0.700400	0.694200	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608260240
20260724	20260725	20260725	cat	0.834459	0.704600	0.698100	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608260240
20260724	20260725	20260725	click	0.806259	0.699100	0.696500	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608260240
20260724	20260725	20260725	ext	0.860564	0.805500	0.804300	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608260240
20260725	20260726	20260726	buy	0.836220	0.714300	0.708100	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608260319
20260725	20260726	20260726	cat	0.835515	0.717100	0.710900	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608260319
20260725	20260726	20260726	click	0.805374	0.708100	0.705200	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608260319
20260725	20260726	20260726	ext	0.855204	0.800600	0.798300	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608260319
20260726	20260727	20260727	buy	0.839121	0.703900	0.696200	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608260359
20260726	20260727	20260727	cat	0.837819	0.707000	0.699800	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608260359
20260726	20260727	20260727	click	0.803209	0.695600	0.692700	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608260359
20260726	20260727	20260727	ext	0.860881	0.813500	0.810600	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608260359
20260727	20260728	20260728	buy	0.840383	0.700100	0.692600	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608260427
20260727	20260728	20260728	cat	0.839066	0.703300	0.695300	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608260427
20260727	20260728	20260728	click	0.803988	0.697700	0.693500	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608260427
20260727	20260728	20260728	ext	0.865029	0.824000	0.822700	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608260427
20260728	20260729	20260729	buy	0.839599	0.702200	0.696400	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608260455
20260728	20260729	20260729	cat	0.838445	0.706400	0.700500	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608260455
20260728	20260729	20260729	click	0.805945	0.703900	0.700300	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608260455
20260728	20260729	20260729	ext	0.856988	0.811100	0.808900	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608260455
20260729	20260730	20260730	buy	0.838805	0.702000	0.695500	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608260524
20260729	20260730	20260730	cat	0.837776	0.705700	0.698800	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608260524
20260729	20260730	20260730	click	0.805138	0.701800	0.697900	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608260524
20260729	20260730	20260730	ext	0.861347	0.802200	0.799400	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608260524
20260730	20260731	20260731	buy	0.839364	0.708200	0.702600	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608260554
20260730	20260731	20260731	cat	0.838307	0.711000	0.705000	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608260554
20260730	20260731	20260731	click	0.807117	0.706300	0.703900	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608260554
20260730	20260731	20260731	ext	0.858913	0.818700	0.818400	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608260554
20260731	20260801	20260801	buy	0.834572	0.702300	0.695200	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608260630
20260731	20260801	20260801	cat	0.833979	0.705300	0.698100	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608260630
20260731	20260801	20260801	click	0.805506	0.702500	0.698400	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608260630
20260731	20260801	20260801	ext	0.857398	0.811000	0.807800	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608260630
